順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,逆流性食道炎,617000,2300,2.191,-0.007,32,68,3,9,15,21,23,16,13
2,胃潰瘍 症状,194000,1600,2.948,-0.008,34,66,3,13,17,21,20,13,13
3,胃炎 症状,49800,1600,4.335,-0.003,31,69,3,14,18,21,18,12,14
4,胃がん 初期症状,291000,1400,2.424,-1.006,33,67,1,6,13,20,24,18,18
5,胃腸炎,265000,1200,2.39,-0.001,30,70,4,16,27,26,14,7,6
6,ピロリ菌,236000,1200,2.435,0,39,61,2,8,15,23,23,16,13
7,胃潰瘍,57800,990,3.706,-0.001,38,62,6,21,21,19,15,9,9
8,胃が痛い,155000,950,2.666,-0.688,26,74,5,11,15,21,22,14,12
9,胃炎 治るまでの期間,16700,920,4.846,0,30,70,2,11,19,25,22,11,10
10,萎縮性胃炎,87100,800,3.089,0.001,29,71,0,4,9,19,26,22,20
11,みぞおちが痛い,243000,740,1.951,-0.572,30,70,3,9,14,22,26,15,11
12,急性胃腸炎,168000,740,2.325,-0.001,35,65,3,14,21,24,19,11,8
13,十二指腸潰瘍,134000,740,2.554,-0.002,36,64,2,10,15,21,24,15,13
14,慢性胃炎,43500,690,3.614,0.001,32,68,2,7,15,22,21,17,16
15,胃カメラ,120000,670,2.565,-0.413,38,62,1,6,14,22,23,18,16
16,機能性ディスペプシア,141000,650,2.384,0.4,27,73,2,11,16,21,22,16,12
17,ピロリ菌検査,151000,640,2.29,0.011,32,68,1,4,12,22,26,20,15
18,急性胃炎,24900,640,4.09,0,27,73,4,20,24,24,17,6,5
19,胃がん,72000,580,2.972,-0.03,35,65,3,7,9,16,22,19,24
20,胃痛,69200,560,2.946,-0.017,23,77,1,9,17,23,22,16,12
21,胃炎 治し方,10500,520,4.746,0.001,38,62,3,9,13,22,22,16,15
22,逆流性食道炎 症状,109000,460,2.325,-0.003,29,71,3,11,11,17,22,19,17
23,胃が痛い時の対処法,139000,420,1.954,-0.378,23,77,5,12,17,25,22,11,8
24,胃に優しい食べ物,106000,420,2.209,0.004,30,70,2,12,20,24,22,12,8
25,胃炎 食事,7200,410,4.895,0.002,25,75,1,9,15,22,22,17,14
26,胃カメラ 前日食事,101000,370,2.134,-0.581,32,68,0,4,10,23,29,19,15
27,食道裂孔ヘルニア,108000,360,2.05,-0.004,33,67,1,6,11,21,25,20,16
28,胃痛 治し方,71400,340,2.395,-0.056,21,79,2,9,19,27,22,12,9
29,六君子湯,100000,330,2.07,2.796,28,72,1,6,12,19,22,19,21
30,ガスター10,98200,330,2.074,-0.001,37,63,1,6,12,21,24,18,18
31,ピロリ菌 原因,68200,330,2.415,-0.002,30,70,1,7,15,21,26,17,13
32,ピロリ菌 除菌 薬,62800,330,2.502,3.989,36,64,0,3,11,23,27,21,15
33,びらん性胃炎,31500,330,3.189,0.001,36,64,0,4,12,25,28,18,13
34,胃炎 薬,5600,330,4.923,0.001,36,64,1,11,18,23,20,14,13
35,タケキャブ,82300,320,2.231,2.05,36,64,1,19,12,18,19,15,16
36,タケキャブ錠20mg,94600,310,2.082,0.166,38,62,0,5,8,15,22,22,28
37,胃カメラ 費用,60500,300,2.452,-0.146,38,62,1,6,12,22,24,20,15
