順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,逆流性食道炎 治し方,224000,56600,3.094,0.001,36,64,2,7,12,20,24,18,17
2,逆流性食道炎 症状,109000,30800,3.222,0.001,29,71,3,11,11,17,22,19,17
3,胃がん 初期症状,291000,25200,2.015,-0.041,33,67,1,6,13,20,24,18,18
4,逆流性食道炎 市販薬,63200,20800,3.339,0.003,39,61,1,7,13,22,26,18,13
5,逆流性食道炎 寝る向き,62300,20100,3.352,0.002,28,72,2,7,13,19,24,19,16
6,食道癌 初期症状,161000,18900,2.329,0.011,38,62,1,4,8,17,27,24,19
7,逆流性食道炎 薬,46500,17600,3.494,0.002,34,66,1,6,12,20,25,20,16
8,胃潰瘍 症状,194000,17500,2.054,0.001,34,66,3,13,17,21,20,13,13
9,逆流性食道炎 食事,43100,16600,3.525,0.046,23,77,1,7,12,19,24,20,17
10,タケキャブ錠10mg,175000,15500,2.069,2.622,36,64,0,2,8,16,23,23,28
11,機能性ディスペプシア,141000,12900,2.073,3.794,27,73,2,11,16,21,22,16,12
12,食道裂孔ヘルニア,108000,12600,2.312,0.018,33,67,1,6,11,21,25,20,16
13,タケキャブ錠20mg,94600,11400,2.382,3.188,38,62,0,5,8,15,22,22,28
14,モサプリドクエン酸塩錠5mg,148000,10800,1.877,4.077,29,71,1,7,10,18,22,20,22
15,エソメプラゾールカプセル20mg,122000,10600,2.046,2.495,33,67,1,6,9,17,23,21,23
16,喉の違和感,125000,10500,1.987,-0.336,30,70,2,5,8,19,27,21,18
17,逆流性食道炎 咳,25400,10000,3.521,0.001,27,73,1,7,16,25,23,17,11
18,十二指腸潰瘍,134000,9700,1.825,0.003,36,64,2,10,15,21,24,15,13
19,胃カメラ,120000,8800,1.838,0.002,38,62,1,6,14,22,23,18,16
20,ガスター10,98200,8600,2.03,0.282,37,63,1,6,12,21,24,18,18
21,食道がん 症状,66300,8300,2.383,0.25,33,67,1,5,9,19,27,19,20
22,六君子湯,100000,8200,1.983,6.984,28,72,1,6,12,19,22,19,21
