順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,大腸内視鏡検査,324000,7100,1.913,2.321,34,66,0,2,6,20,28,24,20
2,呼吸器内科,229000,6200,2.107,0,32,68,1,5,14,25,24,17,14
3,消化器内科とは,18500,5900,4.594,0,29,71,1,6,9,18,29,21,16
4,循環器内科とは,139000,5500,2.52,0,33,67,1,4,8,17,26,22,22
5,血便,219000,4800,1.897,-0.018,40,60,4,14,18,23,21,11,9
6,胃潰瘍 症状,193000,3800,1.816,0.011,34,66,3,13,17,21,20,13,13
7,泌尿器科,174000,3500,1.847,-0.001,45,55,2,9,12,20,22,16,19
8,消化器内科 近く,13100,3400,4.38,0,28,72,2,11,13,23,27,11,13
9,内科,120000,2900,1.987,-0.001,36,64,3,12,18,26,21,11,9
10,循環器内科,80100,2800,2.387,0,31,69,1,7,12,21,24,17,18
11,胃カメラ,119000,2700,1.93,0.635,38,62,1,6,14,22,23,18,16
12,大腸がん 症状 女性 初期,140000,2600,1.773,0.002,6,94,1,7,13,21,25,17,16
13,十二指腸潰瘍,134000,2500,1.724,0.024,36,64,2,10,15,21,23,16,13
14,内視鏡検査,86700,2300,2.094,1.645,40,60,2,7,13,22,24,17,15
15,過敏性腸症候群 治し方,106000,2100,1.819,0.095,26,74,5,12,15,23,22,13,10
16,消化器外科,19800,2000,3.47,0,37,63,1,8,12,21,23,17,18
17,肛門科,68000,1800,2.114,0,40,60,2,7,10,17,20,18,26
18,肝臓癌 初期症状,87700,1700,1.782,-0.001,35,65,1,4,9,18,26,21,21
19,消化器内科 名医,5800,1600,4.466,0,21,79,0,1,3,15,30,30,21
20,脳神経内科,79100,1500,1.794,-0.596,32,68,1,5,7,21,26,19,21
21,便潜血,63000,1500,1.928,-0.008,42,58,1,4,13,26,28,17,11
22,胃カメラ 費用,60200,1500,2.012,2.837,38,62,1,6,12,22,24,20,15
23,血便 鮮血 痛みなし,63400,1300,1.81,-0.006,41,59,3,12,18,24,25,11,7
24,腹痛 下痢が続く,57700,1200,1.819,-0.049,36,64,4,16,20,23,20,10,7
25,内科 現在地周辺,52300,1200,1.945,-0.015,33,67,2,9,16,27,26,12,8
26,消化器,32200,1200,2.411,0,46,54,2,8,13,24,23,17,13
27,血便 何科を受診,15600,1200,3.136,-0.001,36,64,2,13,21,24,25,10,5
28,神経内科とは,62200,1100,1.764,0.007,31,69,1,4,7,16,25,21,26
29,みぞおち 場所 図,58500,1100,1.746,0.094,22,78,3,9,16,23,25,13,11
30,膵臓癌 血液検査でわかる,56500,1100,1.805,1.059,38,62,0,2,5,13,23,27,30
31,腹痛 波がある痛み,56300,1100,1.763,-0.093,21,79,5,14,20,26,19,10,6
32,胃炎 症状,49600,1100,1.92,0.022,31,69,3,14,18,21,18,12,14
33,腹部エコーでわかること,49200,1100,1.939,0.202,24,76,0,3,10,25,29,19,14
34,大腸カメラ,45000,1100,2.032,1.909,38,62,2,8,18,28,22,12,10
35,体重が減る病気,53600,1000,1.783,-0.024,35,65,1,3,7,14,26,25,24
36,婦人科,53100,1000,1.787,0.017,15,85,3,14,15,25,21,10,12
37,ピロリ菌 症状,52600,1000,1.769,2.056,30,70,2,11,18,22,22,13,12
38,大腸検査,44500,980,1.894,1.002,36,64,1,5,14,25,26,16,13
39,過敏性腸症候群 薬,42000,960,1.942,0.801,28,72,4,11,15,24,23,13,10
40,下腹部の痛み,47300,910,1.779,-0.694,37,63,3,10,14,22,23,18,10
41,慢性胃炎,43200,900,1.86,0.101,32,68,2,7,14,22,21,17,17
42,呼吸器内科 近く,40700,900,1.95,0.004,25,75,1,6,11,21,22,21,18
43,肝臓 何科を受診,12200,900,3.085,0,35,65,1,8,20,29,27,11,4
44,エコー検査,48900,880,1.753,2.209,42,58,2,5,7,14,22,21,29
45,逆流性食道炎 食事,42900,870,1.849,0.962,23,77,1,7,12,19,25,19,17
46,モビプレップ,43700,850,1.777,21.658,35,65,1,8,12,25,25,16,13
47,胆嚢炎 症状 チェック,40200,830,1.876,0.005,28,72,0,4,8,17,26,22,23
48,食道炎 症状,35400,830,1.989,-0.001,38,62,1,7,11,18,23,19,21
