順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,蕁麻疹 原因,381000,2700,2.621,-0.001,31,69,3,8,16,26,22,14,11
2,蕁麻疹,248000,1700,2.59,-0.011,31,69,4,13,21,25,18,10,9
3,蕁麻疹 薬,90900,900,2.941,0.002,28,72,1,7,17,30,24,12,9
4,蕁麻疹 治らない,63200,830,3.223,0.544,26,74,2,7,16,27,24,14,10
5,蕁麻疹 何科を受診,52100,640,3.162,0.007,24,76,1,6,15,29,25,13,11
6,発疹,118000,550,2.199,-0.001,36,64,2,9,20,24,20,13,12
7,蕁麻疹 かゆみ 抑え方,42900,550,3.202,0.001,28,72,3,8,17,28,22,12,10
8,湿疹,93800,540,2.433,0.001,41,59,4,12,18,19,18,13,16
9,蕁麻疹 画像,45100,490,3.051,0,24,76,1,3,9,23,28,22,14
10,蕁麻疹 対処法,38300,430,3.098,0.002,30,70,4,10,17,25,21,12,11
11,蕁麻疹 市販薬,32400,410,3.179,0.004,29,71,0,9,17,27,26,13,8
12,あせも,70100,380,2.345,-2.466,29,71,4,15,26,26,16,7,6
13,とびひ,89600,340,1.987,-36.182,23,77,2,8,32,30,12,9,7
14,湿疹 痒い 赤いプツプツ,82900,340,2.095,0.001,23,77,1,4,10,22,27,19,17
15,コリン性蕁麻疹,70100,300,2.116,0.004,23,77,4,16,22,25,19,9,5
16,蕁麻疹 子供,26400,300,3.047,0.001,11,89,0,3,44,43,4,3,3
17,寒冷蕁麻疹,54500,290,2.343,0.016,23,77,4,11,20,26,18,12,9
18,蕁麻疹 ストレス,28000,280,2.965,0.003,23,77,4,17,20,24,20,9,6
19,薬疹,33800,240,2.615,0.006,23,77,2,12,25,27,18,9,7
20,水ぼうそう,29600,190,2.465,0.003,20,80,1,5,31,37,13,8,5
21,蕁麻疹 夜になると出る,31300,170,2.343,-77.712,27,73,2,9,16,29,24,12,8
22,アトピー,41000,160,2.014,0,34,66,8,19,26,24,13,5,5
23,湿疹の種類,37900,160,2.148,0.001,27,73,0,2,4,18,25,24,27
24,多形滲出性紅斑,28500,160,2.36,0.177,21,79,1,9,27,30,18,9,6
25,じんましん 薬,1700,160,5.175,0.002,22,78,1,5,21,38,23,9,3
26,湿疹 原因,29000,150,2.297,0.001,39,61,2,9,14,19,21,15,20
27,慢性蕁麻疹,18700,150,2.759,6.5,25,75,4,13,19,26,21,10,7
28,風疹,36800,140,2.004,0.05,31,69,2,13,29,26,17,8,5
29,溶連菌 発疹,31900,140,2.116,-0.001,13,87,0,5,46,39,6,2,2
30,水イボ,29600,130,2.121,-60.715,19,81,1,8,41,31,10,6,3
31,蕁麻疹 漢方,9900,130,3.2,0.004,27,73,1,3,13,30,31,14,8
32,じんましん 原因,1300,130,5.265,0.001,28,72,2,10,23,33,20,9,3
33,紅斑,26700,120,2.186,0,25,75,3,13,20,25,20,11,8
34,寒暖差アレルギー じんましん,17800,120,2.552,1.003,17,83,4,14,21,28,19,9,5
35,ジンマート,13900,120,2.841,0.002,34,66,1,8,16,25,25,15,10
36,中毒疹,21300,110,2.303,0.676,24,76,1,10,23,26,21,12,7
37,かぶれ,16100,100,2.515,-0.003,34,66,4,13,19,24,20,12,8
38,蕁麻疹 塗り薬,11000,100,2.87,0.004,20,80,1,8,27,38,17,6,3
39,蕁麻疹 薬 市販,8200,100,3.177,0.002,29,71,2,11,18,30,23,9,7
40,蕁麻疹 うつる?,6500,100,3.441,0.002,37,63,8,23,30,23,10,4,2
41,はやり目,24500,90,1.987,-23.991,23,77,1,10,38,31,11,6,3
42,ストレス 蕁麻疹,21300,90,2.045,0.082,24,76,3,16,20,25,20,11,5
43,多形紅斑,20400,90,2.153,2.756,25,75,1,8,22,25,19,14,11
44,蚊に刺されたような湿疹,19300,90,2.194,-0.009,22,78,5,18,22,25,19,7,4
45,温熱蕁麻疹,18100,90,2.295,0.004,23,77,7,20,24,24,15,6,4
46,蕁麻疹 かゆくない,8300,90,3.053,0.001,17,83,3,16,27,29,17,5,3
47,かゆみの原因,23600,80,1.994,-8.623,38,62,1,2,5,12,22,24,34
48,痒疹,15700,80,2.341,-0.001,29,71,2,10,17,24,22,14,11
49,発疹 痒い 赤いプツプツ,14500,80,2.317,-0.001,31,69,2,6,16,25,23,16,12
50,蕁麻疹 飲み薬,5200,80,3.361,0.026,25,75,0,11,23,34,21,7,4
51,皮脂欠乏性湿疹,19600,70,1.968,0.004,27,73,2,13,19,24,20,12,10
52,薬疹とは,18100,70,2,0.771,27,73,2,11,17,22,21,15,12
53,かゆみ 赤い発疹,18000,70,2.029,-0.176,30,70,1,3,8,16,25,22,25
54,子供 蕁麻疹 原因,16600,70,2.05,-0.452,23,77,0,4,47,39,5,3,2
55,アレルギー 湿疹,7900,70,2.853,-0.003,19,81,2,10,30,28,16,8,6
56,蕁麻疹 治し方,6000,70,3.198,0.003,35,65,10,23,23,25,12,5,2
57,蕁麻疹 子供 病院に行くべき,3900,70,3.429,0.001,12,88,0,2,49,42,3,2,2
58,突発性発疹 不機嫌,15600,60,1.98,3.36,13,87,0,11,57,18,3,8,3
59,手足口病 咳,15300,60,2.049,-101.677,12,88,0,6,56,32,3,2,1
60,耳が痛い 子供,15200,60,1.982,-31.957,16,84,1,3,39,47,5,2,3
61,ヒトメタニューモ,14800,60,2.106,3.132,28,72,1,7,36,26,14,10,6
62,アデノウィルス,14800,60,2.014,-28.117,30,70,1,3,24,33,18,13,8
63,夜泣き,14300,60,2.076,-16.067,22,78,1,13,53,18,6,6,3
64,子供 熱だけ,14300,60,1.996,-84.195,15,85,0,4,49,38,4,3,2
65,アデノ,13200,60,2.134,-83.336,20,80,1,6,44,31,9,6,3
66,かゆみ,9700,60,2.509,-0.005,34,66,1,4,10,20,23,19,23
67,子供 蕁麻疹,7500,60,2.632,0.069,21,79,0,6,50,36,4,3,1
68,慢性蕁麻疹 治し方,6500,60,2.896,33.985,25,75,2,8,15,24,24,15,12
69,更年期 蕁麻疹,5400,60,3.063,2.388,9,91,0,1,3,38,54,2,2
70,蕁麻疹 ストレス 写真,5000,60,3.12,0.001,20,80,10,24,16,22,18,5,5
71,蕁麻疹 病院に行く 目安,3700,60,3.455,0.017,15,85,2,16,34,32,11,3,2
72,水いぼ画像,13900,50,1.954,41.432,15,85,1,2,29,36,13,11,8
73,#8000 どんなとき,13700,50,1.933,-43.149,18,82,0,11,46,26,7,6,4
74,パネルシアター,13300,50,1.945,29.407,12,88,3,17,19,22,19,12,8
75,ダニ刺され,13200,50,1.976,-2.1,26,74,4,21,24,20,17,9,5
76,熱せん妄 子供,12600,50,1.993,18.222,17,83,2,6,40,37,7,5,3
77,手足口病 登園,12400,50,1.997,-64.896,13,87,0,4,59,30,3,3,1
78,湿疹 かゆくない,12300,50,2.135,0.019,17,83,0,7,13,25,26,16,13
79,全身がかゆい 原因,12300,50,2.113,-0.411,42,58,5,15,14,19,19,14,14
80,ヒトメタ,11900,50,2.004,-15.231,23,77,0,9,40,25,12,9,5
81,コロナ 蕁麻疹,11600,50,2.046,-13.464,27,73,2,8,21,33,24,9,3
82,おもちゃ収納,11500,50,2.065,-55.67,12,88,0,11,53,23,6,5,2
83,胃の痛み,11400,50,2.236,62.453,27,73,1,7,16,23,24,15,14
84,丘疹,11400,50,2.141,0.003,26,74,2,19,25,24,16,8,6
85,薬疹 早く治す方法,10500,50,2.232,0.785,22,78,1,6,14,26,25,16,12
86,クロベタゾン,10400,50,2.162,0.276,21,79,1,8,25,26,17,11,12
87,レスタミンコーワ,9900,50,2.244,0.098,34,66,1,7,15,22,21,14,20
88,手足口,9500,50,2.34,-42.086,27,73,0,7,45,31,8,5,4
89,発疹 湿疹 違い,9500,50,2.211,0.001,19,81,1,14,38,25,11,6,5
90,マイザー,9300,50,2.319,-3.545,31,69,1,9,20,26,22,11,11
91,赤いブツブツ かゆい,9200,50,2.256,0,25,75,2,12,15,23,24,15,9
92,りんご病 大人,9100,50,2.26,1.432,16,84,0,8,38,36,9,5,4
93,発疹 かゆくない,8000,50,2.404,0.001,22,78,1,9,17,27,23,14,9
94,ウイルス性発疹,6900,50,2.696,0,16,84,1,8,38,31,12,6,4
95,ジンマート錠 口コミ,5600,50,2.769,0.195,29,71,1,6,12,23,29,18,11
96,蕁麻疹 かゆい,5300,50,2.815,0.002,21,79,5,23,30,26,11,3,2
97,蕁麻疹 顔,4900,50,2.916,0.131,16,84,4,21,31,27,11,4,2
98,蕁麻疹 アレルギー,4800,50,2.978,0.001,27,73,4,17,27,30,14,5,3
99,アレルギー 発疹,4300,50,3.14,-0.001,18,82,2,14,38,30,11,3,2
100,蕁麻疹 注射,4100,50,3.071,0.325,26,74,1,9,19,32,24,10,5
101,蕁麻疹 アレグラ,3800,50,3.166,0,24,76,1,7,22,37,23,8,2
102,蕁麻疹 薬 処方,3600,50,3.231,0.614,20,80,2,8,21,33,22,8,6
103,蕁麻疹 発熱,3500,50,3.287,0.015,24,76,2,13,27,31,17,7,3
104,蕁麻疹 リンデロン,3400,50,3.301,0.004,15,85,1,8,28,41,16,4,2
105,蕁麻疹 消えない,3200,50,3.464,0.001,14,86,3,12,31,34,13,4,3
106,蕁麻疹様血管炎,3200,50,3.359,1.168,19,81,1,10,23,28,20,12,6
107,蕁麻疹 食べ物,3100,50,3.465,0.005,28,72,2,14,24,30,20,8,2
108,蕁麻疹 唇の腫れ,2900,50,3.427,0.013,24,76,3,11,24,32,19,7,4
109,蕁麻疹 塗り薬 市販,2500,50,3.536,0.002,23,77,2,8,23,31,22,9,5
110,チョコレート 何歳から,11800,40,1.94,-18.012,15,85,0,13,55,22,4,4,2
111,くじゃく,11800,40,1.934,36.454,26,74,4,7,21,30,20,11,7
112,尿路感染症 子供,11700,40,1.944,-7.168,13,87,1,8,43,27,8,8,5
113,ダイアップ,11300,40,1.991,-0.007,24,76,1,14,36,26,13,7,3
114,眠気,10800,40,2.022,-72.164,35,65,4,12,21,26,18,9,10
115,デシリットル,10800,40,1.97,-1.786,51,49,3,7,24,37,13,7,9
116,紅斑とは,10800,40,1.94,9.668,23,77,1,10,14,21,22,17,15
117,寝不足,10400,40,2.077,-34.636,38,62,7,18,26,23,13,7,6
118,マンカラ,10300,40,2.061,-49.291,32,68,6,11,29,33,10,6,5
119,鮭 パスタ,10300,40,1.957,-58.176,20,80,1,16,35,28,13,5,2
120,コレクチム,10200,40,2.047,-26.896,28,72,2,10,19,28,19,11,11
121,弱視,10100,40,2.032,27.026,32,68,3,12,27,28,16,8,6
122,健康保険証 種類,10100,40,1.961,87.108,28,72,1,11,36,32,11,4,5
123,マイコプラズマ 大人,10000,40,2.096,-10.561,24,76,1,6,36,41,11,3,2
124,アトピー性皮膚炎 大人で発症,9900,40,1.958,1.214,31,69,1,9,10,14,27,23,16
125,マイコプラズマ 咳,9800,40,1.998,-48.255,17,83,2,6,30,45,11,3,3
126,アレルギー性皮膚炎,9800,40,1.98,0,28,72,3,13,19,24,17,12,12
127,目やに 充血,9800,40,1.96,-36.006,20,80,1,10,36,30,12,7,4
128,やくしん 症状,9700,40,2.174,13.844,24,76,0,6,15,27,24,14,14
129,プロトピック,9500,40,1.974,-11.978,28,72,2,10,18,26,23,11,10
130,スケッチブックシアター,9300,40,2.011,-28.48,8,92,3,23,19,25,19,8,3
131,かゆい 湿疹,9100,40,2.154,-0.724,20,80,1,5,9,20,25,19,21
132,あそびパーク,8900,40,2.004,-113.431,28,72,1,5,43,37,6,5,3
133,ストレス性蕁麻疹,8800,40,2.25,0.004,23,77,7,24,20,19,17,9,4
134,りんご病 かゆみ,8700,40,2.227,13.278,13,87,1,3,38,47,6,3,2
135,クッキー 簡単,8700,40,2.121,78.443,9,91,9,14,35,31,6,3,2
136,こどもの城,8700,40,2.089,-31.946,30,70,2,9,32,28,10,14,5
137,40代 メイク,8700,40,1.989,-34.134,6,94,1,1,5,81,8,1,3
138,帯状疱疹 かゆい,8500,40,2.173,-0.002,16,84,1,9,24,31,26,6,3
139,アレルギー症状,8500,40,2.084,-0.518,22,78,7,17,22,27,17,6,4
140,ムヒaz錠,8300,40,2.225,-0.01,41,59,1,5,9,17,24,24,20
141,ぶり 照り焼き,8100,40,2.15,-62.89,19,81,1,6,34,34,16,6,3
142,おたふくかぜ,8000,40,2.299,-14.034,29,71,1,9,33,30,12,8,7
143,かゆい,7900,40,2.349,0.001,32,68,4,8,15,22,19,12,20
