順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ニキビ 治し方,118000,3200,3.234,-0.001,30,70,16,18,15,25,19,4,3
2,ニキビ跡 治し方,127000,2200,2.845,0,32,68,18,29,20,16,12,3,2
3,ニキビ 薬,82200,2100,3.154,0,26,74,6,17,19,30,20,5,3
4,顎ニキビ 原因,135000,1200,2.127,-5.501,13,87,9,35,28,17,8,2,1
5,ニキビ 場所 意味,42700,1200,3.32,0,21,79,19,42,23,9,4,2,1
6,ニキビ 原因,26300,1000,3.621,0,43,57,13,24,18,18,17,6,4
7,ニキビ跡,33200,980,3.368,0.006,30,70,15,31,22,19,10,2,1
8,イソトレチノイン,99800,940,2.215,0.69,28,72,6,32,25,18,13,4,2
9,ニキビ 化粧水,25300,900,3.493,0,18,82,7,18,14,32,24,3,2
10,アゼライン酸,123000,890,1.929,3.051,15,85,4,23,27,24,15,5,2
11,ニキビパッチ,60600,870,2.643,0,17,83,12,32,24,19,10,2,1
12,プロアクティブ,54900,850,2.646,0.001,37,63,6,8,12,36,25,8,5
13,ニキビ 皮膚科,27800,840,3.35,0,18,82,7,24,16,29,19,3,2
14,白ニキビ 治し方,50500,770,2.7,0,19,81,12,29,23,18,10,5,3
15,毛嚢炎,101000,700,1.875,0.015,29,71,4,18,22,23,18,9,6
16,ニキビ 洗顔,16900,670,3.609,0,22,78,9,18,15,32,21,3,2
17,ベピオゲル,56800,650,2.396,0.032,23,77,8,23,20,24,17,5,3
18,おでこ ニキビ,49500,600,2.482,-0.025,19,81,13,38,28,13,6,1,1
19,デュアック配合ゲル,49900,580,2.41,2.474,22,78,9,24,19,24,17,4,3
20,角栓,50400,560,2.323,-0.02,42,58,4,9,20,27,21,11,8
21,赤ニキビ 治し方,24700,560,3.093,0.001,24,76,13,35,24,16,9,2,1
22,白ニキビ,27700,540,2.949,0,21,79,11,31,26,17,9,4,2
23,アヌア,83500,530,1.79,7.762,11,89,8,22,22,23,17,5,3
24,顔面偏差値診断,82800,520,1.81,-30.943,44,56,61,16,5,10,5,1,2
25,ビブラマイシン,78200,520,1.836,10.823,34,66,3,17,19,25,21,9,6
26,生理,78700,510,1.798,-1.172,32,68,12,18,21,24,12,6,7
27,にきび 場所 意味,18000,510,3.366,0,21,79,19,43,24,8,4,1,1
28,ニキビ 市販薬,18000,510,3.273,0,19,81,3,26,32,27,9,2,1
29,ケミカルピーリング,49900,470,2.207,0.002,16,84,4,25,23,22,17,6,3
30,背中ニキビ,48800,470,2.23,-0.006,26,74,9,26,19,21,17,5,3
31,口周りのニキビ原因,49100,460,2.212,-0.016,25,75,10,37,28,16,6,2,1
32,十味敗毒湯,54600,450,2.059,10.647,24,76,4,17,16,23,22,10,8
33,虫歯,71300,420,1.723,0.952,39,61,7,18,27,22,11,7,8
34,あせも,70100,420,1.722,-45.157,29,71,4,15,26,26,16,7,6
35,ディフェリンゲル,30700,420,2.558,0,21,79,6,22,20,25,17,6,4
36,クレンジング,57800,410,1.96,-1.779,30,70,15,21,20,17,14,8,5
37,ハーブピーリング,56900,410,1.925,-3.24,14,86,3,27,26,23,14,5,2
38,エピデュオゲル,27500,410,2.657,2.852,27,73,9,26,19,23,17,4,2
39,赤ニキビ,13000,400,3.391,0.002,24,76,10,32,29,17,9,2,1
40,ナジフロキサシンクリーム,64100,390,1.749,2.83,26,74,4,12,18,25,20,11,10
41,肌荒れ 治し方,43600,390,2.134,-0.173,28,72,9,17,19,22,18,8,7
42,フェイスライン ニキビ,27700,390,2.64,0.104,20,80,8,44,32,11,3,1,1
43,ニキビ 治らない,9300,390,3.682,-0.004,26,74,10,25,16,22,21,4,2
44,おりもの,55100,380,1.865,8.712,24,76,8,23,28,20,12,5,4
45,ゼビアックス,37600,380,2.29,5.046,29,71,8,22,21,23,13,6,7
46,前髪診断,57300,370,1.834,11.725,6,94,49,21,10,12,6,1,1
47,オードムーゲ,35200,370,2.278,0.002,20,80,8,15,15,28,23,7,4
48,トレチノイン,59900,350,1.698,0.019,18,82,1,10,17,29,26,11,6
49,イボ,53300,350,1.805,-0.001,33,67,3,8,15,25,23,14,12
