順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,かんせん 皮膚,80900,3500,2.997,-0.003,27,73,1,5,12,23,27,18,14
2,乾癬とは,49900,3200,3.427,0,33,67,2,7,10,18,24,21,18
3,脂漏性皮膚炎,175000,2800,1.997,-0.005,30,70,2,12,18,24,22,13,9
4,掌蹠膿疱症,108000,2500,2.391,0,27,73,1,7,13,22,26,19,12
5,尋常性乾癬,54400,2400,3.021,0.001,32,68,1,8,12,21,26,19,13
6,乾癬 治し方,13100,2400,4.436,0.002,40,60,1,6,9,21,27,21,15
7,かいせん 皮膚,110000,2300,2.295,-0.002,22,78,1,7,12,21,25,21,13
8,乾癬 原因,11300,2000,4.401,0.001,28,72,2,8,12,22,26,16,14
9,乾癬性関節炎,18500,1900,3.874,0,32,68,1,6,12,20,29,20,12
10,疥癬,46600,1800,2.894,0,36,64,2,13,20,24,22,12,7
11,汗疱,92800,1500,1.977,-0.002,28,72,5,16,23,25,18,8,5
12,かんせん 皮膚 治療,22600,1300,3.318,-0.001,28,72,1,3,7,19,27,23,20
13,乾癬 薬,7000,1300,4.464,0.002,39,61,1,5,12,23,29,17,13
14,白癬菌,68200,1100,2.023,-0.001,39,61,1,7,11,20,23,19,19
15,乾癬 皮膚,20100,1000,3.153,0,28,72,1,6,11,23,27,18,14
16,貨幣状湿疹,31000,940,2.645,0,26,74,1,8,16,24,24,15,12
17,メトトレキサート,58800,860,1.934,0.15,29,71,1,14,12,19,23,17,14
18,ドボベット軟膏,13000,860,3.438,0,38,62,0,5,11,19,25,21,19
19,乾癬 画像,5000,820,4.345,0.001,27,73,1,1,3,20,31,26,18
20,乾癬 市販薬,4000,820,4.553,0.003,40,60,1,5,13,24,28,18,11
21,乾癬 うつるのか,3300,820,4.751,0.001,24,76,1,12,20,24,22,11,10
22,接触性皮膚炎,51000,790,1.976,-0.001,19,81,2,14,21,24,20,12,7
23,乾癬 頭皮,4000,790,4.496,0.001,29,71,1,8,17,25,27,12,10
24,強皮症,52900,770,1.934,0.002,25,75,1,8,11,19,25,20,16
25,白癬,18100,760,2.972,0,34,66,2,20,19,20,18,12,9
26,毛孔性苔癬,53600,730,1.851,-11.711,21,79,7,22,24,24,15,5,3
27,アンテベート,46900,730,1.994,-0.003,30,70,1,9,14,21,23,14,18
28,結節性痒疹,26800,620,2.371,-0.004,25,75,2,7,14,25,27,15,10
29,アトピー,41000,610,1.93,-1.056,34,66,8,19,26,24,13,5,5
30,皮膚筋炎,35200,610,2.107,-0.039,26,74,1,8,10,19,26,20,16
31,コムクロシャンプー,21200,600,2.572,0.007,36,64,1,8,16,25,25,15,10
32,ジベル薔薇色粃糠疹,31800,590,2.142,0,24,76,2,12,20,27,23,11,5
33,魚鱗癬,40800,580,1.877,0,32,68,3,11,19,24,22,13,8
34,皮膚炎,29800,540,2.139,-0.001,38,62,3,9,14,20,21,16,17
35,脂漏性湿疹,35500,520,1.921,0.007,22,78,1,9,21,21,22,16,10
36,タクロリムス,35400,520,1.939,5.554,33,67,1,15,15,21,21,15,12
37,薬疹,33800,520,1.955,0.003,23,77,2,12,25,27,18,9,7
38,痒疹,15700,520,2.729,0,29,71,2,10,17,24,22,14,11
39,紅斑,26700,510,2.169,0.003,25,75,3,13,20,25,20,11,8
40,癜風,15400,510,2.727,-0.009,30,70,3,13,19,26,23,10,6
41,オテズラ錠,8800,510,3.303,0.003,36,64,0,7,12,22,26,18,15
42,類天疱瘡,34000,500,1.927,0.006,26,74,0,8,14,22,25,19,12
43,天疱瘡,27700,500,2.14,0,26,74,1,10,14,21,23,17,14
44,アンテベートローション,33500,490,1.949,0,33,67,1,6,11,20,23,18,21
45,かいせん ダニ,23900,490,2.238,0,35,65,1,8,13,22,26,19,11
46,皮脂欠乏性湿疹,19600,490,2.456,0.004,27,73,2,13,19,24,20,12,10
47,sle,35200,480,1.841,-0.292,25,75,2,15,17,23,22,13,8
48,尋常性疣贅,31500,480,1.934,3.375,30,70,2,11,21,28,20,11,7
49,多形滲出性紅斑,28500,460,2,0.244,21,79,1,9,27,30,18,9,6
50,疥癬とは,21400,460,2.332,-0.002,35,65,2,9,9,16,24,24,16
51,オキサロール軟膏,13600,460,2.774,-0.001,29,71,1,3,11,22,24,18,21
52,乾皮症,14800,450,2.694,0,27,73,2,8,12,17,22,20,19
53,膿疱性乾癬,5300,450,3.675,0.005,36,64,1,9,14,21,25,18,12
54,皮膚掻痒症,22700,440,2.227,-0.004,26,74,2,10,16,21,19,14,18
55,ブイタマークリーム,14200,440,2.659,20.11,37,63,1,7,16,25,25,15,11
56,たむし 症状,31400,420,1.838,-0.131,37,63,2,7,13,21,23,17,17
57,トルバプタン,29200,420,1.91,-8.855,33,67,1,20,16,22,21,13,7
58,扁平苔癬,22900,420,2.158,0.003,29,71,1,10,11,19,23,19,17
59,ロナセンテープ,27700,400,1.894,-17.926,27,73,1,12,16,25,25,15,6
60,ボーエン病,20200,400,2.231,-0.015,28,72,1,8,12,20,24,19,16
61,爪白癬,29400,390,1.826,-0.002,32,68,2,11,16,24,24,14,9
62,シクロスポリン,26400,390,1.942,1.671,33,67,0,18,15,21,22,14,10
63,異汗性湿疹,22700,390,2.077,-8.474,26,74,2,13,21,26,21,11,6
64,かいせん,12800,390,2.631,0,34,66,1,8,16,22,25,16,12
65,ドボベットフォーム,5400,390,3.528,0.517,39,61,1,5,15,22,24,18,15
66,サリチル酸ワセリン軟膏,29300,380,1.824,-0.001,25,75,1,6,13,23,23,16,18
67,テルビナフィン,26300,380,1.92,-4.371,40,60,0,9,13,20,23,16,19
68,ビダール苔癬,14800,380,2.451,0.016,18,82,1,10,18,27,26,12,6
69,ダーブロック,24500,370,1.943,5.748,36,64,1,13,18,25,23,13,7
70,自家感作性皮膚炎,14800,360,2.406,-0.002,27,73,1,8,16,25,24,16,10
71,いんきんたむし,20300,350,2.078,-1.951,64,36,3,15,22,21,17,11,11
72,リンヴォック,17100,350,2.225,0.243,40,60,1,10,17,25,25,14,8
73,鱗屑,6300,350,3.256,0.001,35,65,3,19,19,22,19,10,8
74,乾く,6900,340,3.184,0,36,64,2,2,5,11,20,25,35
75,結節性紅斑,22000,330,1.944,0.007,24,76,1,9,16,23,22,17,12
76,うっ滞性皮膚炎,19300,330,2.096,0.005,26,74,1,9,13,21,24,18,14
77,生物学的製剤,13200,330,2.454,6.224,30,70,1,7,10,20,26,20,16
78,オイラックス,23200,320,1.889,-0.054,33,67,1,8,15,20,20,16,20
79,マーデュオックス軟膏,5800,320,3.287,0.057,36,64,0,5,11,17,26,19,22
80,サムスカ,22700,310,1.838,-0.91,34,66,1,20,16,22,22,12,7
81,グーフィス,21800,310,1.914,-14.346,33,67,1,13,17,23,20,12,14
82,皮膚病,14700,310,2.338,0,44,56,2,6,8,15,21,19,29
83,丘疹,11400,310,2.519,0.005,26,74,2,19,25,24,16,8,6
84,ガランタミン,21700,300,1.866,-18.456,29,71,0,9,12,22,29,17,11
85,デュピルマブ,21700,300,1.841,-99.337,24,76,1,5,8,25,30,19,12
86,メトロニダゾール,19300,300,1.974,6.638,35,65,0,16,19,23,20,13,9
87,真菌,13300,300,2.372,0,40,60,3,15,18,21,19,13,11
88,菌状息肉症,13100,300,2.361,-23.328,26,74,0,6,11,25,29,18,11
89,かんぴ症,9500,300,2.718,-0.001,25,75,2,7,11,17,20,20,23
90,多形紅斑,20400,290,1.863,0.001,25,75,1,8,22,25,19,14,11
91,パジェット病,19400,290,1.952,-9.411,19,81,1,11,15,25,24,14,10
92,リンゼス,18600,290,1.986,9.064,34,66,0,13,17,22,22,13,13
93,日光角化症,16400,290,2.128,0,26,74,1,6,11,21,26,19,16
94,皮膚病の種類,16200,290,2.19,-0.002,49,51,0,1,3,8,18,28,42
95,水疱性類天疱瘡,15300,290,2.18,-0.009,29,71,1,11,12,19,23,20,14
