順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,基底細胞癌 初期 写真,4400,920,6.608,0,27,73,0,3,7,16,22,25,27
2,皮膚がん 見分け方 画像,117000,840,3.217,-1.364,32,68,2,3,8,18,24,21,24
3,皮膚ガン 初期症状,100000,800,3.331,-2.765,32,68,2,8,10,17,21,20,22
4,メラノーマ,138000,690,2.811,-0.012,30,70,4,10,17,23,23,14,9
5,脂漏性角化症,83400,650,3.277,-0.001,26,74,0,4,12,23,27,19,15
6,皮膚がん,46400,650,3.871,-0.006,36,64,5,10,14,20,21,15,15
7,有棘細胞癌,11100,560,5.138,0,31,69,1,8,13,21,25,18,14
8,ボーエン病,20200,400,4.218,-0.001,28,72,1,8,12,20,24,19,16
9,悪性黒色腫,20300,350,4.046,-0.001,35,65,2,12,17,22,22,14,11
10,メラノーマ 見分け方,57700,330,2.942,-0.035,23,77,3,8,18,25,23,12,11
11,日光角化症,16400,320,4.198,0.001,26,74,1,6,11,21,26,19,16
12,ほくろ 悪性,36800,300,3.296,-0.065,22,78,2,6,15,27,24,15,11
13,扁平上皮癌,32600,280,3.375,0,31,69,1,9,10,19,24,20,17
14,皮膚がん 生存率,12600,250,4.233,-4.047,38,62,6,8,10,18,23,19,16
15,上皮内新生物とは,38500,220,2.98,0.022,39,61,0,3,9,18,27,24,19
16,ダーモスコピー,11900,220,4.124,0.015,28,72,1,7,16,25,24,15,12
17,メラノーマ 初期症状,25600,210,3.303,-0.847,21,79,2,8,17,23,24,15,11
18,基底細胞がん,2200,200,5.731,-0.002,32,68,2,6,15,24,26,13,14
19,尋常性疣贅,31500,190,3.016,0.19,30,70,2,11,21,28,20,11,7
20,皮膚がん 転移,3400,160,5.105,-0.004,32,68,2,6,10,18,26,20,18
21,耳下腺腫瘍,38500,150,2.544,5.622,29,71,2,7,13,22,26,17,13
22,ほくろ 大きくなる,29700,150,2.792,-0.023,28,72,3,8,16,26,25,14,8
23,褐色細胞腫,27400,150,2.909,12.544,32,68,1,19,12,20,22,16,10
24,皮膚筋炎,35200,140,2.614,0.02,26,74,1,8,10,19,26,20,16
25,パジェット病,19400,140,3.16,6.942,19,81,1,11,15,25,24,14,10
26,神経鞘腫,18400,140,3.278,6.809,37,63,1,9,14,20,23,18,15
27,皮膚がん 見分け方,9400,140,3.916,-0.557,29,71,4,6,10,17,26,19,18
28,色素性母斑,6800,140,4.217,0.031,25,75,3,14,21,26,19,11,6
29,類天疱瘡,34000,130,2.565,0.055,26,74,0,8,14,22,25,19,12
30,アミロイドーシス,32900,130,2.573,-8.922,38,62,1,10,11,18,23,19,18
31,菌状息肉症,13100,130,3.495,0.001,26,74,0,6,11,25,29,18,11
32,皮膚癌,6600,130,4.26,-0.006,39,61,2,5,10,17,21,18,27
33,ボーエン病 皮膚科 写真,5000,130,4.525,5.039,24,76,0,1,6,17,26,28,22
34,軟性線維腫,22800,120,2.875,0.009,27,73,2,7,20,30,25,10,6
35,化膿性汗腺炎,20300,120,2.948,-15.68,30,70,3,14,21,26,21,9,6
36,石灰化上皮腫,16000,120,3.2,-0.001,25,75,3,11,22,28,18,11,7
37,水疱性類天疱瘡,15300,120,3.264,-3.081,29,71,1,11,12,19,23,20,14
38,天疱瘡,27700,110,2.632,17.062,26,74,1,10,14,21,23,17,14
39,pci 医療用語,27300,110,2.657,17.016,29,71,1,25,16,20,20,11,7
40,扁平苔癬,22900,110,2.801,26.944,29,71,1,10,11,19,23,19,17
41,脂腺母斑,11900,110,3.443,0.001,21,79,2,8,29,29,17,10,5
42,皮膚癌 初期症状 画像,7500,110,3.976,-0.385,32,68,1,2,5,13,24,27,28
43,ニューモシスチス肺炎,28700,100,2.514,6.779,25,75,1,14,11,18,24,18,14
44,イベニティ皮下注射,27500,100,2.505,26.102,27,73,0,6,10,19,23,20,22
45,抗核抗体とは,26300,100,2.546,-19.22,22,78,1,7,11,19,27,19,16
46,ほくろ,21900,100,2.75,-0.002,35,65,6,11,19,25,17,11,11
47,うっ滞性皮膚炎,19300,100,2.841,4.102,26,74,1,9,13,21,24,18,14
48,メラノーマ 生存率,7800,100,3.755,-1.083,31,69,5,10,14,22,23,15,11
49,クレアチニンクリアランス,22300,90,2.591,-42.795,45,55,1,24,19,19,15,11,11
50,神経線維腫症,18600,90,2.743,3.383,27,73,2,11,18,25,22,12,10
51,アポハイドローション,18100,90,2.838,-22.798,31,69,6,13,18,28,22,8,5
52,上皮内癌とは,15500,90,3.007,-0.001,34,66,1,8,20,24,22,15,10
53,上皮内癌 種類,10300,90,3.44,4.292,35,65,0,3,11,21,25,23,17
54,皮膚線維腫,9300,90,3.499,0.078,23,77,1,9,21,29,24,11,5
55,メルケル細胞癌,2900,90,4.628,-0.001,34,66,1,9,12,17,25,19,17
