順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,悪性黒色腫 生存率,1200,460,6.931,0.001,38,62,3,10,13,17,23,18,16
2,悪性黒色腫 画像,3300,420,5.806,0,30,70,1,4,9,20,26,23,17
3,基底細胞癌,16100,350,4.046,0.001,31,69,1,7,11,18,22,21,20
4,メラノーマ 初期症状,25600,310,3.436,0.005,21,79,2,8,17,23,24,15,11
5,有棘細胞癌,11100,300,4.249,-0.001,31,69,1,8,13,21,25,18,14
6,ボーエン病,20200,290,3.619,-0.001,28,72,1,8,12,20,24,19,16
7,日光角化症,16400,210,3.532,-0.001,26,74,1,6,11,21,26,19,16
8,ダーモスコピー,11900,210,3.808,0.018,28,72,1,7,16,25,24,15,12
9,メラノーマ 生存率,7800,200,4.226,0.261,31,69,5,10,14,22,23,15,11
10,扁平苔癬,22900,190,3.101,4.805,29,71,1,10,11,19,23,19,17
11,神経鞘腫,18400,160,3.15,-0.033,37,63,1,9,14,20,23,18,15
12,センチネルリンパ節生検,15300,160,3.306,0.195,15,85,1,11,8,23,28,17,12
13,色素性母斑,6800,160,4.066,0,25,75,3,14,21,26,19,11,6
14,水疱性類天疱瘡,15300,150,3.237,-17.589,29,71,1,11,12,19,23,20,14
15,免疫チェックポイント阻害薬とは,16100,140,3.147,-0.103,40,60,1,13,9,17,23,19,18
16,ホルネル症候群,13500,140,3.289,-3.531,36,64,1,33,18,16,18,10,4
17,皮膚がん 生存率,12600,140,3.373,-0.045,38,62,6,8,10,18,23,19,16
18,黒色腫,3800,140,4.611,-0.001,32,68,2,7,11,20,23,17,20
19,菌状息肉症,13100,130,3.205,-23.348,26,74,0,6,11,25,29,18,11
20,tnm分類,11100,130,3.456,2.864,36,64,1,37,14,16,16,10,6
21,カルシトニン,10600,120,3.414,1.736,34,66,6,41,12,12,13,9,7
22,ニボルマブ,9800,120,3.488,-2.465,48,52,1,17,16,21,20,14,11
23,メラノーマ 治療,3100,120,4.582,0.264,28,72,2,8,14,23,24,16,13
24,ベバシズマブ,12100,110,3.13,-34.796,40,60,1,17,16,20,20,15,11
25,巨赤芽球性貧血,10800,110,3.276,8.748,28,72,4,31,13,18,17,11,6
26,ペムブロリズマブ,7600,110,3.638,22.052,46,54,1,17,18,21,18,13,12
27,カルボプラチン,11800,100,3.089,11.605,36,64,0,15,12,17,21,18,17
28,リンパ管腫,11700,100,3.111,3.798,27,73,2,10,20,26,21,13,8
29,ps 医療,9500,100,3.341,-9.097,32,68,1,31,26,21,13,5,3
30,オプジーボ 副作用,8400,100,3.474,0.006,33,67,0,5,7,16,21,21,30
31,血管肉腫,7700,100,3.522,0.044,32,68,1,9,15,21,25,18,11
32,基底細胞癌 初期 写真,4400,100,4.151,0.028,27,73,0,3,7,16,22,25,27
33,igg4関連疾患 診断基準,9500,90,3.174,13.246,47,53,0,8,14,20,21,20,17
