順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,りんご病,553000,8200,2.103,118.11,24,76,1,5,28,33,12,12,9
2,手足口病 登園目安,295000,6300,2.466,-1.271,14,86,0,5,40,33,8,9,5
3,マイコプラズマ肺炎 子供,415000,6200,2.098,38.988,18,82,1,3,28,40,9,9,10
4,手足口病 症状 初期 子供,284000,5700,2.405,-22.303,17,83,0,4,42,33,6,9,6
5,突発性発疹,308000,5400,2.286,6.525,17,83,0,9,45,19,9,13,5
6,ハッピーセット おもちゃ,318000,4600,2.081,34.008,19,81,2,7,40,37,7,5,2
7,手足口病 症状,262000,4300,2.218,-5.376,22,78,1,7,34,30,10,11,7
8,ヘルパンギーナ,266000,4100,2.15,-17.272,26,74,1,9,33,26,12,12,7
9,水疱瘡,190000,4100,2.476,0.006,30,70,2,8,29,31,13,9,8
10,水イボ 放置すると,20300,3500,4.537,0.1,15,85,1,4,36,38,9,8,4
11,水疱瘡 初期症状,120000,3200,2.692,0.005,17,83,1,4,32,38,10,8,7
12,アデノウイルス 子供,172000,3000,2.269,14.131,17,83,0,6,39,29,7,13,6
13,バースデイ オンライン,182000,2700,2.102,28.245,9,91,0,11,54,21,6,6,2
14,ヘルパンギーナ 症状 子供,133000,2600,2.398,-16.149,16,84,0,6,41,29,6,11,7
15,水いぼ 薬,12400,2600,4.738,0.002,23,77,0,3,31,38,11,10,7
16,中耳炎 子供,123000,2400,2.352,32.98,23,77,0,5,41,35,6,8,5
17,とびひ,89600,2400,2.71,0,23,77,2,8,32,30,12,9,7
18,土屋鞄ランドセル,139000,2300,2.216,95.319,19,81,1,2,35,33,8,12,9
19,水イボ,29600,2300,3.73,0.784,19,81,1,8,41,31,10,6,3
20,120925527,116000,2200,2.289,80.034,17,83,0,2,37,51,6,2,2
21,チャレンジタッチ,128000,2000,2.092,49.047,19,81,2,1,26,57,10,2,2
22,おかあさんといっしょ コンサート,125000,1900,2.126,-2.588,25,75,1,7,49,24,6,9,4
