順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,水虫 治し方,121000,11300,3.521,0,45,55,3,11,13,21,22,15,15
2,水虫 市販薬,79400,6700,3.407,0.002,45,55,1,10,15,22,23,15,14
3,水虫 画像,49300,5100,3.603,0,37,63,2,8,15,24,22,15,14
4,水虫 症状,35900,3500,3.577,0.001,38,62,4,25,21,18,15,9,8
5,水虫 薬,36700,3400,3.505,0.002,41,59,1,8,14,22,22,15,18
6,爪水虫,148000,3100,2.049,0.001,38,62,1,4,8,17,25,23,22
7,水虫 うつる,18400,2300,3.799,0.001,30,70,3,15,20,21,17,13,11
8,白癬菌,68200,2100,2.39,0.004,39,61,1,7,11,20,23,19,19
9,汗疱,92800,2000,2.038,0.004,28,72,5,16,23,25,18,8,5
10,水虫 かゆい,15000,1900,3.825,0.004,29,71,3,12,15,24,22,13,11
11,掌蹠膿疱症,108000,1700,1.713,0.007,27,73,1,7,13,22,26,19,12
12,足の裏 皮がむける,71200,1700,2.157,0.001,24,76,5,17,20,25,19,8,6
13,水虫 アルコール消毒,13800,1600,3.746,0.001,42,58,1,4,11,22,25,18,19
14,水虫 原因,11200,1600,3.93,0.001,39,61,7,29,25,21,11,4,3
15,ルリコンクリーム,57500,1200,2.017,0.253,41,59,1,5,8,16,21,21,28
16,足の指の間 皮がむける,23900,1200,2.877,0,37,63,3,14,17,24,21,12,9
17,あせも,70100,1000,1.641,-11.71,29,71,4,15,26,26,16,7,6
18,いんきんたむしとは,56400,1000,1.834,0.028,54,46,3,12,16,23,22,11,13
19,足の裏がかゆい,49300,1000,1.995,-0.001,21,79,4,10,16,25,23,14,8
20,虫歯,71300,960,1.574,14.488,39,61,7,18,27,22,11,7,8
21,足の皮がむける 原因,26800,960,2.55,0.001,35,65,9,20,20,25,15,6,5
22,魚の目,60100,940,1.72,0.002,36,64,6,16,23,25,16,8,6
23,水虫薬おすすめランキング,16900,920,2.99,0.002,64,36,1,1,2,12,29,28,27
24,水虫 手,6300,880,3.926,0.001,37,63,6,25,24,21,14,4,6
25,しもやけ,48200,820,1.796,3.948,28,72,5,10,20,28,17,10,10
26,ルリコナゾールクリーム,22700,800,2.562,3.278,41,59,0,7,10,16,21,19,27
27,いんきんたむし 画像,46600,770,1.74,0.004,70,30,1,7,15,21,24,17,15
28,足の指 水ぶくれ,18800,770,2.678,0,34,66,4,13,21,26,19,10,7
29,たむし 症状,31400,750,2.149,0,37,63,2,7,13,21,23,17,17
30,イボ,53300,730,1.586,6.296,33,67,3,8,15,25,23,14,12
31,水虫 爪,6200,730,3.772,0.001,37,63,2,13,19,19,14,14,19
32,足の裏 水ぶくれ,28300,700,2.155,-0.003,38,62,3,14,20,28,21,8,6
33,ブテナロック,21300,690,2.429,0.564,53,47,1,6,15,27,23,15,13
34,うおのめ,42700,680,1.729,0.039,37,63,5,14,23,28,16,8,6
35,異汗性湿疹,22700,630,2.278,1.643,26,74,2,13,21,26,21,11,6
36,爪白癬,29400,620,2.023,0.003,32,68,2,11,16,24,24,14,9
37,水虫薬,6300,610,3.55,0.001,51,49,1,6,9,21,25,19,19
38,テルビナフィン塩酸塩クリーム,36300,600,1.819,1.288,34,66,0,7,12,16,20,22,23
39,白癬,18100,590,2.459,0,34,66,2,20,19,20,18,12,9
40,水虫 水ぶくれ,4500,590,3.84,0.002,42,58,1,15,24,26,20,10,4
41,水虫 自然治癒,4200,580,3.896,0.004,40,60,5,26,30,26,9,3,1
42,水虫 痛い,3500,580,4.055,0.005,40,60,3,16,26,29,18,6,2
43,足が臭い原因,39400,570,1.623,0.521,44,56,6,20,20,26,18,6,4
44,しもやけ 足の指,35900,570,1.734,0.012,25,75,2,7,15,25,18,17,16
45,水虫 ステロイド,4400,570,3.797,0.002,39,61,0,10,25,32,21,7,5
46,かんぽう 皮膚,29300,560,1.916,0.011,26,74,2,13,24,25,19,10,7
47,ラミシールクリーム,33600,550,1.798,0.373,41,59,1,5,11,17,21,20,25
48,足の指 かゆい,9700,550,3.011,0.001,24,76,4,22,29,26,11,4,4
49,手の皮がむける原因,39100,540,1.594,-0.001,38,62,6,17,17,24,20,9,7
50,水ぶくれ,30000,540,1.876,0,38,62,12,18,19,22,15,8,6
51,水虫 靴下,3900,540,3.872,0.044,38,62,2,11,20,28,23,10,6
52,水虫とは,7700,530,3.256,0,47,53,17,38,19,13,7,3,3
53,テルビナフィン,26300,510,1.94,0.99,40,60,0,9,13,20,23,16,19
54,水虫 飲み薬,5500,510,3.471,0,50,50,0,6,16,25,29,13,11
55,水虫 オロナイン,3500,510,3.935,0.002,43,57,2,13,24,29,21,8,3
56,いんきんたむし,20300,500,2.166,3.005,64,36,3,15,22,21,17,11,11
57,汗疱 治し方,26200,490,1.898,0.966,29,71,6,18,19,22,20,10,5
58,水虫 市販薬 よく効く,5000,460,3.48,0.008,44,56,2,8,15,24,26,14,11
59,かかと 水虫,17900,450,2.189,4.135,27,73,1,5,13,25,28,17,11
60,足臭いのを治す方法,29100,440,1.699,0.285,42,58,10,24,21,25,14,4,2
61,手 水虫,10700,440,2.688,1.983,39,61,4,21,29,26,13,4,3
62,水虫 水泡,3100,420,3.849,0.003,40,60,1,11,22,31,21,9,5
63,水虫 子供,3000,420,3.865,0.001,14,86,1,4,42,45,5,1,2
64,皮膚炎,29800,400,1.579,18.669,38,62,3,9,14,20,21,16,17
65,足の指の間がかゆい,7400,400,2.949,0,31,69,3,15,17,23,21,13,8
66,水虫 足の裏,3500,400,3.696,0,37,63,5,23,27,25,12,5,3
67,たむし,11300,390,2.495,0,41,59,5,11,20,25,19,11,9
68,水虫 かゆくない,3100,390,3.784,0.001,32,68,3,25,29,24,13,5,1
69,真菌とは,28400,380,1.574,0,34,66,2,10,12,18,22,18,18
70,水虫 皮膚科,3000,380,3.8,0.002,50,50,1,20,30,25,15,5,4
71,足裏 皮がむける,15800,370,2.114,0.001,30,70,3,12,18,26,23,10,8
72,足 水ぶくれ,10900,370,2.466,0,41,59,5,17,26,27,16,6,3
73,ゼフナートクリーム2%,15000,360,2.201,5.679,44,56,0,3,7,13,21,23,33
74,水虫 治らない,2900,360,3.769,13.083,45,55,2,18,27,28,17,6,2
75,水虫 何科を受診,2400,350,3.912,0.003,50,50,0,17,28,29,17,6,3
76,ルリコナゾールクリーム 効果,10500,320,2.453,2.901,45,55,1,4,8,14,20,20,33
77,水虫 皮がむける,2700,320,3.729,0.005,37,63,2,19,29,26,16,5,3
78,足 赤い斑点,20700,310,1.67,0.001,26,74,5,17,21,23,19,10,5
79,ラミシール,14100,310,2.064,0.012,49,51,1,8,13,20,23,16,19
80,足の指がかゆい,6800,310,2.808,0.001,30,70,4,11,15,24,22,14,10
81,足の指の間 水ぶくれ,5200,300,3.018,0.001,29,71,2,13,19,23,23,12,8
82,水虫 酢,2800,300,3.617,0.001,46,54,1,4,12,22,31,16,14
83,水虫 リンデロン,2500,300,3.718,0.001,30,70,2,7,22,38,20,7,4
84,足の甲 痒い,17900,290,1.755,0.001,26,74,2,14,21,25,23,9,6
85,アスタット軟膏,17500,280,1.783,0.289,44,56,0,7,13,19,20,17,24
86,足の裏 かゆい,10500,280,2.26,-0.001,25,75,3,17,30,29,14,4,3
87,汗疱性湿疹,9300,280,2.371,0.004,24,76,2,16,22,26,19,10,5
88,ルリコナゾール,6700,280,2.743,4.209,48,52,0,8,12,18,19,18,25
89,水虫 治るまでの期間,2200,280,3.816,0.051,40,60,2,21,27,28,14,5,3
90,かかと水虫,9900,270,2.242,0.003,21,79,1,9,21,29,23,11,6
91,テルビナフィン塩酸塩クリーム1%,16000,260,1.816,0.745,43,57,1,4,7,14,18,20,36
92,たむし 画像,13100,260,1.982,0.021,39,61,1,3,8,19,27,22,20
93,水虫 薬 ランキング,3300,260,3.343,0.003,48,52,1,7,16,22,20,16,18
94,クレナフィン爪外用液,19200,250,1.571,0.021,37,63,1,5,8,16,21,21,28
95,足の指,19000,250,1.581,1.5,28,72,4,10,14,19,21,18,14
96,かぶれ,16100,250,1.7,5.937,34,66,4,13,19,24,20,12,8
97,ルリコン,9600,250,2.271,1.219,44,56,1,7,13,20,20,16,23
98,水虫菌,3400,250,3.296,0.001,47,53,1,6,13,22,21,17,20
99,恋占い,18800,240,1.584,-12.489,16,84,58,26,4,6,4,1,1
100,バイク骨タイヤ,17000,240,1.643,4.812,61,39,41,27,11,12,6,2,1
101,膿,16000,240,1.688,4.409,49,51,11,16,19,22,16,9,7
102,ルリコン軟膏1%,15700,240,1.785,1.235,43,57,0,3,6,10,16,21,44
103,アスタットクリーム1%,15500,240,1.781,0.025,34,66,1,5,8,14,19,23,30
104,足がかゆい 原因,14400,240,1.789,0,37,63,5,12,14,21,21,15,12
105,真菌,13300,240,1.887,0,40,60,3,15,18,21,19,13,11
106,汗疱 市販薬,11900,240,1.938,0.013,28,72,2,15,22,24,23,10,4
107,ラノコナゾールクリーム,11000,240,2.052,5.301,35,65,1,9,14,18,19,18,21
108,水虫 市販薬 ランキング,2800,240,3.409,0.005,50,50,0,10,19,25,24,13,9
109,ネイリンカプセル100mg,14400,230,1.765,4.1,40,60,0,4,9,16,22,22,27
110,足汗がひどい原因,13500,230,1.789,2.118,39,61,6,28,25,19,15,5,2
111,抗真菌薬,12000,230,1.895,0.007,43,57,1,13,18,23,21,13,11
112,爪水虫 治療法,11600,230,1.976,0.913,41,59,1,3,8,16,25,24,23
