順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,皮膚科 近く 現在地,223000,19000,3.049,0,32,68,2,5,9,21,24,19,20
2,整形外科,407000,10100,1.787,0,34,66,2,5,12,25,25,16,15
3,耳鼻科,125000,4800,2.224,3.492,30,70,3,11,23,28,17,8,10
4,耳鼻咽喉科,208000,4700,1.706,0.004,40,60,2,10,17,21,19,14,17
5,眼科,114000,4300,2.225,0.406,33,67,3,7,15,23,18,14,20
6,内科,120000,3900,2.037,5.572,36,64,2,12,19,26,21,11,9
7,歯医者,150000,3600,1.734,4.769,42,58,3,10,15,23,22,14,13
8,耳鼻科 近く 現在地,142000,3500,1.8,1.15,32,68,2,5,10,23,25,18,17
9,眼科 近く 現在地,119000,3000,1.812,-0.049,33,67,2,4,10,23,24,19,18
10,皮膚ガン 初期症状,107000,2400,1.707,-0.007,32,68,2,8,10,17,21,20,22
11,皮膚科 名医,23700,2400,3.275,0,29,71,1,2,4,11,26,25,31
12,整形外科 近く,95600,2300,1.78,0.119,35,65,2,5,9,19,24,20,21
13,小児科,49300,2300,2.373,0.828,26,74,3,9,31,32,10,8,7
14,湿疹,95200,2200,1.739,0.006,41,59,3,12,18,19,18,14,16
15,美容皮膚科,83100,2100,1.817,0,15,85,3,12,15,24,25,13,8
16,皮膚科 日曜日診療,23100,2000,3.018,0,23,77,2,8,16,33,26,9,6
17,形成外科,60800,1900,1.987,0.002,31,69,2,6,21,37,11,5,18
18,婦人科,53700,1800,2.076,5.624,15,85,3,14,15,25,21,10,12
19,皮膚,32500,1800,2.627,0,35,65,2,4,7,17,26,22,22
20,内科 現在地周辺,53300,1600,1.936,22.498,32,68,2,9,16,27,26,12,8
21,軟膏,49900,1500,2.005,0.001,36,64,5,8,8,14,23,21,21
22,ケーキ屋,65500,1400,1.669,14.002,38,62,3,7,12,19,23,22,14
23,産婦人科,45900,1100,1.792,3.564,24,76,7,26,24,17,12,7,7
24,皮膚科 シミ取り 保険適用,19000,1100,2.666,0,17,83,0,1,7,26,30,20,16
25,近くの皮膚科,19000,1100,2.663,0,37,63,6,11,9,16,19,18,21
26,皮膚科 ニキビ,15800,980,2.774,0,23,77,19,37,15,15,10,2,2
27,皮膚炎,29100,960,2.069,0.002,38,62,3,9,14,20,22,16,16
28,治療,42000,890,1.663,0.001,42,58,1,2,5,12,25,23,32
29,湿疹の種類,38200,890,1.76,0.001,27,73,0,2,5,18,25,24,26
30,皮膚病の種類,16400,810,2.559,0,49,51,1,1,3,8,18,27,42
31,皮膚科 イボとり 料金,10300,810,2.941,0,35,65,1,4,12,23,26,19,15
32,外科,23400,790,2.109,0,39,61,3,8,13,20,19,18,19
33,皮膚 赤い斑点,27400,700,1.793,0,34,66,1,8,16,24,26,12,13
34,整形外科 日曜日,27700,650,1.696,-0.408,27,73,3,6,17,36,24,9,5
35,歯科,25600,630,1.779,0.002,40,60,1,7,14,22,23,16,17
36,皮膚科 近く,4500,620,3.548,0,33,67,5,15,18,18,16,16,12
37,婦人科 女医,21200,590,1.904,1.929,9,91,1,7,6,22,35,14,15
38,皮膚科 シミ取り,10900,590,2.556,0,16,84,1,5,17,29,25,13,10
39,皮膚病,14800,570,2.275,0,44,56,2,5,8,15,21,20,29
40,皮膚掻痒症,22400,550,1.795,0,26,74,2,10,16,21,19,14,18
41,皮膚科 イボ取り 料金,5700,480,3.008,0,33,67,0,4,11,25,25,19,16
42,かゆみ 赤い発疹,18100,430,1.775,-0.202,31,69,1,3,8,17,24,23,24
43,小児科 近く,9200,430,2.391,16.33,19,81,1,7,32,38,8,7,7
44,耳鼻科 日曜日,17400,410,1.698,12.378,26,74,2,10,19,33,22,9,5
45,形成外科 皮膚科 違い,14900,390,1.862,0.001,23,77,1,6,14,26,22,15,16
46,アレルギー科,10600,390,2.157,0.006,23,77,2,9,18,28,24,12,7
47,皮膚科 ほくろ除去,7500,390,2.511,0,18,82,7,18,20,24,20,6,5
48,皮膚炎 画像,14000,380,1.894,0,35,65,0,3,8,20,26,22,21
49,いとう皮膚科クリニック,15300,370,1.746,-0.001,25,75,3,10,15,26,23,13,10
50,皮膚科 オンライン診療,7300,360,2.474,0,20,80,1,20,29,28,15,5,2
51,皮膚科 英語,4500,340,2.917,0,30,70,3,12,15,22,21,14,13
52,かゆみ 抑える,14600,330,1.718,0.003,30,70,3,7,12,20,23,17,18
53,眼科 日曜日,11700,320,1.862,18.49,30,70,3,8,18,29,25,11,6
54,ひまわり皮膚科,11600,310,1.831,0,24,76,2,10,19,28,23,11,7
55,皮膚の病気,6300,310,2.535,0.001,37,63,2,3,5,13,21,24,32
56,さとう皮膚科クリニック,13000,300,1.699,0.002,26,74,2,9,15,27,24,13,10
57,皮膚科専門医,4000,300,2.907,0,38,62,1,7,16,21,17,17,21
58,腫れる,13700,290,1.71,0.158,34,66,1,2,4,12,20,26,35
59,みどり皮膚科クリニック,10200,290,1.929,0.11,24,76,3,7,15,27,24,13,11
60,皮膚 痒み 赤い 盛り上がる,8500,290,2.094,0,38,62,1,4,9,21,29,21,15
61,皮膚科 土曜日午後診療,2800,270,3.091,0,18,82,2,7,21,37,24,6,3
62,塗る,12000,260,1.736,2.469,33,67,1,2,3,10,22,32,30
63,すずき皮膚科クリニック,11000,260,1.737,0,26,74,3,8,17,29,22,12,9
64,皮膚のかゆみ,10600,260,1.828,-1.217,36,64,0,2,4,12,23,25,34
65,塗り薬,9600,250,1.878,0.329,37,63,1,6,9,15,24,20,25
66,アトピー性皮膚炎 大人で発症,10300,240,1.747,1.774,31,69,1,9,9,16,27,23,15
67,アレルギー性皮膚炎,10000,240,1.756,1.479,27,73,2,14,19,23,17,13,12
68,かゆみ,9800,240,1.775,-0.171,34,66,1,4,11,19,23,19,23
69,山本皮膚科,7800,240,2.012,0.002,27,73,3,10,18,27,20,11,11
70,皮膚科 女性医師,3200,240,2.888,0,15,85,2,16,19,26,23,9,5
71,湿疹 治らない,9600,230,1.76,2.985,31,69,1,6,11,22,25,19,16
72,ケーキ屋さん,9300,230,1.783,6.709,24,76,7,18,22,24,13,9,7
73,近くの皮膚科 現在地,6800,230,2.16,-0.001,38,62,2,4,5,10,21,27,31
74,胃腸科,6400,230,2.184,5.83,33,67,2,8,13,24,25,15,13
75,皮膚科 アレルギー検査,6400,230,2.177,0,15,85,3,26,30,23,12,4,2
76,皮膚科 粉瘤,2400,230,3.106,0,35,65,1,12,20,27,21,11,8
77,疑い,9600,220,1.695,6.801,42,58,1,2,5,15,27,25,25
78,英語教室,9100,220,1.712,24.445,21,79,1,6,23,39,15,9,7
79,森田皮膚科クリニック,8600,220,1.82,0.01,28,72,2,7,15,26,23,14,13
80,井上皮膚科,7500,220,1.938,0.003,32,68,3,11,19,25,20,12,10
81,皮膚科 札幌,2200,220,3.181,0,27,73,1,12,18,31,21,10,7
82,哪吒2 日本上映,8700,210,1.692,138.023,41,59,1,10,34,33,14,6,2
83,オンライン診療 皮膚科,7200,210,1.919,0.002,18,82,1,13,24,29,22,7,4
84,眼科 近く,6800,210,2.043,-21.047,28,72,3,7,19,24,18,14,15
85,日本皮膚科学会,6500,210,2.07,-6.922,42,58,1,8,15,23,23,16,14
86,小児皮膚科,4000,210,2.499,0,20,80,0,10,47,30,6,5,2
87,ご飯屋さん,7000,200,1.955,5.974,32,68,24,30,20,13,6,4,3
88,麻痺とは,8700,190,1.664,0.617,33,67,5,8,6,14,29,23,15
89,はやし皮ふ科クリニック,8600,190,1.687,0.001,24,76,2,9,17,26,21,13,12
90,佐々木皮膚科,8500,190,1.683,0.013,27,73,3,10,19,28,21,11,8
91,ふじた皮膚科クリニック,8500,190,1.678,-0.05,24,76,2,9,18,28,21,12,10
92,アトピー性皮膚炎 薬,8200,190,1.73,0.828,29,71,1,9,13,23,27,17,10
93,皮膚科 ニキビ 薬,7200,190,1.908,0,17,83,14,36,22,18,8,1,1
94,小林皮膚科,6400,190,1.968,0.001,28,72,5,11,15,24,20,14,11
95,皮膚疾患 一覧,6000,190,2.02,0.03,21,79,1,8,9,23,26,18,15
96,伊藤皮膚科,5900,190,2.035,0.102,29,71,4,9,16,26,20,13,12
97,皮膚腫瘍,5300,190,2.15,0.003,36,64,2,9,13,23,24,17,12
98,軟膏 クリーム 違い,8300,180,1.689,4.407,37,63,1,7,12,13,33,26,8
99,ダンス教室,7500,180,1.765,13.1,28,72,5,7,16,32,17,12,11
100,cpb,7400,180,1.715,-15.311,31,69,0,15,43,27,8,4,3
101,小児歯科,5600,180,2.028,6.995,17,83,2,10,39,34,7,4,4
102,皮膚炎 治らない,5200,180,2.105,1.994,35,65,1,5,11,21,28,18,16
103,皮膚科学会,3100,180,2.6,0,42,58,1,10,21,28,20,11,9
104,皮膚癌 初期症状 画像,8000,170,1.657,-1.028,33,67,1,2,5,12,24,27,29
105,かわい皮膚科,7300,170,1.731,0.106,25,75,2,11,16,26,23,14,8
106,皮膚 赤い 盛り上がり,7200,170,1.726,0,27,73,1,7,16,28,28,13,7
107,帯状疱疹 何科,7100,170,1.782,0,28,72,0,3,11,21,28,20,17
108,皮膚疾患,5400,170,2.017,0.001,41,59,2,11,15,21,22,14,15
109,日曜日 皮膚科,3300,170,2.48,0.023,21,79,3,13,24,36,18,4,2
110,皮膚科 日曜日,1600,170,3.248,0,28,72,3,18,27,29,15,5,3
111,皮膚潰瘍,7400,160,1.669,0.029,33,67,2,10,13,22,24,17,12
112,水泳教室,7100,160,1.672,-14.972,31,69,2,4,21,29,17,12,15
113,急患センター 福岡,6600,160,1.735,0.493,26,74,2,7,21,34,21,9,6
114,森皮膚科クリニック,6500,160,1.769,0.01,23,77,3,7,7,25,29,18,11
115,小児科 日曜診察,6200,160,1.798,10.793,24,76,0,5,35,41,8,6,5
116,皮膚 かゆみ,5300,160,1.936,0,38,62,1,5,12,26,28,17,11
117,皮膚科 初診料,4900,160,2.103,0,27,73,7,45,22,14,7,3,2
118,膚,2400,160,2.772,0,43,57,9,10,12,23,19,10,17
119,皮膚科 四日市,1900,160,3.011,0,29,71,2,8,22,31,22,11,4
120,あおぞら皮膚科,6700,150,1.665,-0.013,24,76,3,9,21,29,22,9,7
121,あい皮膚科クリニック,6400,150,1.708,0.002,19,81,3,10,16,28,23,11,9
122,ブツブツ 皮膚,5800,150,1.823,5.063,28,72,3,9,17,31,24,9,7
123,たばた皮膚科クリニック,5800,150,1.813,0.002,21,79,2,7,15,31,26,11,8
124,皮膚病 乾癬,5400,150,1.951,0.001,44,56,0,3,5,12,22,24,34
125,皮膚科 祝日診療,1900,150,2.944,0,28,72,3,16,23,32,19,5,2
126,皮膚科 仙台,1700,150,3.015,0,27,73,3,18,21,29,18,7,4
127,藤井皮膚科クリニック,6300,140,1.692,0.001,25,75,4,6,16,28,22,11,13
128,ダンス教室 子供,5300,140,1.797,0.261,16,84,1,2,28,49,8,5,7
129,コスモス皮膚科 印西市,4700,140,1.933,-0.001,28,72,2,4,17,30,21,12,14
130,よしだ皮膚科クリニック,4400,140,1.99,0.001,23,77,2,8,17,32,23,9,9
131,山田皮膚科,4100,140,2.116,0,27,73,3,10,18,27,20,14,8
132,皮膚科 薬,2200,140,2.791,0,26,74,7,23,24,20,16,6,4
133,皮膚科 女医,2100,140,2.753,0,18,82,1,10,15,26,29,12,7
134,皮膚科 八王子,1700,140,2.998,0,27,73,1,10,14,30,25,12,8
135,帯状疱疹何科,6300,130,1.691,-0.001,31,69,0,1,2,8,27,28,34
136,腫れ,5900,130,1.659,0.037,44,56,2,4,9,13,26,22,24
137,濱田皮膚科クリニック,5800,130,1.681,0,26,74,3,10,17,26,25,12,7
138,粉瘤 皮膚科,5700,130,1.715,-1.44,32,68,2,15,22,24,17,12,8
139,立川 皮膚科,5700,130,1.712,0.001,26,74,1,17,19,25,21,10,7
140,mikihouse,5400,130,1.77,-4.839,24,76,2,18,50,18,6,4,2
141,顔湿疹,4800,130,1.838,-6.07,18,82,2,10,14,25,25,14,10
142,柏 皮膚科,4700,130,1.878,0.005,26,74,2,14,22,28,19,9,6
143,皮膚のかゆみ 治らない,4400,130,2.018,0.001,34,66,1,3,4,13,24,26,29
144,皮膚湿疹,3800,130,2.139,0.273,31,69,1,4,8,17,22,22,26
145,剥がれる,5500,120,1.655,0.001,45,55,1,1,4,11,23,29,31
146,とびひ 治らない,5400,120,1.688,0.002,30,70,2,5,26,32,18,9,8
147,新宿 皮膚科,5400,120,1.686,0.003,29,71,0,26,26,22,16,7,3
148,近藤皮膚科クリニック,5200,120,1.749,0.004,27,73,2,9,11,23,25,17,13
149,大森皮膚科クリニック,5000,120,1.759,0.045,28,72,2,11,15,22,22,15,13
150,夏期講習 中学生,5000,120,1.666,-84.411,15,85,3,1,6,59,28,1,2
151,八王子 皮膚科,4900,120,1.744,0,32,68,1,11,17,27,25,11,8
152,石井皮膚科,4900,120,1.733,0.012,29,71,3,8,20,26,20,11,12
153,ひたち野ファミリークリニック,4900,120,1.725,0,29,71,2,7,21,33,21,9,7
154,ケーキ屋さん 現在地周辺,4800,120,1.797,-12.401,21,79,9,11,19,29,17,9,6
155,皮下腫瘍摘出手術,4800,120,1.742,14.06,33,67,1,5,14,24,30,17,9
156,皮膚がかゆい,4700,120,1.86,0,39,61,1,4,4,15,21,23,32
157,海老名 皮膚科,4600,120,1.783,-0.007,26,74,2,13,24,26,20,9,6
158,とびひ 完治 目安,4400,120,1.837,2.972,18,82,2,4,28,37,12,11,6
159,フタバ皮膚科,4300,120,1.877,0.001,28,72,1,7,15,30,25,12,10
160,佐藤皮膚科,4200,120,1.909,0,29,71,4,11,17,26,19,12,11
161,長谷川皮膚科,4000,120,2,0.007,28,72,3,7,17,28,23,12,10
162,lu lu lemon,3900,120,1.988,-1.136,20,80,0,17,48,25,7,2,1
163,日曜日 小児科,3800,120,1.938,10.431,14,86,1,7,48,37,3,2,2
164,川崎 皮膚科,3700,120,2.024,-0.004,30,70,2,19,25,26,19,6,3
165,さいたま市 皮膚科,3400,120,2.091,0.001,29,71,1,5,15,26,29,15,9
166,耳鼻科 近く,2900,120,2.279,4.636,28,72,2,17,24,21,20,9,7
167,皮膚科 休日診療,2000,120,2.61,0,25,75,2,5,19,35,26,11,2
168,皮膚科 姫路,1600,120,2.871,0,29,71,2,9,23,33,20,7,6
169,皮膚がかゆい原因,5400,110,1.664,0,31,69,1,6,8,18,22,18,27
170,ようしん 皮膚,4800,110,1.712,4.315,28,72,2,10,18,25,21,15,9
171,ネリゾナ軟膏,4700,110,1.747,0.265,32,68,2,8,15,18,19,15,23
172,ちひろ皮膚科,4600,110,1.794,-0.114,24,76,4,6,13,26,24,12,15
173,擦り傷 何科を受診,4600,110,1.7,-0.003,24,76,3,5,15,35,24,11,7
174,札幌 皮膚科,4500,110,1.801,-0.004,29,71,2,15,19,26,21,10,7
175,大宮 皮膚科,4300,110,1.845,0.379,26,74,1,23,25,22,18,7,4
176,梅田 皮膚科,4300,110,1.798,0.005,26,74,1,25,25,22,17,7,3
177,しらたま皮膚科,4300,110,1.788,-0.744,21,79,3,11,20,30,21,8,7
178,レイクタウン皮膚科,4200,110,1.801,0,23,77,2,6,21,34,22,10,5
179,中川皮膚科クリニック,4000,110,1.874,0.006,30,70,4,7,13,25,22,15,14
180,どい皮膚科,3800,110,1.959,0.001,25,75,3,6,18,32,21,10,10
181,宇都宮 皮膚科,3500,110,1.986,-0.004,34,66,1,11,21,28,23,11,5
182,皮膚腫瘍摘出術,3500,110,1.958,0.002,29,71,0,4,15,28,28,15,10
183,高橋皮膚科,3400,110,2.06,0,31,69,2,6,15,26,21,15,15
184,横浜 皮膚科,3300,110,2.093,0.003,27,73,3,27,22,19,16,9,4
185,田中皮膚科,3100,110,2.124,0.148,29,71,4,13,19,24,19,12,9
186,天王寺 皮膚科,2900,110,2.23,0.004,21,79,2,26,23,23,18,7,1
187,清水皮膚科,2900,110,2.227,0.199,27,73,5,10,21,28,18,9,9
188,コスモス皮膚科,2900,110,2.167,0.137,24,76,5,13,22,30,17,7,6
189,みどり皮膚科,2800,110,2.258,0.066,24,76,2,6,18,29,22,10,13
190,日本皮膚科学会総会 2024,2400,110,2.352,-103.856,41,59,0,4,13,27,28,17,11
191,水疱ができる病気,4700,100,1.683,-0.107,26,74,0,2,7,17,28,25,21
192,目医者 眼科,4600,100,1.728,39.288,45,55,3,5,5,13,23,23,28
193,オイラックスクリーム10%,4600,100,1.712,2.351,33,67,0,3,9,15,18,22,33
194,内田皮膚科 四日市,4600,100,1.699,0.002,28,72,3,8,16,22,21,15,15
195,エキシマライト光線療法,4500,100,1.71,0.343,21,79,1,5,14,27,29,14,10
196,水野医院,4500,100,1.666,-24.205,29,71,1,6,16,27,21,15,14
197,痒み止め,4400,100,1.769,0.032,41,59,1,9,12,18,23,15,22
198,花屋さん,4400,100,1.757,14.16,32,68,6,11,16,20,19,13,15
199,川口皮膚科クリニック,4400,100,1.746,0.002,30,70,2,7,14,23,25,16,13
200,天神皮膚科,4400,100,1.728,0.002,19,81,2,22,23,21,20,8,4
201,体育館 予約,4400,100,1.711,73.579,39,61,20,13,15,32,13,3,4
202,日曜当番医,4400,100,1.697,0.098,27,73,1,2,11,20,23,23,20
203,皮膚皮下腫瘍摘出手術,4400,100,1.686,0.005,29,71,1,8,18,25,27,13,8
204,和菓子屋 近く,4300,100,1.77,18.823,30,70,1,3,8,18,28,26,16
205,湿疹 症状写真 ダニ,4300,100,1.752,-13.523,23,77,1,10,10,21,27,15,16
206,痒疹 治し方,4100,100,1.753,0.005,34,66,2,5,10,20,26,19,18
207,乳腺科,4000,100,1.859,23.691,19,81,2,14,22,25,17,10,10
208,日曜日 整形外科,3900,100,1.816,-5.386,31,69,2,7,23,41,20,5,2
209,町田 皮膚科,3900,100,1.783,0,28,72,1,13,19,26,22,12,7
210,桜井皮膚科,3900,100,1.782,0,25,75,5,7,18,29,23,10,8
211,戸塚 皮膚科,3900,100,1.777,-0.079,26,74,1,11,19,28,23,10,8
212,皮膚炎 かゆみ,3800,100,1.875,0.005,28,72,1,4,8,17,24,23,23
213,近くの小児科,3800,100,1.846,2.371,20,80,3,11,34,32,10,5,5
214,cpb 資生堂,3800,100,1.787,-15.63,23,77,0,6,40,34,12,5,3
215,二俣川 皮膚科,3700,100,1.823,0.214,23,77,2,10,18,27,21,12,10
216,いない皮膚科形成外科,3400,100,1.994,-0.001,26,74,2,6,18,26,24,13,11
217,皮膚科 脱毛,3400,100,1.99,0,25,75,5,27,21,24,17,4,2
218,北村皮膚科,3300,100,1.994,-0.001,33,67,4,9,14,22,24,16,11
219,皮膚 できもの 種類,3300,100,1.982,0.001,52,48,2,5,14,23,27,21,8
220,いちはし皮膚科 富田林,3200,100,2.046,-0.078,27,73,4,10,14,24,19,14,15
221,皮膚科 薬だけもらう,3200,100,2.01,0,26,74,7,40,22,19,8,2,2
222,高松市 皮膚科,3200,100,1.957,-0.369,31,69,1,5,16,31,26,13,8
223,川崎皮膚科,2700,100,2.22,-4.487,30,70,2,13,19,24,20,12,10
224,皮膚かゆみ原因,2400,100,2.264,0,31,69,1,2,7,18,27,25,20
225,皮膚科学会 2024,2200,100,2.313,-14.269,38,62,0,6,15,27,26,17,9
226,静岡皮膚科,4200,90,1.666,0.115,24,76,3,17,16,23,23,11,7
227,爪水虫 皮膚科,4100,90,1.719,0.001,39,61,1,2,8,15,27,24,23
228,ひびきの皮膚科,4100,90,1.679,0.008,24,76,2,10,19,27,21,13,8
229,四日市 皮膚科,4000,90,1.707,-0.058,31,69,1,10,20,28,23,11,7
230,しらゆき皮膚科 半田市,4000,90,1.66,0.177,19,81,3,14,19,25,21,9,9
231,書き初めセット,3900,90,1.697,63.329,14,86,2,2,28,53,10,2,3
232,姫路 皮膚科,3900,90,1.66,0.001,33,67,2,10,20,26,23,11,8
233,渋谷皮膚科,3900,90,1.654,0.005,26,74,2,15,18,26,22,11,6
234,豊田市 皮膚科,3800,90,1.741,0,34,66,0,8,22,29,23,11,7
235,吉祥寺 皮膚科,3800,90,1.706,0.001,24,76,2,13,16,25,25,11,8
236,ネイリン,3800,90,1.695,-8.528,47,53,0,6,13,22,25,18,16
237,消化器科,3800,90,1.678,21.751,42,58,3,10,19,25,22,10,11
238,皮膚科 ピアス穴開け,3700,90,1.887,0,12,88,33,17,13,22,11,2,2
239,薬を塗る事 言い方,3700,90,1.794,3.158,20,80,1,4,10,20,27,26,12
240,e m s国際追跡,3700,90,1.752,-15.913,30,70,1,8,40,32,11,5,3
241,形成外科 名医,3600,90,1.879,-0.105,20,80,0,3,4,14,28,27,24
242,内科 日曜診療,3600,90,1.827,9.929,31,69,2,15,22,28,23,7,3
243,あさひ皮フ科,3600,90,1.785,0.43,25,75,2,9,15,28,24,11,11
244,レインボー皮膚科 おゆみ野,3600,90,1.777,-0.007,24,76,2,6,19,31,25,9,8
245,ニコニコこどもクリニック,3600,90,1.771,-19.819,22,78,0,6,39,39,10,4,2
246,わたなべ耳鼻科,3600,90,1.741,-0.123,22,78,2,8,27,33,16,6,8
247,菊池皮膚科,3500,90,1.825,10.641,31,69,3,11,12,23,23,15,13
248,太田皮膚科,3500,90,1.817,-0.001,27,73,4,11,16,27,19,12,11
249,まなべ皮膚科クリニック,3500,90,1.788,-0.008,28,72,3,10,17,26,22,13,9
250,あきえ皮膚科クリニック,3500,90,1.782,6.084,23,77,4,10,19,25,21,12,9
251,残差物とは,3500,90,1.775,3.972,40,60,1,6,14,23,31,17,8
252,めぐみ皮膚科,3400,90,1.846,-0.037,26,74,4,11,16,32,22,9,6
253,zo zozotown,3400,90,1.827,-9.743,20,80,1,11,42,29,9,5,3
254,東戸塚 皮膚科,3400,90,1.818,0,26,74,2,8,16,25,24,14,11
