順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,icl 手術とは,167000,3400,2.716,-0.002,38,62,2,14,19,21,22,14,8
2,icl 値段,47100,2100,3.498,0,41,59,2,21,25,20,18,9,5
3,レーシック手術,112000,2000,2.562,-0.002,46,54,5,16,17,24,19,10,9
4,レーシック,45300,2000,3.463,0,45,55,5,16,19,24,19,9,8
5,品川近視クリニック,25000,1400,3.735,0.01,45,55,1,18,29,24,18,7,3
6,icl 老眼,13800,1100,4.029,0.001,35,65,1,4,12,29,37,12,5
7,オルソケラトロジー,69600,970,2.29,-0.001,24,76,3,7,17,39,20,8,6
8,icl 医療費控除,5200,680,4.571,0.006,46,54,0,25,41,17,10,5,2
9,レーシック 金額,38700,660,2.54,-0.001,47,53,3,25,22,22,17,7,4
10,レーシック icl,13100,650,3.611,-0.001,37,63,4,27,30,21,11,5,2
11,icl 失敗しました,5800,570,4.274,0,41,59,3,19,33,22,14,5,4
12,ゴリラクリニック,75600,550,1.674,-10.803,80,20,1,28,32,21,12,4,2
13,icl レーシック 比較,7300,540,4.028,0.001,38,62,3,33,29,18,10,4,3
14,icl 手術,10400,480,3.526,0,30,70,3,24,26,21,16,7,3
15,多焦点眼内レンズ,29600,470,2.489,0.004,36,64,0,2,3,14,33,27,21
16,アイクリニック東京,5600,450,4.104,0.023,32,68,1,16,25,20,18,11,9
17,眼内レンズ,16100,410,2.936,-0.001,41,59,0,5,10,17,25,24,19
18,icl デメリット,5000,410,4.11,0.001,38,62,3,27,37,18,9,4,2
19,視力回復 施術,14500,400,2.97,-0.01,44,56,3,10,17,28,25,10,7
20,眼内コンタクトレンズ,14100,400,3.026,-0.007,34,66,1,9,20,25,23,13,9
21,icl手術,11800,400,3.216,0.001,45,55,2,14,17,21,24,13,9
22,湘南美容,39400,360,1.899,0.873,23,77,2,22,30,24,14,5,3
23,乱視,31800,320,1.994,0.186,36,64,7,17,21,25,16,7,7
24,レーシック デメリット,13100,300,2.825,-0.003,42,58,3,20,23,22,17,9,6
25,視力回復,19500,270,2.288,-0.001,49,51,8,14,17,26,21,8,6
26,レーシック 老眼,15500,270,2.492,0,40,60,1,4,7,32,39,12,5
27,ストグラ wiki,34700,250,1.679,-100.194,53,47,9,31,31,18,7,2,2
28,強度近視,16500,250,2.378,0.802,29,71,3,10,17,28,23,13,6
29,iclとは,4400,250,3.739,0,34,66,10,27,19,17,14,9,4
30,アートメイク,33100,240,1.68,-23.041,24,76,1,12,22,25,21,11,8
31,多焦点眼内レンズ 費用,21600,230,2.11,-4.732,29,71,0,1,1,8,35,33,22
32,ハローグレア現象,5200,230,3.506,2.871,34,66,1,15,21,15,14,18,16
33,品川近視クリニック 有楽町,5400,220,3.409,12.714,37,63,0,13,22,22,22,15,6
34,クマ取り,28200,210,1.689,3.005,20,80,3,18,26,30,15,5,3
35,メンズエミナル,26000,210,1.812,-23.291,85,15,2,40,32,15,8,2,1
36,ミラドライ,27200,200,1.657,-2.879,21,79,2,17,26,32,17,4,2
37,近視,19800,200,1.963,-0.001,38,62,6,12,21,32,19,5,5
38,アイシーエル手術,11700,200,2.535,-0.003,26,74,6,23,21,23,18,6,3
39,メンズリゼ,17900,190,2.089,11.681,88,12,2,37,32,17,9,2,1
40,ホロジュール,17800,190,2.026,-88.574,88,12,12,16,35,25,7,2,3
41,結城さくな,23800,180,1.727,7.003,73,27,16,19,30,21,9,2,3
42,矢倉楓子,21100,180,1.83,41.004,79,21,5,23,36,20,9,4,3
43,湊あくあ 転生,24600,170,1.667,-46.539,72,28,17,29,32,15,5,1,1
