順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,コンタクトレンズ 通販,168000,9200,3.288,0,29,71,2,10,12,29,30,12,5
2,アイシティ,252000,5600,2.379,0.006,30,70,2,7,12,29,33,12,5
3,コンタクト,122000,3900,2.773,0,25,75,8,17,15,24,21,9,6
4,遠近両用コンタクトレンズ,125000,3400,2.586,-0.007,26,74,1,1,1,23,52,18,4
5,コンタクト ワンデー,57700,2200,2.941,-0.002,24,76,4,10,15,29,27,10,5
6,コンタクトレンズ 遠近両用,10500,2200,4.645,0,39,61,0,1,1,15,48,29,6
7,コンタクトレンズ 2week,12800,2000,4.335,0,41,59,3,11,14,30,29,8,5
8,コンタクトレンズ 処方箋,11800,1900,4.365,0,40,60,2,8,13,29,32,12,4
9,メガネ,172000,1800,1.632,0.033,51,49,4,7,11,20,22,17,19
10,コンタクトレンズ 度数,10100,1700,4.387,0,43,57,2,8,12,28,31,13,6
11,コンタクトレンズ 初めて,9400,1700,4.479,0,51,49,6,13,14,28,30,6,3
12,ワンデーアキュビュー,60600,1500,2.512,0.003,29,71,2,7,16,31,30,10,4
13,コンタクト 2week,49000,1500,2.728,-0.347,29,71,8,24,16,25,20,5,2
14,コンタクト 初めて,44900,1500,2.822,-0.162,35,65,14,17,10,28,24,4,3
15,コンタクトレンズ ワンデー,9100,1500,4.367,0,37,63,2,9,14,30,30,10,5
16,コンタクトレンズ 価格,7000,1500,4.642,0,53,47,2,4,8,28,36,14,8
17,ハードコンタクトレンズ,29600,1400,3.188,0.007,27,73,3,6,8,24,35,16,8
18,メガネスーパー,118000,1200,1.681,0.011,53,47,0,4,8,16,26,24,22
19,レーシック手術,111000,1200,1.651,0.001,46,54,5,16,17,24,19,10,9
20,ワンデーコンタクト,38400,1200,2.698,0.008,28,72,4,9,12,31,30,10,4
21,遠近両用メガネ,108000,1100,1.621,0.02,47,53,1,1,2,21,43,19,13
22,レンズアップル,44800,1100,2.488,0.01,34,66,2,15,21,26,22,8,6
23,メニコン,37100,1100,2.701,0.005,39,61,3,11,15,20,27,16,8
24,ソフトコンタクトレンズ,21500,1100,3.208,0.007,27,73,3,5,7,27,36,14,8
25,コンタクトレンズ bcとは,7000,1100,4.347,0,46,54,2,8,14,31,30,12,3
26,コンタクトレンズ 1day,6000,1000,4.42,0.001,42,58,2,11,14,28,27,11,7
27,エースコンタクト,39700,970,2.481,0.007,28,72,3,10,14,29,32,9,3
28,コンタクト 度数,42700,960,2.413,0.003,27,73,8,17,17,28,21,6,3
29,アキュビューオアシス,37000,890,2.464,0.004,28,72,3,16,18,28,25,7,3
30,クーパービジョン,28200,870,2.708,0.118,29,71,2,11,14,29,32,9,3
31,ワンデーアキュビューオアシス,36200,850,2.439,0.025,26,74,1,9,17,30,29,10,4
32,ハートアップ,37400,830,2.379,0.02,29,71,3,10,15,31,29,8,4
33,中央コンタクト,29800,830,2.605,0.017,30,70,3,11,15,31,29,8,3
34,乱視用コンタクトレンズ,25300,760,2.677,0.15,26,74,2,11,15,33,27,8,4
35,老眼 コンタクト,48600,740,1.978,-0.064,25,75,1,1,3,37,46,9,3
36,眼鏡市場 コンタクト,24200,710,2.659,0.014,27,73,2,13,16,29,29,8,3
37,コンタクトレンズ 老眼,3500,700,4.548,0,51,49,0,0,1,34,51,9,5
38,アキュビュー,25800,680,2.564,0.001,34,66,3,13,16,26,25,12,5
39,メルスプラン,41300,670,2.064,0.002,26,74,2,9,14,28,33,11,3
40,アイシティ 店舗,29600,670,2.406,0.387,26,74,2,8,11,25,34,15,5
41,コンタクトレンズ 医療費控除,5900,660,4.007,0,37,63,0,3,13,29,34,15,6
42,使い捨てコンタクト,17000,630,2.881,-0.002,31,69,1,1,3,32,44,14,5
43,コンタクト 洗浄液,33700,610,2.212,2.048,23,77,8,18,18,22,21,9,4
44,コンタクト 処方箋,20800,610,2.666,0.016,29,71,4,15,18,31,24,5,3
45,コンタクト bcとは,28700,570,2.283,0.019,31,69,5,20,22,29,17,4,3
46,バイオフィニティ 2week,25400,540,2.363,0.008,26,74,4,19,18,28,25,5,1
47,アットコンタクト,19100,540,2.635,0.338,30,70,2,17,16,26,27,9,3
48,プライスコンタクト,23100,510,2.375,0.001,31,69,2,6,13,31,32,12,4
49,コンタクト 老眼,16000,510,2.711,-0.009,29,71,0,1,2,40,45,8,4
50,メニコン コンタクト,14200,510,2.886,1.151,26,74,5,19,14,20,25,11,6
51,アルコン コンタクト,12700,510,2.968,0.049,27,73,2,8,13,27,33,13,4
52,ワンデーアキュビュー モイスト,23400,500,2.342,0.009,23,77,1,7,16,31,30,11,4
53,2week コンタクト,17300,500,2.655,2.841,28,72,5,14,15,30,28,6,2
54,眼科 コンタクト,13300,490,2.926,0.002,27,73,7,24,18,26,18,3,4
55,コンタクトレンズ 乱視用,2500,490,4.556,0,46,54,2,9,17,34,26,8,4
56,コンタクトレンズ 処方箋不要,3700,470,4.108,0,46,54,2,9,19,32,29,7,2
57,ボシュロム コンタクト,16000,460,2.642,0.004,22,78,3,11,14,27,28,12,5
58,ワンデイコンタクト,12900,440,2.807,3.123,31,69,6,9,10,30,30,11,4
59,ボシュロム アクアロックス,15000,430,2.63,0.022,22,78,3,8,11,31,33,10,4
