順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,レーシック手術,112000,2600,3.329,-0.006,46,54,5,16,17,24,19,10,9
2,icl,72900,2000,3.463,0,41,59,3,18,27,23,17,8,4
3,icl 手術とは,167000,1700,2.486,0,38,62,2,14,19,21,22,14,8
4,レーシック 金額,38700,1600,3.87,0,47,53,3,25,22,22,17,7,4
5,品川近視クリニック,25000,1400,4.152,0.011,45,55,1,18,29,24,18,7,3
6,レーシック 老眼,15500,1100,4.338,0,40,60,1,4,7,32,39,12,5
7,レーシック icl,13100,840,4.343,0,37,63,4,27,30,21,11,5,2
8,レーシック デメリット,13100,800,4.281,0,42,58,3,20,23,22,17,9,6
9,レーシック 保険適用,7400,740,4.756,0,45,55,1,15,23,27,22,8,4
10,視力を回復させる方法,94100,620,2.028,-0.002,48,52,10,11,12,25,22,10,10
11,icl 値段,47100,600,2.716,0.001,41,59,2,21,25,20,18,9,5
12,オルソケラトロジー,69600,540,2.182,0.004,24,76,3,7,17,39,20,8,6
13,レーシック 視力低下,5400,380,4.393,0,43,57,3,11,15,38,24,5,4
14,レーシックとは,4100,360,4.694,0,39,61,15,34,11,10,10,7,13
15,レーシック 白内障,4000,310,4.532,0,30,70,1,4,10,23,27,24,11
16,レーシック 年齢制限,2800,310,4.816,0,43,57,4,3,8,37,32,12,4
17,視力回復,19500,300,2.893,0.001,49,51,8,14,17,26,21,8,6
18,白内障 レンズ 選び方,60800,280,1.831,-0.002,38,62,0,1,1,4,15,32,47
19,視力回復 施術,14500,280,3.097,-0.001,44,56,3,10,17,28,25,10,7
20,品川近視クリニック クーポン,3500,280,4.539,0.658,51,49,0,18,35,25,16,5,1
21,品川近視クリニック 有楽町,5400,270,4.067,4.75,37,63,0,13,22,22,22,15,6
22,多焦点眼内レンズ,29600,260,2.373,0.455,36,64,0,2,3,14,33,27,21
23,レーシック 大阪,1400,250,5.344,0.001,55,45,2,14,31,31,17,4,1
24,レーシック 乱視,2700,240,4.647,0,41,59,1,24,28,28,12,5,2
25,icl 老眼,13800,230,2.959,0.018,35,65,1,4,12,29,37,12,5
26,新宿近視クリニック,3300,220,4.371,7.004,42,58,1,25,37,18,11,6,2
27,レーシック 値段,4100,210,4.168,0,48,52,7,30,21,15,13,8,6
28,レーシック 医療費控除,2400,210,4.615,0.001,54,46,0,19,34,22,16,6,3
29,乱視,31800,200,2.02,-0.001,36,64,7,17,21,25,16,7,7
30,老眼 レーシック,17900,200,2.543,0,42,58,0,1,3,25,49,17,5
31,レーシック 失敗,2700,200,4.469,0.001,52,48,5,27,27,21,13,4,3
