順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,乱視とは,131000,2200,3.327,-0.001,33,67,7,17,16,24,19,8,9
2,近視とは,132000,1400,2.823,0,34,66,5,12,17,32,22,6,6
3,乱視 治し方,35000,1100,3.977,0,45,55,4,10,15,22,22,13,14
4,乱視 見え方,31600,1100,4.115,0,34,66,5,14,15,23,19,11,13
5,近視,19800,1000,4.445,0,38,62,6,12,21,32,19,5,5
6,遠視とは,72300,780,2.874,0,30,70,3,7,16,29,22,12,11
7,遠視,15200,740,4.364,0,34,66,5,10,22,29,17,9,8
8,斜視,127000,560,1.98,0,35,65,5,13,24,25,15,10,8
9,視力検査,103000,520,2.13,-0.076,42,58,7,10,15,24,19,12,13
10,乱視 メガネ,9000,510,4.534,0.001,49,51,2,10,14,22,21,13,18
11,乱視 チェック,6200,450,4.793,0.001,42,58,3,11,15,25,24,12,10
12,乱視用コンタクトレンズ,25400,440,3.337,0,26,74,2,11,15,33,27,8,4
13,老眼,28900,420,3.105,0,44,56,1,3,7,44,30,8,7
14,icl,72900,320,1.994,-0.186,41,59,3,18,27,23,17,8,4
15,乱視 原因,6000,310,4.479,0.001,33,67,9,27,26,22,10,4,2
16,乱視 老眼,6100,280,4.316,0,29,71,1,1,4,31,39,15,9
17,老眼とは,47200,270,2.188,-0.002,47,53,1,3,8,41,27,10,10
18,乱視 コンタクト,7200,260,4.09,0,26,74,4,21,24,30,15,4,2
19,眼精疲労,50200,230,2.043,-0.454,38,62,5,19,21,20,17,10,8
20,ドライアイ,27300,220,2.598,-0.056,31,69,7,12,16,21,18,12,14
21,近視と遠視の違い,20700,220,2.842,0,33,67,4,12,15,30,26,7,6
22,動悸,52800,210,1.891,-37.691,37,63,6,15,19,23,19,10,8
23,コンタクト 度数,42700,210,2.083,-0.001,26,74,8,17,17,28,21,6,3
24,眼圧,48200,200,1.965,-0.01,36,64,1,6,9,17,20,20,27
25,レーシック,45300,200,2.02,0.001,45,55,5,16,19,24,19,9,8
26,乱視 カラコン,8500,200,3.713,0,4,96,14,38,28,13,5,1,1
27,コンタクト 初めて,45300,190,1.942,-1.226,35,65,14,17,10,28,24,4,3
28,網膜剥離,41000,190,2.03,-0.737,35,65,2,10,15,19,24,17,13
29,弱視とは,34400,190,2.181,0,30,70,3,9,21,28,18,12,9
30,視力,16500,160,2.82,-0.001,36,64,10,17,17,19,15,9,13
31,弱視,10300,160,3.214,0,31,69,3,12,27,29,15,8,6
32,乱視用 カラーコンタクト,12700,150,2.985,0,4,96,12,27,24,24,10,2,1
33,乱視度数,4400,150,4.027,0.001,30,70,5,15,16,25,25,8,6
34,乱視 検査,2300,130,4.506,0.001,38,62,3,19,24,26,16,5,7
35,乱視用メガネ,3200,120,4.17,0.019,47,53,2,11,16,23,20,11,17
36,立ちくらみ,24900,110,2.053,-7.507,36,64,9,15,16,18,16,12,14
37,内斜視,24700,110,2.049,0.684,28,72,9,19,25,21,13,8,5
38,ぶどう膜炎,23800,110,2.042,-2.456,28,72,4,17,27,19,16,10,7
39,視力検査 赤と緑 意味,14000,110,2.607,0,25,75,7,13,16,23,22,13,6
40,乱視チェック,1400,110,4.898,0.019,36,64,7,17,22,27,18,6,3
41,品川近視クリニック,25000,100,1.896,-4.547,45,55,1,18,29,24,18,7,3
42,深視力,21200,100,2.017,-0.009,71,29,1,11,18,23,25,14,8
43,コンタクト 処方箋,20900,100,2.067,0.015,29,71,5,15,18,31,24,5,2
44,視力回復,19500,100,2.086,-7.231,49,51,8,14,17,26,21,8,6
45,視力低下の原因,18300,100,2.164,-1.367,36,64,3,6,9,23,27,18,14
46,強度近視,16500,100,2.273,3.488,29,71,3,10,17,28,23,13,6
47,眼内レンズ,16100,100,2.333,3.107,41,59,0,5,10,17,25,24,19
48,乱視 子供,1300,100,4.777,0,15,85,1,5,46,41,4,1,2
49,ヘマトクリット,22800,90,1.908,-14.625,31,69,1,13,14,20,22,15,15
50,片目だけ視力低下,22100,90,1.911,-0.941,36,64,7,13,15,29,20,9,7
51,視野検査,16900,90,2.188,-0.347,33,67,1,5,9,19,23,21,22
52,円錐角膜,11800,90,2.51,0.001,37,63,2,13,16,23,24,13,9
53,プリズム眼鏡,11400,90,2.622,0.015,34,66,2,10,12,20,20,17,19
54,乱視用カラコン,5900,90,3.321,-0.001,4,96,24,36,20,12,6,1,1
55,乱視 度数 一覧,2100,90,4.269,0.001,15,85,5,22,22,27,16,5,3
56,知恵熱,19000,80,1.97,20.636,32,68,7,19,27,22,14,7,4
57,硝子体手術,17900,80,1.998,-21.685,38,62,1,5,6,11,23,27,27
58,ミセスグリーン,17400,80,1.94,1.253,31,69,1,5,23,36,22,8,5
59,視力検査 スマホ,16900,80,2.074,-2.136,42,58,11,16,15,24,19,8,7
60,外斜視,16300,80,2.13,-12.545,31,69,9,15,21,28,16,6,5
61,糖尿病網膜症,14500,80,2.187,-16.955,38,62,1,14,13,19,25,16,12
62,二重に見える 原因,13700,80,2.294,0,37,63,1,2,4,15,28,26,24
63,角膜,12800,80,2.429,-1.822,45,55,7,13,12,13,15,17,23
64,カラコン 乱視,10700,80,2.571,0.332,7,93,15,32,19,20,11,2,1
65,近視 治し方,8400,80,2.696,0.001,42,58,9,12,16,29,19,7,8
66,複視,7800,80,2.886,0.001,42,58,3,15,15,21,19,13,14
67,卵子,5300,80,3.237,0,38,62,11,18,29,19,10,6,7
68,近眼,3000,80,3.737,0,43,57,3,13,18,29,21,7,9
69,視力検査表,18900,70,1.944,-0.117,58,42,2,4,5,11,16,24,38
70,スリリン,18700,70,1.899,29.997,8,92,17,24,21,21,13,3,1
71,血豆,18000,70,1.913,-6.588,31,69,10,19,23,23,13,7,5
72,ヒトメタニューモ,15200,70,2.001,35.65,27,73,1,7,37,26,13,10,6
73,中近両用メガネ,14700,70,2.1,-0.014,34,66,1,1,1,13,46,25,13
74,眼科 コンタクト,13600,70,2.185,-0.378,26,74,7,24,19,25,19,3,3
75,眼鏡 処方箋,10000,70,2.357,-0.002,37,63,1,10,15,36,24,8,6
76,視力 左右差,8400,70,2.572,-0.001,26,74,4,19,20,29,19,5,4
77,コンタクト 乱視用,6500,70,2.915,-0.002,32,68,4,21,26,30,14,3,2
78,裸眼,6100,70,2.986,-0.001,34,66,7,9,13,18,20,15,18
79,乱視用コンタクト,2700,70,3.828,0.005,22,78,4,22,25,26,17,3,3
80,乱視 遺伝,1500,70,4.394,0.001,24,76,9,16,32,28,10,3,2
81,寝違え,15200,60,1.894,61.387,43,57,4,16,27,24,16,7,6
82,空咳,15100,60,1.939,-57.775,29,71,3,16,26,23,15,8,9
83,睡眠時間,14800,60,1.891,4.886,45,55,6,17,23,24,15,8,7
84,小脳,13900,60,1.954,20.141,36,64,3,14,11,17,19,17,19
85,片目だけぼやける 急に,13800,60,1.998,-0.029,29,71,4,9,15,28,23,13,8
86,ベビフェ,13600,60,1.962,-4.834,21,79,8,27,31,16,12,4,2
87,靭帯,13000,60,2.007,26.056,42,58,12,12,13,20,18,12,13
88,ヒトメタ,13000,60,1.996,49.029,23,77,1,9,41,24,12,8,5
89,眼振,12900,60,2.119,-0.006,29,71,4,18,21,23,19,9,6
90,目の疲れ,10100,60,2.208,-13.255,39,61,2,9,17,24,22,13,13
91,散瞳検査,10000,60,2.292,2,38,62,1,4,8,17,22,21,27
92,sph 視力,9800,60,2.399,0.008,35,65,6,18,15,25,21,9,6
93,トマトグラッシーズ,9000,60,2.326,4.407,19,81,0,3,39,45,7,3,3
94,眼鏡処方箋,7400,60,2.597,-0.012,34,66,2,6,10,30,28,13,11
95,遠視 近視 違い,7200,60,2.613,0,39,61,6,13,17,29,23,5,7
96,不同視,7000,60,2.563,3.67,29,71,3,11,23,26,19,11,7
97,スマホ老眼,6500,60,2.627,-0.001,35,65,2,9,16,37,23,7,6
98,メガネ 度数,5800,60,2.809,0.048,43,57,5,17,22,25,19,7,5
99,コンタクト 乱視,2600,60,3.584,-0.001,33,67,6,23,25,25,16,3,2
