順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,白内障手術,314000,4000,3.251,-4.033,36,64,0,2,4,10,20,27,37
2,多焦点眼内レンズ 費用,21600,2600,5.468,0,29,71,0,1,1,8,35,33,22
3,白内障手術後,120000,2000,3.573,5.018,31,69,0,1,2,8,18,28,43
4,白内障 レンズ 選び方,60800,1900,4.181,-2.754,38,62,0,1,1,4,15,32,47
5,白内障の症状,344000,1700,2.299,-14.92,38,62,1,3,4,13,23,27,29
6,多焦点眼内レンズ 後悔,8100,1600,5.992,0,32,68,0,1,1,7,28,33,30
7,白内障手術費用,123000,1500,3.262,-6.949,38,62,0,1,2,6,17,28,46
8,白内障,166000,1200,2.684,-0.013,42,58,2,6,8,14,21,22,27
9,icl 手術とは,167000,1000,2.439,-0.001,38,62,2,14,19,21,22,14,8
10,白内障手術後の見え方,38000,870,3.894,-0.001,39,61,0,0,1,3,15,30,51
11,白内障手術後の注意点,46300,830,3.65,1.035,31,69,0,1,1,5,15,30,48
12,遠近両用コンタクトレンズ,125000,770,2.406,0.002,26,74,0,1,1,23,53,18,4
13,多焦点眼内レンズ デメリット,3200,750,6.15,0,30,70,0,1,2,8,32,35,22
14,眼内レンズ,16100,660,4.349,0,41,59,0,5,10,17,25,24,19
15,白内障手術 保険給付金,27200,620,3.881,-2.07,39,61,0,0,1,5,17,31,46
16,多焦点眼内レンズ 保険適用,1900,610,6.453,0,33,67,0,1,2,11,30,32,24
17,レーシック手術,112000,530,2.176,-1.441,46,54,5,16,17,24,19,10,9
18,多焦点眼内レンズ 老眼,2000,520,6.249,0.001,33,67,0,0,2,11,40,27,20
19,icl,72900,470,2.489,-0.004,41,59,3,18,27,23,17,8,4
20,単焦点レンズ,12900,450,4.201,0.012,51,49,3,12,16,17,18,16,18
21,多焦点眼内レンズ 先進医療,1300,450,6.546,0,27,73,0,1,5,12,24,32,26
22,多焦点レンズ メガネ,3600,440,5.514,0.001,54,46,0,1,1,4,23,31,40
23,オルソケラトロジー,69600,410,2.364,-0.003,24,76,3,7,17,39,20,8,6
24,選定療養費とは,80800,390,2.199,0.002,32,68,0,6,13,24,26,18,13
25,後発白内障,27900,380,3.357,40.957,34,66,0,2,3,7,16,26,46
26,多焦点レンズ,3400,380,5.408,0,32,68,0,3,4,10,26,28,29
27,老眼 レーシック,17900,350,3.546,-0.004,42,58,0,1,3,25,49,17,5
28,老眼 治療,17900,320,3.429,-0.003,46,54,0,1,2,27,50,15,5
29,老眼 コンタクト,48900,310,2.404,-3.243,25,75,1,1,3,37,46,9,3
30,レンティスコンフォート,2700,310,5.437,0.017,41,59,0,3,5,9,19,32,32
31,白内障 原因,42700,300,2.61,-3.928,34,66,1,6,7,15,26,24,21
32,白内障手術 多焦点レンズ,4000,300,5.051,-0.679,43,57,0,1,1,6,18,32,42
33,パンオプティクス,1300,290,6.098,0.972,41,59,1,4,5,13,23,33,21
34,白内障手術 失敗,11100,280,3.957,-0.007,34,66,0,2,3,8,19,27,41
35,緑内障 手術方法,51300,270,2.337,-0.008,36,64,1,2,5,14,23,26,29
