順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,眼瞼下垂 保険適用,35800,11000,4.076,0.001,17,83,3,7,8,16,29,20,17
2,眼瞼下垂 手術後,27000,9400,4.211,0.1,19,81,1,5,8,14,26,27,19
3,瞼が下がる,65100,7900,3.156,-0.004,24,76,1,1,2,10,29,31,26
4,眼瞼下垂 手術方法,20800,6700,4.146,0.004,18,82,2,7,8,13,24,24,22
5,眼瞼下垂 名医,12200,4600,4.314,0.006,14,86,0,2,3,9,28,33,25
6,眼瞼下垂手術,13200,4000,4.078,0.144,18,82,2,4,6,14,26,26,22
7,まぶたのたるみ,40600,3500,2.766,-0.006,16,84,1,2,5,21,36,20,15
8,糸リフト,91600,3200,1.84,0.204,15,85,2,14,22,28,22,8,4
9,眼瞼下垂 治し方,10600,3200,4.07,0.001,17,83,4,6,4,15,29,21,21
10,眉下切開,21200,2700,3.16,3.02,12,88,4,16,17,24,24,11,4
11,眼瞼下垂症,14900,2700,3.531,0.005,26,74,1,4,11,20,25,20,19
12,眼瞼下垂 読み方,6000,2700,4.426,0,23,77,4,10,11,20,27,16,12
13,重症筋無力症,76100,2600,1.84,0.01,32,68,2,17,15,21,21,14,10
14,眼瞼下垂 何科,6300,2600,4.367,0.002,16,84,1,4,8,17,27,27,16
15,眼瞼下垂 原因,8300,2400,3.974,0.001,24,76,3,10,12,20,25,16,14
16,瞼のたるみをとる方法,27000,2200,2.708,-0.003,20,80,1,2,5,18,33,24,17
17,眼瞼下垂とは,7000,2000,3.964,0,20,80,7,25,17,17,18,10,6
18,眼瞼下垂 芸能人,5000,2000,4.287,0.006,17,83,1,3,7,20,32,22,15
19,埋没 二重,35300,1900,2.307,0.158,16,84,10,20,19,23,19,6,3
20,和田アキ子 目元,33700,1900,2.364,0.001,24,76,1,3,9,22,26,20,19
21,眼瞼下垂 手術,6800,1900,3.951,0.002,19,81,3,15,17,19,21,16,9
22,水の森美容外科,32100,1800,2.38,-1.965,12,88,8,27,14,16,21,10,4
23,瞼が重い,22700,1800,2.694,-0.001,26,74,4,9,11,18,26,18,14
24,眼瞼下垂 チェック,5600,1800,4.084,0.001,15,85,9,20,18,20,20,7,6
25,糸リフト デメリット,45900,1700,1.918,0.049,11,89,1,12,18,27,27,12,3
26,ボトックス 効果 いつから,36700,1700,2.102,0.048,8,92,1,14,20,29,23,8,5
27,目頭切開,35700,1700,2.166,0.359,17,83,8,25,19,20,18,7,3
28,リジュラン 効果,44600,1600,1.853,1.212,9,91,1,13,21,27,26,9,3
29,リッドキララ 口コミ,30200,1600,2.356,3.528,9,91,0,1,2,12,32,32,21
30,眼瞼炎,25300,1600,2.468,0,23,77,2,11,17,22,21,14,13
31,眼瞼下垂 目薬,5600,1600,3.922,0,13,87,0,2,5,24,40,18,11
32,共立美容外科,37300,1500,2.014,0.001,18,82,3,17,19,23,21,11,6
33,糸リフト ダウンタイム,29100,1500,2.222,3.121,9,91,0,12,21,30,25,9,3
34,眼瞼,16800,1500,2.77,0,39,61,3,12,15,21,22,14,13
35,まぶた たるみ 改善,19200,1400,2.578,0.013,18,82,2,3,9,23,33,15,15
36,眼瞼痙攣,15900,1400,2.786,0,30,70,2,8,13,21,23,18,15
37,ヒアルロン酸 ほうれい線,35100,1300,1.878,2.062,11,89,1,4,14,28,28,14,11
