順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,白内障の症状,344000,29600,2.454,-0.001,38,62,1,3,4,13,23,27,29
2,緑内障 失明までの年数,138000,26200,3.223,0,34,66,1,3,7,18,26,23,22
3,白内障,166000,19100,2.742,0,42,58,2,6,8,14,21,22,27
4,白内障手術,314000,16900,2.019,-0.001,36,64,0,2,4,10,20,27,37
5,緑内障 原因,91800,14800,3.055,0.001,30,70,1,4,8,18,27,21,21
6,緑内障 症状,94600,12200,2.831,0,32,68,1,5,7,17,26,24,20
7,緑内障 手術方法,51300,11300,3.399,0.001,36,64,1,2,5,14,23,26,29
8,緑内障 目薬,36700,9600,3.554,0.001,30,70,0,3,5,15,26,27,24
9,眼圧 正常値,95600,9400,2.589,1.439,35,65,0,3,5,13,22,27,30
10,緑内障 チェック,53200,8100,2.976,0,25,75,1,2,6,25,31,18,17
11,網膜剥離 初期症状,124000,7000,1.996,0.002,23,77,1,4,9,17,28,24,17
12,白内障手術後,120000,6900,2.118,7.541,31,69,0,1,2,8,18,28,43
13,白内障手術費用,123000,6000,1.952,-0.003,38,62,0,1,2,6,17,28,46
14,網膜剥離とは,124000,5800,1.802,0.003,39,61,2,8,11,15,23,22,19
15,眼圧,48200,5100,2.639,0.053,36,64,1,6,9,17,20,20,27
16,眼圧が高い原因,48500,4800,2.563,0.002,31,69,1,4,8,19,28,22,18
17,緑内障 検査,22400,4700,3.298,0.001,28,72,0,4,8,23,29,20,16
18,緑内障 予防,17700,4100,3.404,0.003,29,71,1,4,8,20,29,22,16
19,ドライアイ 症状,84000,3900,1.817,0.736,28,72,3,7,10,16,21,21,22
20,目の病気 一覧 症状,67500,3700,2.035,0,39,61,0,1,3,7,17,33,39
21,視神経乳頭陥凹拡大,29600,3600,2.719,-0.002,36,64,0,3,9,23,30,23,12
22,眼底検査とは,52200,3400,2.125,0.04,30,70,1,4,8,23,28,21,15
23,眼圧 下げる方法,26000,3400,2.816,0.243,39,61,1,4,10,20,27,21,17
24,緑内障 眼圧 正常値,12100,3400,3.68,0.005,34,66,0,1,3,11,21,29,35
25,眼底検査,53700,3300,2.07,-0.005,35,65,1,6,9,24,26,19,15
26,視野検査とは,27700,3200,2.748,0.846,28,72,1,4,7,17,24,22,25
27,白内障 レンズ 選び方,60800,3100,2.017,0.032,38,62,0,1,1,4,15,32,47
28,加齢黄斑変性症,50400,2900,2.069,0.042,36,64,0,3,3,9,20,30,35
29,ラタノプロスト点眼液,28100,2900,2.653,2.866,34,66,0,7,8,14,21,22,28
30,白内障 原因,42700,2700,2.111,0,34,66,1,6,7,15,26,24,21
31,飛蚊飛蚊症の治し方,56300,2600,1.798,4.238,34,66,1,1,4,11,31,33,19
32,白内障手術後の注意点,46300,2600,2.101,0.133,31,69,0,1,1,5,15,30,48
33,白内障手術後の見え方,38000,2500,2.296,5.024,39,61,0,0,1,3,15,30,51
34,緑内障 治療,9800,2400,3.439,0.002,39,61,1,8,13,26,28,15,9
35,黄斑変性症,47400,2300,1.896,-0.024,33,67,0,2,4,11,22,27,34
36,網膜裂孔,39100,2300,2.039,1.103,35,65,1,4,7,14,30,29,15
37,網膜剥離,41000,2200,1.933,0.005,35,65,2,10,15,19,24,17,13
38,緑内障 遺伝,9600,2200,3.394,0.001,23,77,1,7,13,25,28,16,10
39,緑内障手術,8300,2200,3.588,0.002,33,67,1,3,4,11,25,28,28
40,目薬の正しいさし方,43800,2100,1.885,5.729,37,63,3,5,7,13,19,24,29
41,視野検査,16900,2100,2.788,1.638,33,67,1,5,9,19,23,21,22
42,緑内障とは,13000,2100,3.031,0,36,64,6,17,16,20,19,11,11
43,エイベリス点眼液,12600,2000,3.022,7.002,29,71,0,4,8,17,26,26,19
44,網膜色素変性症,41400,1900,1.823,0.105,31,69,2,8,11,18,23,20,18
45,黄班変性,38200,1900,1.955,23.654,32,68,0,2,3,10,21,27,37
46,ぶどう膜炎とは,34400,1900,1.95,0.162,25,75,0,1,2,24,30,24,19
47,光視症,34700,1800,1.91,0.353,30,70,3,9,12,16,24,23,13
48,眼圧が上がると 症状,19100,1800,2.493,0.673,29,71,1,4,9,20,28,20,18
49,白内障 目薬,30000,1700,2.048,0.002,39,61,0,2,3,10,20,30,35
50,白内障とは,18200,1700,2.505,0,40,60,4,11,11,18,22,15,19
51,眼底検査でわかること,30400,1600,1.888,-0.011,32,68,1,2,6,20,31,24,16
52,後発白内障,27900,1600,2.104,1.924,34,66,0,2,3,7,16,26,46
53,網膜剥離 手術後,26500,1600,2.028,1.265,37,63,1,3,8,17,31,25,15
54,急性緑内障発作,17100,1600,2.482,0.017,25,75,3,12,17,22,22,15,9
55,ミケルナ配合点眼液,13600,1500,2.725,7.802,36,64,0,5,8,13,20,25,29
56,眼圧検査正常値,13500,1500,2.771,43.024,32,68,0,1,3,9,17,28,42
57,閉塞隅角緑内障,11900,1500,2.862,0.173,26,74,0,8,9,16,21,24,22
58,白内障手術 保険給付金,27200,1400,2.029,0.309,39,61,0,0,1,5,17,31,46
59,眼低検査とは,24500,1400,1.983,-1.585,31,69,0,3,7,25,28,21,16
60,緑内障 白内障 違い,5800,1400,3.433,0,46,54,2,12,16,23,22,14,11
61,眼底出血,29500,1300,1.778,-0.001,32,68,0,4,7,15,26,24,24
62,黄斑前膜,26900,1300,1.913,0.135,33,67,0,2,3,8,19,35,33
63,硝子体手術,17900,1300,2.25,2.285,38,62,1,5,6,11,23,27,27
64,眼圧検査,17500,1300,2.229,0.015,27,73,2,7,11,22,26,18,14
65,眼圧が高い 症状,13300,1300,2.527,1.271,28,72,1,4,11,20,23,19,22
66,眼圧を下げる食べ物,9400,1300,2.944,2.135,28,72,0,2,5,14,26,27,26
67,眼科 名医,22600,1200,2.047,0.001,31,69,0,1,2,10,23,28,36
68,目の病気,22300,1200,2.033,0,35,65,2,3,5,11,20,23,36
69,加齢黄斑変性,20500,1200,2.037,0.001,35,65,1,5,7,16,25,20,26
70,眼低検査でわかること,18400,1200,2.153,0,29,71,0,2,5,20,30,24,19
71,強度近視,16500,1200,2.199,0.884,29,71,3,10,17,28,23,13,6
72,正常眼圧緑内障,6800,1200,3.134,0.977,34,66,0,6,7,16,24,24,23
73,緑内障目薬,4100,1200,3.681,0.015,25,75,1,2,2,12,32,30,21
74,ピレノキシン懸濁性点眼薬,26200,1100,1.8,5.666,34,66,0,4,5,9,17,25,40
75,網膜前膜,24100,1100,1.877,2.018,32,68,0,2,4,8,22,36,28
76,ぶどう膜炎,23800,1100,1.796,0.114,28,72,4,17,27,19,16,10,7
77,黄斑上膜,22400,1100,1.891,0.06,33,67,0,2,3,8,21,35,31
78,片目だけ視力低下,22100,1100,1.796,-0.233,36,64,7,13,15,29,20,9,7
79,網膜静脈閉塞症,18800,1100,2.058,1.422,34,66,0,3,5,13,24,26,29
