順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,遠視,15200,1600,5.59,0,34,66,5,10,22,29,17,9,8
2,近視とは,132000,1400,3.263,-0.001,34,66,5,12,17,32,22,6,6
3,遠視とは,72300,1000,3.597,0,30,70,3,7,16,29,22,12,11
4,乱視,31800,1000,4.445,0,36,64,7,17,21,25,16,7,7
5,乱視とは,131000,870,2.84,0,33,67,7,17,16,24,19,8,9
6,老眼,28900,520,3.786,0,44,56,1,3,7,44,30,8,7
7,近視と遠視の違い,20700,440,3.97,0,33,67,4,12,15,30,26,7,6
8,視力検査,103000,350,2.169,-0.027,42,58,7,10,15,24,19,12,13
9,老眼とは,47200,310,2.775,0,47,53,1,3,8,41,27,10,10
10,視力を回復させる方法,94100,250,1.919,-3.916,48,52,10,11,12,25,22,10,10
11,近視 老眼,9100,220,4.069,0,35,65,1,3,8,38,35,9,6
12,icl,72900,200,1.963,0.001,41,59,3,18,27,23,17,8,4
13,近視 治し方,8400,200,4.089,0,42,58,9,12,16,29,19,7,8
14,レーシック,45300,170,2.257,-0.672,45,55,5,16,19,24,19,9,8
15,網膜剥離,41000,160,2.327,0.005,35,65,2,10,15,19,24,17,13
16,眼精疲労,50200,140,1.99,0.001,38,62,5,19,21,20,17,10,8
17,乱視 見え方,31600,130,2.401,0,34,66,5,14,15,23,19,11,13
18,強度近視,16500,130,3.022,0.001,29,71,3,10,17,28,23,13,6
19,視力,16500,120,2.927,-0.001,36,64,10,17,17,19,15,9,13
20,近眼,3000,120,4.58,0,43,57,3,13,18,29,21,7,9
21,禁止,6100,110,3.806,0,51,49,5,7,9,18,21,18,22
22,はとこ,40800,100,1.838,-1.319,48,52,5,11,21,25,18,11,9
23,ドライアイ,27300,100,2.301,0.359,31,69,7,12,16,21,18,12,14
24,視力回復,19500,100,2.557,-0.003,49,51,8,14,17,26,21,8,6
25,弱視,10300,100,3.235,0,31,69,3,12,27,29,15,8,6
26,弱視とは,34400,90,1.923,0.005,30,70,3,9,21,28,18,12,9
27,眼鏡,34200,90,1.926,-0.001,49,51,3,6,12,23,27,15,14
28,忌引き,31400,90,1.941,15.019,49,51,4,14,23,24,20,10,5
29,遠くが見えない 何視,9000,90,3.232,0,28,72,3,9,12,36,29,5,6
30,遠視 近視 違い,7200,90,3.403,0.001,39,61,6,13,17,29,23,5,7
31,水イボ,32100,80,1.842,-38.993,20,80,1,8,40,32,10,6,3
32,視力検査 c,31000,80,1.947,-10.151,43,57,9,8,14,26,16,11,16
33,ホットフラッシュ,28400,80,1.903,-76.277,20,80,1,5,10,29,42,7,6
34,近視用メガネ,3200,80,4.211,0.001,52,48,3,3,9,21,26,16,22
35,鼻炎,28100,70,1.883,21.38,36,64,6,14,20,23,16,10,11
36,打診,26200,70,1.878,15.093,42,58,2,13,22,27,21,10,5
37,謙虚,25400,70,1.947,27.231,44,56,14,14,14,19,18,11,10
38,片目だけ視力低下,22100,70,2.098,-0.615,36,64,7,13,15,29,20,9,7
39,視力低下の原因,18300,70,2.238,-4.194,36,64,3,6,9,23,27,18,14
40,近視 遠視 違い,3500,70,3.916,0,34,66,6,26,25,26,13,3,1
41,近視 目薬,2000,70,4.48,0.001,30,70,1,5,18,50,17,4,5
42,近視 原因,2000,70,4.432,0,41,59,10,18,22,30,10,5,5
43,レム睡眠,25900,60,1.84,-44.313,44,56,7,14,12,15,17,14,21
44,モチベーション,24700,60,1.827,-2.391,41,59,3,9,16,23,22,13,14
45,精進,23600,60,1.892,7.165,46,54,9,13,18,21,19,11,9
46,エアコン 掃除,23000,60,1.946,-57.649,41,59,1,10,30,30,16,7,6
47,生年月日,22900,60,1.984,-12.646,43,57,11,18,22,20,13,7,9
48,是正,22900,60,1.844,-4.261,54,46,7,14,18,24,21,10,6
49,モラル,21800,60,1.943,21.739,47,53,7,12,22,24,19,9,7
50,慣用句,21200,60,2.033,20.482,38,62,11,10,15,29,15,9,11
51,遠近両用メガネ 見え方,20900,60,2.002,-0.006,43,57,0,1,1,19,45,19,15
52,オスグッド,19500,60,1.98,-45.731,36,64,10,10,18,42,14,3,3
53,ミセスグリーン,17400,60,2.12,25.434,31,69,1,5,23,36,22,8,5
54,視野検査,16900,60,2.24,1.77,33,67,1,5,9,19,23,21,22
55,起訴,16200,60,2.234,10.284,49,51,5,9,18,24,22,11,11
56,抽象的,16000,60,2.198,-3.062,44,56,15,18,20,21,16,6,4
57,仮性近視,7400,60,3.005,0,24,76,3,7,17,43,13,8,9
