順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,緑内障,419000,11400,1.654,-0.001,37,63,1,5,9,19,24,21,21
2,飛蚊飛蚊症の治し方,56300,10400,3.583,0.179,34,66,1,1,4,11,31,33,19
3,白内障の症状,344000,9800,1.744,-0.001,38,62,1,3,4,13,23,27,29
4,飛蚊症 治療,49100,9600,3.637,0.003,38,62,1,4,8,14,29,28,16
5,網膜剥離 初期症状,124000,9300,2.676,0.012,23,77,1,4,9,17,28,24,17
6,飛蚊症 原因,29700,5600,3.614,0.001,31,69,4,8,10,14,26,24,14
7,網膜剥離とは,124000,5500,2.155,0.03,39,61,2,8,11,15,23,22,19
8,飛蚊症 治し方 知恵袋,17100,5000,4.038,0.006,42,58,1,1,2,10,30,37,19
9,飛蚊症 目薬,15900,4900,4.082,0.003,44,56,1,3,6,12,29,32,17
10,飛蚊症の治し方,22100,4700,3.726,0,41,59,1,2,5,10,28,35,19
11,ひぶん飛蚊症の治し方,25400,4600,3.572,0,34,66,0,1,4,11,29,34,21
12,白内障,166000,4500,1.69,0.173,42,58,2,6,8,14,21,22,27
13,網膜裂孔,39100,4200,3.015,1.151,35,65,1,4,7,14,30,29,15
14,光視症,34700,4100,3.131,0.007,30,70,3,9,12,16,24,23,13
15,飛蚊症 見え方,17000,3900,3.786,0.001,29,71,2,5,9,14,28,26,16
16,白内障手術後,120000,3400,1.813,-0.014,31,69,0,1,2,8,18,28,43
17,目の病気 一覧 症状,67500,3200,2.284,-0.192,39,61,0,1,3,7,17,33,39
18,緑内障 症状,94600,3000,1.836,-0.001,32,68,1,5,7,17,26,24,20
19,眼圧 正常値,95600,2500,1.638,4.673,35,65,0,3,5,13,22,27,30
20,網膜剥離,41000,2500,2.474,0.057,35,65,2,10,15,19,24,17,13
21,ドライアイ 症状,84000,2200,1.646,2.241,28,72,3,7,10,16,21,21,22
22,目 黒い点 見える,18400,2100,3.062,-0.344,37,63,1,5,13,21,32,21,7
23,眼底検査,53700,2000,1.941,0.012,35,65,1,6,9,24,26,19,15
24,眼底検査とは,52200,2000,1.982,1.872,30,70,1,4,8,23,28,21,15
25,飛蚊症 治る,5800,1900,4.142,0.049,33,67,2,6,8,14,36,24,10
26,網膜剥離 手術後,26500,1800,2.537,4.048,37,63,1,3,8,17,31,25,15
27,飛蚊症目薬,6200,1800,4.043,0.327,39,61,1,1,2,8,29,41,18
28,飛蚊症 パイナップル,5800,1800,4.09,0.002,38,62,0,3,9,16,36,26,10
29,飛蚊症 ストレス,5000,1800,4.199,0.019,20,80,3,11,14,18,28,18,8
30,緑内障 チェック,53200,1600,1.77,-0.004,25,75,1,2,6,25,31,18,17
31,白内障 レンズ 選び方,60800,1500,1.704,-9.449,38,62,0,1,1,4,15,32,47
32,加齢黄斑変性症,50400,1500,1.83,0.222,36,64,0,3,3,9,20,30,35
33,視界に黒い点が動く,13100,1500,3.078,-0.495,39,61,4,10,11,20,30,18,7
34,眼圧,48200,1400,1.727,2.904,36,64,1,6,9,17,20,20,27
35,ぶどう膜炎とは,34400,1400,2.071,0.222,25,75,0,1,2,24,30,24,19
36,網膜剥離 原因,23300,1400,2.42,0.896,31,69,2,6,11,19,29,20,13
37,飛蚊症 検査,4500,1400,4.079,0.151,24,76,2,5,11,20,29,22,11
38,眼圧が高い原因,48500,1300,1.652,3.065,31,69,1,4,8,19,28,22,18
39,黄斑変性症,47400,1300,1.715,-1.244,33,67,0,2,4,11,22,27,34
40,白内障手術後の注意点,46300,1300,1.795,-18.119,31,69,0,1,1,5,15,30,48
41,眼底出血,29500,1300,2.118,0.256,32,68,0,4,7,15,26,24,24
42,硝子体手術,17900,1300,2.67,3.237,38,62,1,5,6,11,23,27,27
43,飛蚊症 飛蚊症,10500,1300,3.223,-0.001,43,57,1,5,7,9,23,32,23
44,白内障手術後の見え方,38000,1200,1.965,-0.212,39,61,0,0,1,3,15,30,51
45,後部硝子体剥離,5600,1200,3.68,1.161,33,67,1,4,6,12,33,33,11
46,飛蚊症 レーザー治療,3800,1200,4.133,0.1,50,50,0,2,7,12,28,34,17
47,飛蚊症 読み方,3000,1200,4.349,0,40,60,5,7,9,14,27,25,13
48,飛蚊症 治し方,5200,1100,3.694,0.001,42,58,5,8,12,14,25,23,13
49,飛蚊症 目薬 市販 おすすめ,3400,1100,4.122,0.002,34,66,0,2,3,11,35,35,14
50,黄班変性,38200,1000,1.695,12.025,32,68,0,2,3,10,21,27,37
51,眼底検査でわかること,30400,1000,1.838,0.006,32,68,1,2,6,20,31,24,16
52,後発白内障,27900,980,2.028,-1.067,34,66,0,2,3,7,16,26,46
53,ルテインサプリメント,35000,940,1.715,1.315,38,62,0,2,3,10,23,28,34
54,黒い点が見える 動く,11100,930,2.756,-0.32,26,74,2,8,11,18,31,22,8
55,視野検査とは,27700,920,1.881,1.698,28,72,1,4,7,17,24,22,25
56,眼低検査とは,24500,920,1.949,-0.004,31,69,0,3,7,25,28,21,16
57,ぶどう膜炎,23800,900,1.986,0.139,28,72,4,17,27,19,16,10,7
58,ルテイン 効果,32300,850,1.642,4.343,38,62,1,5,9,17,23,19,26
59,黄斑前膜,26900,850,1.884,4.223,33,67,0,2,3,8,19,35,33
60,眼低出血,20600,850,2.097,1.649,30,70,1,3,6,15,25,25,25
61,目に黒いものがちらつく,7400,850,3.107,-0.485,35,65,1,2,3,10,30,38,16
62,網膜前膜,24100,820,1.935,0.035,32,68,0,2,4,8,22,36,28
63,目の前に黒い糸くず,6100,800,3.247,-0.918,30,70,1,1,2,7,32,41,16
