順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,眼科 近く 現在地,119000,8300,3.511,0,33,67,2,4,10,23,24,19,18
2,整形外科,407000,5100,1.784,0.012,34,66,2,5,12,25,25,16,15
3,皮膚科,225000,4300,2.225,-0.406,32,68,3,9,14,22,19,14,19
4,皮膚科 近く 現在地,223000,2900,1.863,-0.261,32,68,2,5,9,21,24,19,20
5,耳鼻科,125000,2900,2.403,0,30,70,3,11,23,28,17,8,10
6,耳鼻咽喉科,208000,2700,1.812,0,40,60,2,10,17,21,19,14,17
7,歯医者,150000,2300,1.958,-0.001,42,58,3,10,15,23,22,14,13
8,内科,120000,2100,2.116,7.231,36,64,2,12,19,26,21,11,9
9,耳鼻科 近く 現在地,142000,2000,1.93,7.04,32,68,2,5,10,23,25,18,17
10,白内障,168000,1800,1.699,1.192,41,59,2,6,8,14,21,22,27
11,病院,136000,1500,1.678,0.004,46,54,3,9,11,17,20,19,21
12,結膜炎,119000,1400,1.73,0.013,29,71,5,16,32,24,12,6,5
13,小児科,49300,1400,2.571,3.677,26,74,3,9,31,32,10,8,7
14,眼科 名医,22300,1400,3.493,0,30,70,0,1,2,10,23,28,36
15,白内障手術後,122000,1300,1.743,11.461,31,69,0,1,2,8,18,28,43
16,整形外科 近く,95600,1300,1.886,13.403,35,65,2,5,9,19,24,20,21
17,脳神経外科,93000,1000,1.68,2.017,34,66,2,5,13,22,24,16,18
18,婦人科,53700,930,2.108,0.655,15,85,3,14,15,25,21,10,12
19,内科 現在地周辺,53300,900,2.069,13.752,32,68,2,9,16,27,26,12,8
20,耳鼻咽喉科 近く 現在地,76800,880,1.735,7.468,39,61,1,5,9,15,21,23,26
21,目薬,74700,820,1.692,0.001,45,55,4,7,9,13,18,21,28
22,目の病気 一覧 症状,67100,810,1.842,0.001,39,61,0,1,3,7,17,33,39
23,レボフロキサシン点眼液,69200,780,1.683,2.341,25,75,1,7,21,23,18,14,16
24,眼科 日曜日,11700,770,3.421,0,30,70,3,8,18,29,25,11,6
25,ケーキ屋,65500,750,1.699,14.927,38,62,3,7,12,19,23,22,14
26,眼科 近く,6800,740,3.963,0,28,72,3,7,19,24,18,14,15
27,眼科 コンタクト,13600,710,3.223,0,26,74,7,24,19,26,18,3,3
28,形成外科,60800,700,1.68,0.281,31,69,2,6,21,37,11,5,18
29,公園,57300,690,1.728,-8.092,43,57,3,7,23,28,13,11,15
30,整骨院,58100,660,1.681,0.315,40,60,3,10,17,24,21,12,13
31,白内障 レンズ 選び方,61000,640,1.747,3.526,38,62,0,1,1,4,15,32,47
32,近くの眼科,12400,620,3.186,0,38,62,6,10,12,17,20,18,17
33,眼圧,49000,610,1.81,1.936,37,63,1,5,10,17,20,20,27
34,産婦人科,45900,560,1.777,8.071,24,76,7,26,24,17,12,7,7
35,精神科,46800,550,1.729,11.779,40,60,9,17,14,17,18,15,10
36,白内障手術後の注意点,45100,520,1.847,1.716,31,69,0,1,1,5,15,30,48
37,白内障手術後の見え方,38000,500,1.98,2.96,39,61,0,0,1,3,15,30,51
38,歯科,25600,470,2.176,0.004,40,60,1,7,14,22,23,16,17
39,目が痛い,36500,420,1.706,-0.001,27,73,6,10,14,21,23,14,12
40,目やに,35800,410,1.68,-0.01,35,65,3,12,25,23,16,11,10
41,視能訓練士,27000,410,1.967,0.001,28,72,7,13,15,27,23,9,6
42,接骨院,35500,400,1.675,-5.862,41,59,4,10,16,25,20,13,12
43,はやり目,24800,400,1.991,0.409,23,77,1,10,39,31,10,6,3
44,スイミングスクール,30500,370,1.732,-3.129,30,70,2,4,19,31,16,15,13
45,タリビッド眼軟膏,32500,350,1.67,16.666,24,76,1,6,14,21,21,17,20
46,体操教室,30000,350,1.689,3.197,17,83,1,3,30,42,8,6,10
47,角膜炎,28200,350,1.781,0.611,28,72,7,18,21,20,16,9,9
48,皮膚科 日曜日診療,23100,350,1.943,-1.674,23,77,2,8,16,33,26,9,6
49,整形外科 日曜日,27700,340,1.745,28.727,27,73,3,6,17,36,24,9,5
50,井上眼科 御茶ノ水,27600,340,1.86,0,30,70,0,3,5,11,22,26,33
51,目の病気,22400,340,2.046,0,35,65,2,3,5,11,20,23,36
52,眼科検診,9700,340,2.837,0,31,69,3,4,8,23,25,19,18
53,眼科 英語,5800,340,3.345,0,34,66,3,11,11,21,20,17,17
54,白内障 目薬,29900,320,1.697,2.241,39,61,0,2,3,10,20,30,35
55,視野検査とは,27800,320,1.721,6.152,28,72,1,4,7,17,24,22,25
56,市民プール,25600,320,1.721,-48.388,33,67,5,7,26,40,11,5,6
57,はやり目 初期症状,25300,320,1.763,0.027,17,83,1,7,33,33,13,8,5
58,外科,23400,320,1.881,-0.013,39,61,3,8,13,20,19,18,19
59,硝子体手術,18100,320,2.182,5.326,38,62,1,5,5,11,23,27,28
60,ドライアイ,27300,310,1.694,5.998,31,69,7,12,16,21,18,12,14
61,目やに 子供,24100,310,1.754,-0.947,15,85,0,6,54,32,3,3,2
62,細菌性結膜炎,23700,310,1.816,0.243,18,82,2,12,37,28,10,7,4
63,ラタノプロスト点眼液,28200,300,1.675,10.302,34,66,0,7,8,14,21,22,28
64,鈴木眼科クリニック,20100,300,1.965,0.002,28,72,2,6,11,23,23,18,17
65,日本眼科学会,7600,300,2.934,-15.775,47,53,1,4,9,17,26,24,19
66,自転車屋,22900,290,1.778,15.458,46,54,4,6,15,31,24,12,8
67,さくら眼科クリニック,19800,290,1.957,0.011,26,74,2,6,12,24,22,17,17
68,後発白内障,27700,280,1.705,7.223,34,66,0,2,2,7,17,26,46
69,モキシフロキサシン点眼液0.5%,21800,280,1.858,18.653,32,68,1,5,12,18,18,19,27
70,白内障手術 保険給付金,27500,270,1.679,15.93,39,61,0,0,1,5,17,31,46
71,小児科 近く,9200,270,2.609,0.789,19,81,1,7,32,38,8,7,7
72,黄斑円孔,18800,260,1.962,1.837,33,67,0,4,7,11,20,28,30
73,耳鼻科 日曜日,17400,260,1.915,4.761,26,74,2,10,19,33,22,9,5
74,黄斑上膜,22500,250,1.759,0.082,32,68,0,2,3,8,20,36,31
75,コンタクト 処方箋,20900,250,1.728,0,29,71,5,15,18,31,24,5,2
76,糖尿病網膜症,14600,250,2.079,0.017,38,62,1,14,13,20,24,16,12
77,lvバッグ,19300,240,1.731,-6.96,25,75,1,11,36,26,13,9,4
78,高橋眼科クリニック,17700,240,1.867,0.009,27,73,2,5,11,24,23,17,18
79,呼吸器科,19900,230,1.718,8.473,34,66,1,8,17,23,21,15,15
80,視力低下の原因,18000,230,1.761,-0.001,37,63,3,7,8,23,27,18,14
81,神経内科,16900,230,1.868,9.302,34,66,1,7,13,23,25,16,15
82,視力,16600,230,1.907,-0.003,36,64,10,17,16,19,15,9,14
83,眼内レンズ,15900,230,1.935,0.778,41,59,0,5,9,17,25,25,19
84,眼科医,4600,230,3.275,0,42,58,3,3,5,8,12,19,50
85,遊び場,18200,220,1.741,3.257,38,62,8,9,23,32,13,8,7
86,角膜潰瘍,17400,220,1.776,1.002,27,73,4,13,18,22,22,12,9
87,結膜炎 保育園,17300,220,1.769,0.051,10,90,0,9,56,26,3,4,2
88,結膜炎 目薬,17200,220,1.756,0.502,25,75,1,11,30,31,14,8,5
89,眼科 眼鏡処方箋 料金,4900,220,3.078,0,41,59,1,6,10,25,27,16,15
90,網膜静脈閉塞症,18800,210,1.708,0.007,34,66,0,3,5,13,24,26,29
91,はやり目 出席停止,16700,210,1.724,0.582,15,85,1,6,34,38,12,6,3
92,脳外科,16100,210,1.862,7.156,37,63,3,9,12,19,23,15,19
93,oct 眼科,9700,210,2.372,1.184,30,70,0,6,8,16,23,24,23
94,臨床眼科学会 2024,4100,210,3.168,-21.669,48,52,1,6,16,27,24,17,9
95,タリビット眼軟膏,18000,200,1.691,-26.049,24,76,1,6,13,21,21,17,21
96,目やに 目が開かない,17100,200,1.716,-0.001,25,75,3,10,30,28,14,9,6
97,ブロナック点眼液,16800,200,1.802,0.093,35,65,0,4,7,11,18,23,37
98,視野検査,16800,200,1.765,0.012,33,67,1,5,9,19,24,20,22
99,中村眼科,10900,200,2.17,0.018,34,66,3,6,15,22,21,17,16
100,井上眼科,10300,200,2.226,0.612,31,69,2,5,11,20,25,18,19
101,小児眼科,4900,200,2.954,0.001,21,79,0,6,41,33,7,7,6
102,日本眼科学会 2025,4200,200,3.135,102.073,48,52,0,3,9,20,26,23,19
103,リンデロン点眼液,16500,190,1.762,13.016,46,54,0,3,6,12,20,27,32
104,ブロムフェナクna点眼液,16400,190,1.764,26.336,37,63,1,5,9,13,15,22,35
105,キッズカット,14400,190,1.805,11.084,17,83,0,6,46,37,6,2,3
106,角膜,12900,190,1.967,2.536,44,56,7,13,12,14,15,16,23
107,かとう眼科クリニック,12700,190,1.931,0,27,73,2,6,13,26,23,16,14
108,松本眼科,11800,190,2.054,0.002,31,69,3,6,13,23,22,15,18
109,ひまわり眼科,10200,190,2.129,0,25,75,4,9,17,30,24,10,6
110,鈴木眼科,10000,190,2.236,0.006,31,69,3,5,12,23,23,16,18
111,さとう眼科クリニック,13900,180,1.826,0.039,26,74,2,6,14,25,22,16,15
112,ベストロン点眼用0.5,12900,180,1.921,5.294,26,74,1,7,19,22,19,16,16
113,点眼薬,12300,180,2.003,0.85,37,63,2,7,11,13,17,22,28
114,清水眼科,10000,180,2.143,-0.001,28,72,3,7,13,24,21,16,16
115,木村眼科,9700,180,2.181,-0.003,29,71,2,7,13,25,23,16,14
116,アイリーア硝子体注射,8000,180,2.396,-3.677,35,65,0,4,8,15,24,23,26
117,オゼックス点眼液0.3,14500,170,1.674,0.104,18,82,1,5,43,32,8,6,5
118,耳鼻科 名医,14400,170,1.769,-2.553,26,74,0,1,4,13,24,28,30
119,林眼科 福岡,14100,170,1.778,0.003,32,68,0,4,8,16,24,24,24
120,眼帯 貼るタイプ,14100,170,1.748,0.275,22,78,7,15,18,22,20,10,8
121,アデノ,13700,170,1.744,-15.985,20,80,1,6,44,31,9,5,4
122,眼球,13100,170,1.848,0,42,58,5,9,10,17,20,19,20
123,スイミング,11500,170,1.926,-3.263,26,74,2,3,27,36,12,8,12
124,メガネ屋,10400,170,2.02,0.067,44,56,3,9,15,23,24,14,12
125,さくら眼科,9000,170,2.173,0.001,28,72,2,6,13,25,23,14,17
126,目医者 眼科,4600,170,2.938,0,45,55,3,5,5,13,23,23,28
127,ミケルナ配合点眼液,13700,160,1.791,-12.928,36,64,0,5,8,13,20,25,29
128,杉田眼科 名古屋,13300,160,1.773,0,31,69,1,3,6,13,23,25,29
129,アイクリニック,11800,160,1.877,0.001,32,68,2,5,10,20,25,18,20
130,いとう眼科,10600,160,1.991,0,26,74,2,5,14,26,22,14,17
131,中心性漿液性脈絡網膜症,10200,160,1.976,2.165,49,51,1,5,12,27,28,16,11
132,黄斑浮腫,10000,160,2.069,3.113,36,64,0,4,6,12,23,26,29
133,マイオピン,8500,160,2.151,0.636,22,78,1,2,15,51,19,6,6
134,佐藤眼科,8100,160,2.225,0.007,33,67,2,6,12,22,21,17,20
135,高橋眼科,7300,160,2.36,0.308,32,68,2,5,12,24,22,17,18
136,眼,7200,160,2.396,0,43,57,4,6,9,17,18,18,28
137,眼科 初診料 いくら,5700,160,2.617,0,23,77,3,41,26,17,9,2,2
138,眼科専門医,3400,160,3.142,0,32,68,0,2,11,16,23,24,24
139,眼科 救急,3000,160,3.229,0,33,67,1,6,18,30,27,11,7
140,消化器内科 近く,13200,150,1.691,26.813,28,72,2,10,13,23,26,12,14
141,サンベタゾン,10700,150,1.927,13.753,39,61,1,5,11,18,21,20,24
142,眼鏡 処方箋,10000,150,1.917,-0.003,36,64,2,10,15,36,24,8,5
143,中村眼科クリニック,9700,150,1.979,0.008,22,78,1,5,10,25,24,16,19
144,ケーキ屋さん,9300,150,2.023,6.13,24,76,7,18,22,24,13,9,7
145,目の検査,7800,150,2.219,0,39,61,2,3,8,20,23,18,26
146,眼鏡処方箋,7400,150,2.227,1.901,35,65,2,6,10,30,27,14,11
147,小児科 日曜診察,6200,150,2.358,11.112,24,76,0,5,35,41,8,6,5
148,日本眼科学会 2024,3000,150,3.15,-108.402,48,52,1,5,10,22,28,21,13
149,エイベリス点眼液,12700,140,1.7,4.914,29,71,0,4,8,18,26,25,19
150,瞳孔を開く検査とは,12600,140,1.716,17.02,21,79,0,2,5,13,28,31,21
151,緑内障 眼圧 正常値,12100,140,1.788,13.963,34,66,0,1,3,11,21,29,35
152,網膜,12100,140,1.719,0,41,59,7,11,8,14,18,20,22
153,コンタクトレンズ 処方箋,12000,140,1.704,-0.003,40,60,2,8,12,30,32,12,4
154,円錐角膜,11800,140,1.73,0.364,37,63,2,13,16,23,24,13,9
155,プリズム眼鏡,11400,140,1.754,7.095,34,66,3,10,12,19,20,17,19
156,黄斑変性,11200,140,1.825,-4.61,38,62,1,2,5,13,21,22,36
157,水遊び,10300,140,1.809,-40.373,23,77,1,11,35,33,10,6,4
158,散瞳検査,10000,140,1.922,3.241,38,62,1,4,8,17,22,21,27
159,アイラミド懸濁性点眼液,9400,140,2.003,14.833,37,63,0,5,9,14,20,24,28
160,ミドリンm点眼液,8800,140,1.991,2.934,28,72,3,7,14,31,21,12,12
161,田中眼科,7700,140,2.176,0,30,70,3,7,13,21,20,18,18
162,網膜光凝固術,7100,140,2.239,2.013,36,64,1,5,9,18,29,24,14
163,硝子体注射,6000,140,2.444,7.483,33,67,0,4,6,15,25,23,27
164,視能訓練士 求人,5600,140,2.453,-16.411,20,80,2,18,19,26,23,8,4
165,眼科 検査 種類,3000,140,3.091,0,28,72,2,9,13,23,23,16,14
166,眼科 視力検査,2800,140,3.154,0,28,72,6,19,22,23,16,6,8
167,眼科 休日診療,2500,140,3.236,0,25,75,1,3,16,35,26,13,6
168,ヒアレイン点眼液0.1%,12000,130,1.697,-1.693,31,69,1,3,5,11,18,29,33
169,白内障手術 失敗,11100,130,1.803,-0.11,34,66,0,1,3,8,19,27,42
170,ベガモックス点眼液0.5,11000,130,1.75,5.954,32,68,0,5,10,15,18,21,31
171,わたなべ眼科クリニック,10900,130,1.721,0.003,25,75,2,8,15,28,23,14,10
172,永住権 申請 必要書類,10900,130,1.691,-4.072,47,53,0,6,37,28,13,8,8
173,アレルギー科,10600,130,1.73,2.407,23,77,2,9,18,28,24,12,7
174,目の手術,10400,130,1.793,0.001,36,64,3,8,11,19,25,18,16
175,ジクアス,10100,130,1.799,-0.005,30,70,1,6,14,22,24,16,17
176,目やに 充血,9700,130,1.846,-0.002,21,79,2,9,36,30,12,7,4
177,二本松眼科,9600,130,1.918,1.271,32,68,1,2,5,11,23,27,31
178,やまもと眼科クリニック,9600,130,1.863,0.011,23,77,2,6,12,29,25,15,11
179,流行性結膜炎,9100,130,1.878,0.697,20,80,2,10,38,27,12,7,4
180,グラナテック点眼液,8800,130,1.994,7.086,36,64,0,6,8,14,21,23,28
181,小林眼科,8200,130,2.013,0,32,68,2,8,15,26,21,16,12
182,胃腸科,6400,130,2.253,19.645,33,67,2,8,13,24,25,15,13
183,ミドリンp,6300,130,2.323,-11.845,32,68,1,13,12,19,19,18,18
184,山田眼科,6000,130,2.31,-0.002,32,68,2,5,13,24,23,15,18
185,眼科 コンタクト処方 値段,5900,130,2.335,0,25,75,5,27,20,27,16,4,1
186,日本眼科医会,3600,130,2.883,11.456,47,53,0,6,8,17,25,23,21
187,眼下,3500,130,2.907,0,38,62,6,12,15,24,18,12,13
188,眼科杉田病院,3400,130,2.885,0,38,62,0,7,10,14,24,25,20
189,oct,10400,120,1.743,16.308,50,50,2,11,13,20,23,16,15
190,視神経炎,9900,120,1.782,3.306,29,71,2,11,14,23,22,16,12
191,結膜弛緩症,9400,120,1.806,5.914,22,78,2,5,9,19,26,19,20
192,英語教室,9100,120,1.784,-1.017,21,79,1,6,23,39,15,9,7
193,目の腫れ,8000,120,1.916,-0.015,28,72,5,14,23,26,18,9,5
194,はやり目 何日で治る,7400,120,1.973,1.966,24,76,1,9,35,31,12,8,4
195,グラアルファ配合点眼液,6700,120,2.184,22.826,37,63,0,6,9,15,23,21,26
196,近くの眼科 現在地,6600,120,2.228,0,39,61,1,3,5,17,23,24,27
197,小児歯科,5600,120,2.318,0.188,17,83,2,10,39,34,7,4,4
198,コンタクト 眼科,5200,120,2.376,0.001,33,67,8,28,23,25,12,2,2
199,イオン 眼科,5200,120,2.305,0.003,21,79,2,9,27,38,18,4,2
200,眼科 コンタクト 処方箋だけ,4800,120,2.497,0,23,77,6,18,23,29,18,3,3
201,視能訓練士協会,2800,120,2.991,-1.272,24,76,1,17,21,27,20,9,5
202,白内障の手術,11500,110,1.695,3.557,33,67,0,2,2,6,13,24,53
203,ガチフロ点眼液 効果,9900,110,1.695,4.682,32,68,1,6,13,19,19,18,24
204,和菓子屋,9700,110,1.728,18.267,33,67,2,6,9,17,23,20,23
205,ブロムフェナクna点眼薬,9500,110,1.785,36.131,33,67,0,1,4,10,18,26,41
206,乱視 メガネ,9000,110,1.8,5.372,49,51,2,9,14,22,21,14,18
207,たなか小児科クリニック,8800,110,1.729,-7.002,18,82,1,6,34,42,10,4,3
208,眼窩,8700,110,1.817,0,42,58,7,16,16,18,17,13,13
209,甲状腺眼症,8500,110,1.821,8.914,29,71,0,10,13,22,26,18,11
210,緑内障手術,8300,110,1.926,5.26,33,67,1,3,4,11,25,28,28
211,ブリモニジン点眼,8300,110,1.849,25.817,37,63,0,8,10,17,22,22,21
