順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯列矯正,89400,550,3.525,-12.937,26,74,5,21,22,25,17,6,4
2,アンカースクリュー 矯正,6400,430,5.959,-0.022,12,88,6,34,24,17,14,3,2
3,アンカースクリュー 痛み,2000,350,6.932,0,11,89,9,45,22,12,8,3,1
4,インビザライン,85200,340,3.081,-23.728,25,75,3,14,21,30,20,8,4
5,チャールズアンドキース,165000,310,2.392,-31.004,6,94,3,44,23,12,12,4,2
6,あおばクリニック,124000,290,2.58,-3.166,21,79,3,29,22,20,15,6,5
7,マウスピース矯正,105000,280,2.687,-20.952,22,78,6,20,21,27,16,5,5
8,顔タイプ診断,155000,250,2.235,-13.712,6,94,17,36,23,13,7,2,2
9,アンカースクリュー 必要な人,2000,250,6.61,0,8,92,9,47,23,11,7,2,1
10,日本矯正歯科学会,14500,230,4.492,-21.408,19,81,6,32,23,21,11,4,3
11,estp,140000,220,2.232,-19.378,28,72,22,44,17,9,5,2,1
12,歯科矯正,47200,220,3.232,-14.54,23,77,3,11,19,33,23,6,5
13,親知らず 抜歯後,115000,210,2.303,-20.804,35,65,4,27,26,21,14,5,3
14,湘南美容外科 脱毛 料金,115000,200,2.318,-16.383,19,81,5,44,25,14,9,2,1
15,ガミースマイル,102000,200,2.391,-0.004,28,72,7,21,24,23,15,7,3
16,顎変形症,34200,200,3.485,-16.274,24,76,5,20,21,22,18,8,6
17,ドライソケット,36900,180,3.326,-8.406,29,71,3,26,28,20,14,6,3
18,ディズニー カチューシャ,106000,170,2.241,-5.973,13,87,19,47,15,11,6,1,1
19,イソトレチノイン,98500,170,2.289,-23.823,28,72,5,33,25,18,13,4,2
20,snidel,88300,170,2.453,-14.42,11,89,14,41,18,10,9,5,3
21,ダーリッチ,85200,170,2.488,6.096,11,89,18,41,18,11,9,2,1
22,dholic,80900,170,2.508,9.652,6,94,8,36,23,15,11,5,2
23,矯正,34500,170,3.319,-7.305,32,68,9,17,16,22,16,9,11
24,ワイヤー矯正,10100,160,4.484,-15.997,20,80,12,29,23,23,10,2,1
25,ブランクリニック,49600,150,2.86,-28.798,9,91,11,54,15,9,8,2,1
26,口ゴボとは,36100,150,3.133,-0.213,24,76,11,26,23,20,14,4,2
27,ビューティースキンクリニック,33100,150,3.291,-6.706,5,95,9,55,18,8,7,2,1
28,リテーナー,18400,150,3.843,1.694,23,77,9,22,24,25,12,4,4
29,ジェットウォッシャー,75400,140,2.374,0.798,38,62,1,4,9,16,24,23,23
30,親知らず 抜歯後 痛み,68800,140,2.414,-21.665,35,65,3,24,26,22,16,6,3
31,裏側矯正,6800,140,4.78,-10.666,16,84,9,38,24,15,9,3,2
32,マーティンキム,77700,130,2.252,-27.674,15,85,15,37,13,14,15,4,2
33,ユニバ カチューシャ,71700,130,2.396,-4.33,9,91,28,53,8,6,4,1,0
34,randa,66400,130,2.444,6.336,5,95,10,45,24,9,7,3,2
35,インモード,44600,130,2.778,15.895,9,91,3,31,23,19,17,5,2
36,歯列矯正 医療費控除 やり方,10600,130,4.206,-18.458,24,76,2,19,24,28,19,5,3
37,isfp 相性,78100,120,2.276,-8.238,22,78,29,49,13,5,3,1,0
38,デイジーク,73400,120,2.254,40.39,4,96,25,29,16,16,10,3,1
39,dior 財布,62500,120,2.445,-22.253,16,84,16,49,17,9,6,2,1
40,抜歯後の食事,36600,120,2.869,1.898,32,68,2,12,16,20,25,16,9
41,冒険家,65900,110,2.239,-11.188,20,80,11,44,22,12,7,2,2
42,レジーナクリニック,65500,110,2.223,-31.199,16,84,5,41,22,16,12,3,1
43,ハイドラフェイシャル,52300,110,2.422,-17.956,14,86,2,27,29,23,13,4,2
44,矯正 抜歯,5700,110,4.684,-11.245,19,81,7,28,21,26,13,3,2
45,矯正 アンカースクリュー,1500,110,6.05,-2.082,19,81,6,30,22,24,14,3,1
46,nugu,63600,100,2.287,4.247,13,87,21,46,13,10,7,2,1
47,ジュベルック,45100,100,2.539,-14.672,12,88,1,19,28,27,17,6,2
48,ミューイング,43700,100,2.62,-23.851,42,58,18,26,19,18,13,4,2
49,ハパクリスティン カラコン,38100,100,2.823,26.96,3,97,28,49,13,6,3,1,0
50,抜歯後 痛み いつまで,37000,100,2.707,-7.14,31,69,2,11,17,23,24,14,9
51,あおばクリニック 脱毛,28000,100,3.065,-5.675,22,78,5,57,23,8,5,1,1
52,矯正歯科,27900,100,2.995,-13.398,27,73,4,10,14,31,25,9,7
53,レナトゥスクリニック,27000,100,3.122,-17.694,10,90,13,49,14,11,9,3,1
54,デンタルローン,19000,100,3.363,-19.918,31,69,1,14,24,31,21,6,3
55,口ゴボ,17200,100,3.557,-1.002,24,76,13,28,25,18,10,4,2
56,ドライソケット 見た目,11200,100,3.885,2.756,24,76,2,30,30,19,12,5,2
57,ブラックトライアングル,7900,100,4.258,-5.498,17,83,2,24,30,23,14,4,3
58,口ゴボ 矯正,6200,100,4.515,-22.939,16,84,10,38,26,16,7,2,1
59,矯正 ゴムかけ 効果,4600,100,4.85,0.105,14,86,8,37,22,21,10,1,1
60,矯正中 食べやすいもの,3400,100,5.07,-1.365,16,84,7,32,20,22,15,3,1
61,リンガルアーチ,3300,100,5.062,0.001,17,83,3,28,22,31,12,2,2
62,ミシェルマカロン,59100,90,2.225,-22.785,7,93,26,38,16,10,7,2,1
63,ホテラバ,57400,90,2.315,-13.598,5,95,29,40,18,7,4,1,1
64,isfj 相性,55500,90,2.324,-66.696,20,80,20,51,16,7,4,1,1
65,ココディール,55000,90,2.221,-43.091,6,94,2,35,31,15,11,4,2
66,acne studios,54300,90,2.273,18.806,30,70,6,45,20,14,10,3,2
67,カラリア,51400,90,2.346,-27.939,26,74,13,47,17,10,8,3,2
68,歯の矯正,44700,90,2.44,-2.167,33,67,4,9,16,30,21,10,10
69,fwee リップ,42800,90,2.465,36.017,4,96,16,35,20,15,10,3,1
70,ディーホリック,42600,90,2.443,-26.044,5,95,7,30,27,19,11,4,2
71,ジェミールフラン,42500,90,2.503,-3.537,9,91,7,33,23,18,13,4,2
72,ジェントルマックスプロ,29300,90,2.864,-31.126,24,76,5,41,24,16,10,2,2
73,歯科矯正 医療控除,23700,90,3.025,24.081,28,72,1,7,19,37,26,7,3
74,バッカルコリドー,22000,90,3.063,10.776,19,81,4,18,22,24,20,9,3
75,オトガイ形成,8300,90,4.123,2.861,17,83,5,36,28,16,10,3,2
76,矯正 ワイヤー,8200,90,4.1,-13.473,17,83,8,19,17,33,17,3,3
77,アミパリス,47100,80,2.23,-53.737,26,74,6,41,21,14,12,4,2
78,全ア とは,39000,80,2.446,-52.32,12,88,14,42,28,10,4,1,1
79,ルラ美容クリニック,34600,80,2.561,76.721,8,92,5,31,23,19,15,5,2
80,アデノイド顔貌,34300,80,2.579,0.02,26,74,4,18,29,26,14,6,3
81,ルメッカ,33000,80,2.645,-5.809,11,89,2,18,29,27,17,5,2
82,furfur,29300,80,2.774,3.796,5,95,15,50,18,8,6,2,1
83,インビザライン 費用,27200,80,2.76,-36.022,20,80,3,16,22,30,19,6,4
84,ルシアクリニック,26500,80,2.944,-38.876,10,90,9,56,15,9,8,2,1
85,涙袋 ヒアルロン酸,23700,80,3.028,10.581,13,87,9,40,21,15,9,3,3
86,湘南 脱毛,20900,80,3.115,-28.941,9,91,3,49,29,11,5,2,1
87,過蓋咬合,14400,80,3.369,1.677,18,82,5,21,33,27,8,4,2
88,矯正歯科 選ぶポイント,12700,80,3.489,-24.987,16,84,3,16,13,31,26,6,5
89,出っ歯 矯正,11700,80,3.574,-10.332,26,74,10,21,20,27,15,4,3
90,ハーフリンガル矯正,3600,80,4.883,-2.547,22,78,6,36,23,17,13,3,2
91,ゴムかけ 矯正,2000,80,5.493,2.017,14,86,8,37,31,15,7,1,1
92,パラタルアーチ,1400,80,5.781,-0.002,15,85,7,44,21,14,9,4,1
93,dior マキシマイザー,46200,70,2.231,17.191,14,86,27,37,14,10,8,3,1
94,マツパ 頻度,44600,70,2.283,-1.151,4,96,11,55,18,9,6,1,0
95,dior バッグ,43900,70,2.259,20.213,16,84,7,35,20,14,13,8,3
96,リサマリ,42900,70,2.295,-0.371,10,90,6,40,30,12,7,3,2
97,randa バッグ,37700,70,2.412,45.612,5,95,16,46,15,9,10,3,1
98,anuans,35700,70,2.479,8.399,5,95,1,33,37,16,8,3,2
99,grl 何日で届く,35100,70,2.469,23.914,2,98,44,42,7,4,3,0,0
100,フレイアクリニック,30400,70,2.545,-58.723,10,90,12,46,14,12,13,2,1
101,ブラケット,28700,70,2.647,-8.179,62,38,2,13,18,23,21,13,10
102,オーレンズ カラコン,28600,70,2.675,-8.535,3,97,30,43,13,8,4,1,1
103,musinsa,28200,70,2.685,-15.954,17,83,15,42,17,12,9,3,2
104,アンドマリー,25500,70,2.858,36.041,10,90,16,50,17,8,6,2,1
105,フロアフロス,23500,70,2.773,-0.871,19,81,2,21,27,22,17,7,4
106,歯並び,20600,70,2.996,-10.598,28,72,7,17,24,26,14,7,5
107,ジョールファット,20100,70,2.915,-0.858,11,89,2,25,27,22,15,6,3
108,ubクリニック,19600,70,2.985,-3.004,8,92,1,26,32,22,12,4,3
109,アンミール,19400,70,3.105,-52.198,4,96,23,51,12,5,6,2,1
110,リテーナーとは,19300,70,3.05,-0.914,37,63,2,15,17,22,25,13,6
111,スキンボトックス,18300,70,3.044,-8.358,10,90,1,21,28,27,16,5,2
112,抜歯 穴 いつ塞がる,16500,70,3.16,-3.746,39,61,2,11,16,21,23,14,13
113,血餅,16000,70,3.213,-3.467,33,67,8,23,26,21,13,6,3
114,人中短縮,15500,70,3.201,11.946,17,83,5,20,26,25,15,6,3
115,抜歯後 食事,12500,70,3.44,-16.094,29,71,1,30,30,18,13,5,3
116,歯列矯正 保険適用,11900,70,3.426,-17.184,24,76,6,27,26,23,12,3,3
117,セラミック矯正,10600,70,3.539,-1.612,22,78,4,18,24,26,18,7,3
118,日本矯正歯科学会認定医一覧,5900,70,4.213,-39.019,14,86,3,24,24,27,15,4,3
119,ルーセント歯科,4600,70,4.492,-57.964,17,83,4,40,27,14,11,3,1
120,ブラケット 矯正,3800,70,4.58,-0.512,11,89,4,26,21,32,12,3,2
121,抜歯矯正,3100,70,4.936,-0.01,21,79,13,41,21,13,8,2,2
122,歯根吸収,3100,70,4.844,0.005,18,82,2,22,25,25,16,6,4
