順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ガミースマイルとは,13000,4100,5.31,0,24,76,12,21,16,18,18,10,5
2,isfp,306000,2400,1.656,0.961,27,73,18,41,20,12,6,2,1
3,ガミースマイル 芸能人,10200,1800,4.675,0.001,25,75,4,12,20,26,23,11,4
4,esfj,174000,1300,1.654,4.973,26,74,18,47,18,9,6,1,1
5,キュートアグレッション,142000,1300,1.793,34.293,27,73,23,40,18,10,6,2,1
6,顔タイプ診断,151000,1200,1.677,-5.388,7,93,18,36,22,13,8,2,1
7,ガミースマイル 治し方,12000,1200,4.154,0.001,15,85,8,27,23,22,13,5,2
8,マウスピース矯正,104000,940,1.734,-0.012,22,78,6,20,21,27,16,5,5
9,estp,118000,930,1.672,-1.111,27,73,22,44,18,9,5,1,1
10,歯列矯正,86400,860,1.821,-0.002,26,74,5,21,22,25,17,6,4
11,インビザライン,82100,790,1.772,-2.623,25,75,3,14,21,30,20,8,4
12,エラボトックス,67100,720,1.925,0.096,18,82,6,32,23,21,13,3,2
13,ガミースマイル ボトックス,6500,710,4.256,0,6,94,1,37,31,17,9,3,2
14,口ゴボとは,32800,680,2.573,0.001,23,77,10,25,23,20,15,5,2
15,ガミースマイル 手術方法,6500,630,4.111,0.001,13,87,3,24,24,23,17,6,3
16,領事館タイプ,73400,600,1.697,6.823,24,76,7,50,21,10,9,2,1
17,isfp 相性,69900,570,1.716,-3.026,23,77,29,49,12,5,3,1,1
18,巨匠 mbti,69000,570,1.694,-1.011,26,74,10,47,24,11,6,1,1
19,enfp 相性,71700,540,1.66,-1.386,30,70,31,46,12,5,4,1,1
20,冒険家,54500,490,1.771,21.601,20,80,12,45,22,12,6,2,1
21,前髪診断,53300,450,1.678,2.1,6,94,51,19,9,13,6,1,1
22,アデノイド顔貌,33100,450,2.118,0.002,25,75,4,18,29,27,14,5,3
23,ペアーズ 退会,54400,440,1.674,8.34,35,65,2,55,23,11,6,2,1
24,ほうれい線 ヒアルロン酸,47700,440,1.736,-2.45,14,86,1,10,22,30,23,9,5
25,バッカルファット,45000,440,1.825,-0.002,15,85,3,18,21,24,21,9,4
26,マムシ指,36800,440,2.023,0,28,72,10,21,21,23,15,6,4
27,ジュベルック,44600,430,1.79,-4.781,12,88,1,19,28,27,17,6,2
28,蒙古襞,35700,420,2.027,-6.239,18,82,17,29,23,15,10,4,2
29,マツパ 頻度,45900,410,1.789,15.235,4,96,12,53,18,9,6,1,1
30,討論者 mbti,50700,400,1.656,12.525,27,73,11,48,22,11,6,1,1
31,エンターテイナー mbti,44400,400,1.784,29.162,26,74,10,50,24,9,5,1,1
32,人中 短くする,29800,400,2.108,-0.001,12,88,6,12,22,31,20,6,3
33,口ゴボ,16100,400,2.778,0.001,23,77,13,28,25,18,10,4,2
34,笑うと歯茎が見える,5400,400,3.826,-0.001,28,72,5,22,24,22,14,8,5
