順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ヒロアカ,224000,320,2.37,-9.026,44,56,13,21,23,23,13,4,3
2,ステイン ヒロアカ,5800,260,5.84,0,54,46,12,37,31,12,5,2,1
3,僕のヒーローアカデミア,220000,190,1.85,-15.458,49,51,7,15,24,26,17,7,4
4,ステインとは,14200,190,4.6,0,44,56,2,12,11,16,21,19,19
5,ヒロアカ 映画,133000,160,2.235,-43.868,37,63,15,33,21,18,9,3,1
6,ヴィジランテ,66700,160,2.872,-0.038,52,48,11,22,23,18,14,7,5
7,捨印とは,62100,140,2.843,0,46,54,1,17,23,22,18,11,8
8,轟焦凍,43400,130,3.108,-5.915,30,70,18,29,26,17,6,2,2
9,オールフォーワン,31100,120,3.357,-1.724,56,44,13,26,24,20,11,4,2
10,死柄木弔,37100,110,3.118,-4.489,46,54,13,29,28,18,8,2,2
11,オールマイト,36300,110,3.089,-0.864,54,46,11,25,28,22,9,3,2
12,荼毘,31600,110,3.227,-0.03,46,54,12,22,23,18,11,7,7
13,エッジショット,19300,110,3.822,-0.004,36,64,13,36,30,12,6,2,1
14,メダリスト,146000,100,1.605,69.564,46,54,8,19,23,21,17,8,4
15,ゼンゼロ,132000,100,1.814,-63.628,68,32,16,29,29,14,7,3,2
16,トガヒミコ,55700,100,2.569,-4.087,51,49,13,25,30,20,8,2,2
17,レディナガン,17000,100,3.84,-0.802,58,42,16,37,27,12,5,2,1
18,ゼンレスゾーンゼロ,141000,90,1.554,-119.947,77,23,11,27,33,18,7,2,2
19,ニコニコ,130000,90,1.617,-32.798,63,37,15,20,27,16,11,6,5
20,岡本信彦,85400,90,2.052,-1.918,29,71,14,22,22,19,13,5,5
21,ステンレス,121000,80,1.557,-0.001,63,37,2,4,8,16,24,23,23
