順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,湘南美容外科,626000,150,1.398,-15.338,22,78,3,19,20,23,21,9,5
2,医療費控除,510000,120,1.439,0.011,41,59,0,5,14,21,25,20,15
3,セラミック 歯 値段,70700,120,3.411,-2.179,28,72,2,14,20,23,22,12,7
4,歯周病,336000,110,1.762,-7.969,35,65,2,8,13,22,25,17,13
5,セラミック,64200,100,3.273,0,44,56,4,12,13,15,19,19,18
6,ダイレクトボンディング,13500,90,4.748,-0.001,25,75,3,16,22,27,20,8,4
7,インプラント 費用,185000,80,1.984,-4.149,45,55,1,5,10,18,27,23,16
8,インプラント,85100,80,2.781,0.524,40,60,2,10,14,20,24,17,13
9,ラミネートベニア,18900,80,4.249,0,21,79,2,16,24,25,19,9,5
10,コンポジットレジン,12400,80,4.728,-0.006,36,64,3,16,18,24,21,11,7
11,セラミックインレー 値段,1500,80,6.793,0,26,74,1,12,24,27,19,10,7
12,クレドポーボーテ,312000,70,1.31,26.974,8,92,2,15,21,23,22,12,5
13,医療費控除 いくら戻る,266000,70,1.453,9.415,38,62,0,5,15,24,27,18,11
14,ホワイトニング,161000,70,2.011,-0.489,32,68,5,19,18,21,20,11,6
15,歯医者,146000,70,2.036,-0.014,42,58,3,10,15,23,22,14,13
16,マウスピース矯正,104000,70,2.391,42.605,22,78,6,20,21,27,16,5,5
17,インビザライン,82100,70,2.707,-2.23,25,75,3,14,21,30,20,8,4
18,根管治療,52200,70,3.114,-0.003,32,68,2,10,18,26,23,13,8
19,セラミック 歯,26600,70,3.843,0,29,71,2,14,19,24,23,12,6
20,セラミッククラウン,1700,70,6.593,0.001,33,67,1,12,22,28,21,11,5
21,レボフロキサシン,296000,60,1.318,-12.406,31,69,1,10,16,22,22,15,14
22,歯科衛生士,87800,60,2.396,-46.182,37,63,5,11,14,24,23,12,11
23,ノンクラスプデンチャー,20600,60,3.995,-4.253,30,70,0,3,8,17,30,25,17
24,ジルコニアインレー,1600,60,6.427,0.001,34,66,1,12,20,30,22,9,6
25,顎関節症,230000,50,1.367,-22.291,32,68,6,12,15,21,21,13,12
26,スナイデル,202000,50,1.408,-52.474,14,86,8,29,21,17,16,6,3
27,ポテンツァ,163000,50,1.681,15.102,21,79,3,22,24,25,17,6,3
28,ボトックス注射,155000,50,1.68,-4.329,24,76,2,10,14,26,26,14,8
29,サワシリン錠250,131000,50,1.95,9.092,32,68,1,6,13,22,23,18,17
30,インプラント治療 流れ,50800,50,2.803,-2.898,32,68,0,3,7,14,26,28,22
31,ジルコニア セラミック 違い,12100,50,4.196,0.002,34,66,0,7,15,23,25,18,12
32,ファイバーコア,3300,50,5.472,-0.003,24,76,1,12,16,22,24,14,11
33,マキアージュ,180000,40,1.367,19.134,9,91,1,7,17,27,26,13,9
