順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ラミネートベニア,18900,80,4.827,-0.002,21,79,2,16,24,25,19,9,5
2,歯周病,336000,70,1.815,-10.059,35,65,2,8,13,22,25,17,13
3,セラミック 歯 値段,70700,70,3.347,-4.774,28,72,2,14,20,23,22,12,7
4,セラミックインレー,3000,70,6.593,-0.001,30,70,1,15,23,26,21,10,4
5,インプラント 費用,185000,60,2.252,-0.008,45,55,1,5,10,18,27,23,16
6,ホワイトニング,161000,60,2.372,5.425,32,68,5,19,18,21,20,11,6
7,セラミック,64200,60,3.401,0,44,56,4,12,13,15,19,19,18
8,ダイレクトボンディング,13500,50,4.716,0.828,25,75,3,16,22,27,20,8,4
9,顎関節症,230000,40,1.659,3.182,32,68,6,12,15,21,21,13,12
10,歯医者,146000,40,2.076,-12.391,42,58,3,10,15,23,22,14,13
11,インプラント,85100,40,2.749,-0.112,40,60,2,10,14,20,24,17,13
12,インビザライン,82100,40,2.705,-2.12,25,75,3,14,21,30,20,8,4
13,根管治療,52200,40,3.203,-2.162,32,68,2,10,18,26,23,13,8
14,セラミック 歯,26600,40,3.798,-4.615,29,71,2,14,19,24,23,12,6
15,コンポジットレジン,12400,40,4.61,0.037,36,64,3,16,18,24,21,11,7
16,ジルコニアクラウン,3100,40,5.881,-0.009,35,65,1,10,15,22,26,15,11
17,セラミッククラウン 値段,1200,40,6.964,0,33,67,2,10,14,23,27,15,9
18,舌が白い,190000,30,1.412,-97.542,28,72,3,7,11,19,25,19,16
19,リードルショット,162000,30,1.545,4.897,18,82,5,19,22,23,19,8,4
20,歯間ブラシ,124000,30,2.01,10.885,40,60,1,7,14,20,22,18,18
21,マウスピース矯正,104000,30,2.231,8.302,22,78,6,20,21,27,16,5,5
