順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ピーリングとは,50600,3200,4.311,0,28,72,9,24,10,16,23,12,6
2,ポテンツァ,163000,1400,2.288,-0.923,21,79,3,22,24,25,17,6,3
3,ケミカルピーリング,47900,1300,3.409,0.001,16,84,5,25,23,21,17,6,3
4,レチノール,142000,1200,2.244,0,19,81,3,14,21,27,20,9,6
5,ハイドロキノン,167000,1100,1.968,0.142,14,86,1,7,14,29,28,13,8
6,タカミスキンピール,165000,1100,2.018,0.001,8,92,1,9,22,31,24,9,4
7,毛穴 なくす 方法,135000,1100,2.196,-2.327,19,81,7,14,20,29,20,7,3
8,ダーマペン,106000,1100,2.497,-0.001,23,77,3,18,23,27,19,7,3
9,ピコトーニング,106000,1000,2.35,-0.031,8,92,1,12,21,32,24,7,3
10,ピーリング ランキング,26100,1000,3.816,0,12,88,3,13,20,24,23,11,6
11,アゼライン酸,131000,970,2.127,2.422,15,85,4,23,27,24,15,5,2
12,リードルショット,162000,900,1.85,-6.831,18,82,5,19,22,23,19,8,4
13,ピーリングジェル,29200,890,3.569,0,22,78,4,13,15,21,21,15,11
14,ピーリング 皮膚科,12500,890,4.39,0,12,88,3,14,16,26,24,11,6
15,ニキビ跡 治し方,124000,870,2.112,0,32,68,19,29,19,16,12,3,2
16,ハーブピーリング,57100,830,2.818,0,13,87,4,26,27,22,14,5,2
17,フォトフェイシャル,84800,810,2.371,-0.004,10,90,2,14,20,27,23,9,5
18,リジュラン,110000,780,2.073,0.296,11,89,1,14,22,28,23,9,3
19,ゼオスキン,96100,750,2.16,0.042,11,89,1,13,21,29,24,9,3
20,品川美容外科クリニック,130000,730,1.849,-0.036,12,88,2,13,17,27,25,11,5
21,イソトレチノイン,99800,670,2.056,4.201,28,72,6,32,25,18,13,4,2
22,メディキューブ,112000,620,1.829,29.302,10,90,4,16,22,27,22,6,3
23,ハイドラフェイシャル,50700,590,2.592,0.001,14,86,2,27,29,23,13,4,2
24,ピコレーザー,68300,570,2.223,1.226,13,87,1,8,18,32,26,11,4
25,糸リフト,89500,560,1.95,-5.311,15,85,2,13,22,29,23,8,3
26,ララピール,39100,540,2.751,-1.037,9,91,1,17,27,27,20,6,2
