順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,インビザライン,85200,4800,3.326,0.011,25,75,3,14,21,30,20,8,4
2,マウスピース矯正 値段,16100,4000,4.859,0,25,75,13,27,17,19,15,5,4
3,マウスピース,93300,3800,3.033,0,39,61,3,7,10,19,27,20,14
4,歯列矯正,89400,3700,3.022,-0.002,26,74,5,21,22,25,17,6,4
5,ホワイトニング,170000,2200,1.874,-0.047,32,68,4,19,18,21,20,11,7
6,歯科矯正,47200,2000,3.036,-0.004,23,77,3,11,19,33,23,6,5
7,マウスピース矯正 できない人,6900,2000,4.978,0.001,20,80,7,22,20,23,19,6,3
8,インビザライン 費用,27200,1800,3.492,0.005,20,80,3,16,22,30,19,6,4
9,オーマイティース,21800,1800,3.727,0.012,23,77,4,21,22,28,17,6,2
10,キレイライン矯正,12700,1700,4.206,0.014,16,84,4,28,23,27,14,3,1
11,親知らず 抜歯後,115000,1500,1.873,0.827,35,65,4,27,26,21,14,5,3
12,歯の矯正,44700,1400,2.765,-0.015,33,67,4,9,16,30,21,10,10
13,マウスピース 洗浄,36400,1400,2.94,0.007,24,76,2,11,18,24,22,14,9
14,矯正 マウスピース,17200,1300,3.67,-0.01,22,78,7,20,18,29,19,4,3
15,湘南美容外科 脱毛 料金,115000,1200,1.743,-7.347,19,81,5,44,25,14,9,2,1
16,マウスピース 歯ぎしり,25700,1200,3.161,0,26,74,2,12,18,27,23,11,7
17,セラミック 歯 値段,73100,1100,2.025,-0.007,28,72,2,14,20,23,22,12,7
18,インビザライン矯正,12100,1000,3.719,1.785,20,80,5,14,16,26,23,11,5
19,エラボトックス,68500,990,2.007,0.861,18,82,6,32,23,21,13,3,2
20,矯正歯科,27900,980,2.841,0.003,27,73,4,10,14,31,25,9,7
