順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ホワイトニング,161000,740,2.552,-0.034,32,68,5,19,18,21,20,11,6
2,ラミネートベニア 費用,4900,700,5.969,0.001,24,76,2,15,20,24,24,11,4
3,セラミック 歯 値段,70700,580,3.122,-0.004,28,72,2,14,20,23,22,12,7
4,ダイレクトボンディング,13500,530,4.679,0.001,25,75,3,16,22,27,20,8,4
5,インビザライン,82100,440,2.681,-5.716,25,75,3,14,21,30,20,8,4
6,ラミネート,62100,410,2.919,0,38,62,3,9,15,25,22,13,13
7,ラミネートベニア 後悔,2200,360,6.134,0.001,22,78,1,9,21,27,25,13,4
8,審美歯科,17600,310,3.91,-0.004,27,73,3,10,15,24,25,15,8
9,セラミック 歯,26600,300,3.425,-0.006,29,71,2,14,19,24,23,12,6
10,ホームホワイトニング,33700,260,3.073,2.41,23,77,3,23,29,23,14,5,3
11,ラミネートベニア 後悔口臭,1100,250,6.405,0.001,23,77,2,11,25,29,25,6,2
12,オパールエッセンス,31100,240,3.06,11.443,25,75,1,17,26,25,19,7,5
13,ルミネアーズ,1800,240,5.881,0.004,20,80,2,21,28,25,17,5,2
14,歯を白くする方法,47700,230,2.623,-0.002,40,60,8,10,11,20,23,15,13
15,ホワイトエッセンス,39200,220,2.725,-18.44,27,73,1,19,22,22,21,10,5
16,歯のマニキュア,10700,210,4.004,0.002,25,75,2,7,12,19,30,21,9
17,前歯 セラミック,9500,210,4.114,-0.027,22,78,1,9,19,28,25,12,6
18,ジュベルック,44600,200,2.53,-14.055,12,88,1,19,28,27,17,6,2
19,水光注射,44500,200,2.501,11.956,12,88,1,15,23,28,21,8,4
20,インモード,43600,200,2.581,-0.722,10,90,4,31,22,19,17,5,2
21,ルラ美容クリニック,38600,190,2.662,17.145,8,92,5,32,22,19,15,5,2
22,ラミネートベニア デメリット,1100,190,6.131,0.001,16,84,1,17,21,25,22,11,3
23,コンポジットレジン,12400,180,3.704,0.006,36,64,3,16,18,24,21,11,7
24,セラミック矯正,10200,170,3.83,-0.005,23,77,4,18,24,26,18,7,3
25,オフィスホワイトニング,15400,160,3.352,-0.018,23,77,3,27,27,23,13,5,2
26,ホワイトニング 歯医者,31500,140,2.55,-0.543,23,77,4,22,19,22,20,9,4
27,ルメッカ 効果,30600,140,2.575,20.019,10,90,1,17,26,28,19,6,3
28,ショッピングリフト,29500,140,2.557,-10.943,7,93,0,6,18,33,30,9,4
29,糸リフト ダウンタイム,28600,140,2.58,-6.503,9,91,1,11,21,30,26,8,3
