順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,リテーナーとは,19300,700,4.639,0,37,63,2,15,17,22,25,13,6
2,歯列矯正,89400,550,2.887,-17.841,26,74,5,21,22,25,17,6,4
3,インビザライン,85200,530,2.876,-2.927,25,75,3,14,21,30,20,8,4
4,マウスピース矯正,105000,490,2.603,-2.111,22,78,6,20,21,27,16,5,5
5,リテーナー 洗浄,5600,390,5.288,0,14,86,5,16,20,29,20,6,4
6,リテーナー 期間,4300,280,5.304,0,19,81,10,35,24,18,9,2,2
7,歯科矯正,47200,270,2.768,-30.734,23,77,3,11,19,33,23,6,5
8,マウスピース,93300,250,2.07,-0.002,39,61,3,7,10,19,27,20,14
9,リテーナー 種類,2200,220,5.714,0.001,13,87,6,33,28,17,10,4,2
10,矯正,34500,200,2.836,-5.729,32,68,9,17,16,22,16,9,11
11,リテールとは,42000,190,2.572,0,58,42,1,9,9,17,25,20,19
12,リテーナー 痛い,2000,170,5.552,0.264,13,87,12,35,26,16,7,3,1
13,歯の矯正,44700,160,2.314,-13.343,33,67,4,9,16,30,21,10,10
14,リテーナー マウスピース,2200,160,5.347,0.001,16,84,2,20,26,24,18,6,4
15,リテーナー 後戻り,1900,160,5.499,0.009,12,88,9,36,27,19,6,1,2
16,マウスピース 洗浄,36400,150,2.5,0,24,76,2,11,18,24,22,14,9
17,アンカースクリュー,9900,150,3.843,-1.694,15,85,6,43,25,14,8,3,1
18,randa,66400,130,1.783,5.377,5,95,10,45,24,9,7,3,2
19,歯並び,20600,130,2.871,-9.686,28,72,7,17,24,26,14,7,5
20,ブラックトライアングル,7900,130,3.85,-9.566,17,83,2,24,30,23,14,4,3
21,リテーナー いつまで,2700,130,4.973,0.001,19,81,7,29,32,18,11,1,2
22,顎変形症,34200,120,2.352,-3.005,24,76,5,20,21,22,18,8,6
23,ホームホワイトニング,34100,120,2.307,2.972,23,77,3,23,29,23,14,5,3
24,プレオルソ,22900,120,2.631,0,16,84,1,5,37,43,8,3,3
25,ワイヤー矯正,10100,120,3.548,-9.486,20,80,12,29,23,23,10,2,1
26,リテーナーシャイン,4800,120,4.275,0,19,81,1,9,15,35,25,9,6
27,ドライソケット,36900,110,2.148,7.899,29,71,3,26,28,20,14,6,3
28,歯科矯正 医療控除,23700,110,2.514,-15.463,28,72,1,7,19,37,26,7,3
29,日本矯正歯科学会,14500,110,3.148,0.005,19,81,6,32,23,21,11,4,3
30,ブランクリニック,49600,100,1.829,-42.978,9,91,11,54,15,9,8,2,1
31,矯正歯科,27900,100,2.318,-0.013,27,73,4,10,14,31,25,9,7
32,矯正 マウスピース,17200,100,2.824,-0.025,22,78,7,20,18,29,19,4,3
33,アンカースクリュー 矯正,6400,100,3.808,-10.071,12,88,6,34,24,17,14,3,2
34,バッカルファット,46000,90,1.737,-4.091,15,85,2,19,21,24,21,9,4
35,100stars,44900,90,1.851,-10.001,6,94,50,28,5,9,6,1,1
36,インモード,44600,90,1.786,-46.477,9,91,3,31,23,19,17,5,2
37,粘液嚢胞,39100,90,1.888,81.535,27,73,5,17,22,24,17,9,6
