順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マウスピース矯正,105000,810,3.712,-0.027,22,78,6,20,21,27,16,5,5
2,歯列矯正,89400,700,3.717,-3.353,26,74,5,21,22,25,17,6,4
3,インビザライン,85200,590,3.574,-2.481,25,75,3,14,21,30,20,8,4
4,歯科矯正,47200,370,3.677,-5.944,23,77,3,11,19,33,23,6,5
5,ワイヤー矯正 痛み,2600,320,6.521,0.001,18,82,14,29,21,22,10,2,2
6,ワイヤー矯正 値段,4400,310,5.963,0,23,77,15,34,19,19,9,2,2
7,矯正,34500,240,3.614,-0.011,32,68,9,17,16,22,16,9,11
8,ワイヤー矯正 期間,2700,240,6.224,0.001,24,76,14,37,20,17,8,2,2
9,esfj,187000,220,1.929,-20.031,25,75,18,48,18,9,5,1,1
10,esfp,201000,210,1.781,0.545,30,70,23,40,18,11,6,1,1
11,ホワイトニング,170000,210,1.898,-12.575,32,68,4,19,18,21,20,11,7
12,親知らず 抜歯後,115000,210,2.26,-22.967,35,65,4,27,26,21,14,5,3
13,istp,186000,200,1.793,-36.657,29,71,18,43,20,10,6,2,1
14,miumiu,178000,200,1.837,-12.024,17,83,11,38,19,16,10,3,3
15,医療脱毛,161000,200,1.873,-22.318,24,76,6,28,21,22,16,4,3
16,矯正歯科,27900,190,3.549,-0.581,27,73,4,10,14,31,25,9,7
17,矯正 ワイヤー,8200,190,4.774,-4.102,17,83,8,19,17,33,17,3,3
18,バースデーカラー,162000,180,1.805,-16.242,8,92,52,20,10,10,6,1,1
19,顔タイプ診断,155000,180,1.885,-2.143,6,94,17,36,23,13,7,2,2
20,親知らず 抜歯,135000,180,1.921,-2.838,42,58,2,17,20,23,22,10,6
21,歯の矯正,44700,180,3.03,-3.653,33,67,4,9,16,30,21,10,10
22,インビザライン 費用,27200,180,3.517,-12.327,20,80,3,16,22,30,19,6,4
23,ガミースマイル,102000,170,2.181,-0.778,28,72,7,21,24,23,15,7,3
24,ワイヤー矯正 食事,1400,170,6.546,0,15,85,7,34,21,19,12,5,2
25,estp,140000,160,1.897,-41.739,28,72,22,44,17,9,5,2,1
26,顎ニキビ 原因,135000,160,1.889,7.101,13,87,9,35,28,17,8,2,1
27,日本矯正歯科学会,14500,160,4.055,0.428,19,81,6,32,23,21,11,4,3
28,アンカースクリュー,9900,160,4.484,15.997,15,85,6,43,25,14,8,3,1
29,あおばクリニック,124000,140,1.775,-26.288,21,79,3,29,22,20,15,6,5
30,歯列矯正 医療費控除 やり方,10600,140,4.201,26.011,24,76,2,19,24,28,19,5,3
