順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,pixiv,560000,170,1.317,-73.913,44,56,26,26,20,14,8,3,3
2,エロアニメ,311000,100,1.356,-73.256,79,21,24,30,20,12,8,4,2
3,反対咬合,20800,90,3.939,0,20,80,2,11,35,31,11,6,4
4,咬合 読み方,1100,90,6.844,0,25,75,5,15,15,30,17,9,9
5,ヘルパンギーナ,241000,80,1.358,-122.168,26,74,1,9,33,27,12,11,7
6,dlsiite,226000,80,1.466,-50.1,51,49,15,32,26,16,7,2,2
7,dlsite,207000,80,1.517,-91.44,56,44,12,34,27,15,7,3,2
8,筆おろしデリバリー,52400,80,2.944,-0.905,85,15,21,41,23,9,3,1,2
9,甲状腺,190000,70,1.424,0.365,33,67,2,7,12,19,24,18,18
10,ランソプラゾール,187000,70,1.432,-27.799,32,68,1,10,10,17,23,20,19
11,hitomi,170000,70,1.543,-25.864,74,26,16,24,17,17,14,7,5
12,ツイッター 動画保存ランキング,143000,70,1.919,-86.954,86,14,41,37,10,6,3,1,2
13,momonga 漫画,127000,70,1.957,-6.563,79,21,24,28,19,14,8,3,4
14,不正咬合,6600,70,4.825,0,25,75,5,15,26,27,15,8,4
15,リンゴ病 症状 子供,166000,60,1.346,136.742,16,84,0,4,40,37,5,7,7
16,矜持,142000,60,1.645,23.284,50,50,3,5,8,16,22,22,24
17,モモンガ,133000,60,1.617,-8.115,49,51,14,19,20,22,13,7,5
18,歯科衛生士,87800,60,2.068,-9.019,37,63,5,11,14,24,23,12,11
19,ポーカーフェイス,56300,60,2.603,-56.358,47,53,13,17,15,22,16,9,8
20,勝ち気な母親を俺が雌にします,18300,60,3.698,47.232,97,3,8,45,30,11,4,1,1
21,過蓋咬合,14900,60,3.834,0.001,17,83,6,21,34,25,9,3,2
22,咬合性外傷,4700,60,4.91,0,26,74,3,18,22,24,20,8,5
23,istp,161000,50,1.325,-44.682,29,71,18,44,20,10,6,1,1
24,ぼっちざろっく,160000,50,1.368,-84.601,67,33,10,20,23,23,17,5,2
25,セロトニン,147000,50,1.426,-17.691,39,61,2,12,15,22,22,14,13
26,discord,147000,50,1.384,-33.557,61,39,10,20,23,21,16,6,4
27,寛解,138000,50,1.522,-8.414,44,56,1,5,10,18,23,19,24
28,トイザらス オンライン,136000,50,1.324,-28.546,25,75,1,7,35,30,12,11,4
29,メチコバール,132000,50,1.473,3.038,32,68,1,8,13,20,21,16,21
30,メイドインアビス,130000,50,1.471,-25.881,57,43,8,23,31,21,11,4,2
31,3630070,123000,50,1.664,16.025,96,4,17,30,23,18,9,2,1
32,ボーネルンド,121000,50,1.526,-3.771,24,76,1,5,33,24,11,17,9
33,マンガ図書館z,107000,50,1.624,-191.261,76,24,17,25,27,17,9,3,2
34,バイアスピリン,104000,50,1.68,10.955,36,64,0,13,12,16,20,18,21
35,辟易,93400,50,1.784,-21.32,46,54,4,9,15,22,23,15,12
36,邂逅,92300,50,1.749,-2.429,49,51,4,10,13,18,22,17,16
37,歯列矯正,86400,50,1.804,-2.365,26,74,5,21,22,25,17,6,4
38,齟齬,84200,50,1.857,0.628,55,45,3,8,15,23,25,15,11
39,hitomi la日本語,83100,50,2.105,29.421,84,16,28,30,16,11,8,3,4
40,低血糖,75200,50,1.983,52.662,28,72,4,16,19,22,19,11,9
41,構音障害,73700,50,1.958,-15.618,23,77,2,11,15,24,22,16,10
42,罹患,70200,50,2.153,-5.873,45,55,2,7,14,23,27,15,12
43,嚥下,67900,50,2.183,0,35,65,3,7,8,16,25,22,19
44,咀嚼,48500,50,2.523,0,45,55,6,5,9,18,24,19,19
45,オナホを買っただけなのに,19600,50,3.511,55.064,93,7,20,40,24,9,4,2,1
46,隣人は有名配信者,19000,50,3.572,-62.884,91,9,20,40,25,10,3,1,1
47,デスアクメ摩天楼,14400,50,3.72,24.497,93,7,16,40,29,10,3,1,1
48,ポーカーフェイスhitomi,13100,50,3.992,-50.061,92,8,21,48,21,6,2,1,1
49,巨乳の友達と付き合うまでの話,13100,50,3.811,12.688,96,4,25,40,21,8,4,1,1
50,痩せませ斗真くん!!,13000,50,3.766,44.792,92,8,11,42,30,11,4,1,1
51,噛み合わせ,4500,50,4.794,0,29,71,5,14,20,22,20,11,8
52,歯列,2300,50,5.534,-0.001,31,69,7,14,18,23,18,9,11
53,漫画raw,136000,40,1.395,11.734,80,20,24,36,22,10,5,2,1
54,杜撰,134000,40,1.316,7.856,56,44,2,5,9,18,24,22,20
55,lgbtq,133000,40,1.301,-14.843,47,53,9,12,14,20,20,14,11
56,booth,122000,40,1.359,1.388,44,56,11,30,28,15,9,4,3
57,アセスメントとは,119000,40,1.319,21.681,38,62,3,11,10,22,28,17,9
58,ジレンマとは,118000,40,1.319,-66.414,34,66,25,23,10,15,13,7,7
59,中耳炎 子供,117000,40,1.399,-11.429,23,77,0,5,42,34,6,8,5
60,高次脳機能障害,117000,40,1.38,-10.887,30,70,2,10,13,21,24,17,13
61,同人誌,113000,40,1.38,-7.494,67,33,21,20,23,17,11,5,3
62,歌舞伎症候群,113000,40,1.36,59.408,14,86,2,5,17,31,24,14,7
63,写真をpdfにする方法,111000,40,1.433,-16.996,41,59,6,23,11,18,21,12,9
64,アンファミエ,111000,40,1.383,34.914,10,90,1,14,18,27,26,11,3
65,ついったー 動画保存ランキング,110000,40,1.543,-94.226,87,13,44,36,9,5,3,1,2
66,ジャンプ,108000,40,1.378,-51.462,59,41,7,17,27,25,13,6,5
67,放課後デイサービス,106000,40,1.39,-33.532,25,75,1,6,20,34,21,12,6
68,溶連菌 出席停止,105000,40,1.33,-52.274,16,84,2,6,28,41,14,6,3
69,y2k,104000,40,1.402,8.293,37,63,11,21,22,23,14,6,3
70,クループ症候群,100000,40,1.472,18.858,19,81,1,11,39,25,10,9,5
71,西暦とは,99900,40,1.491,-9.107,23,77,28,35,18,9,5,2,3
72,うっ血性心不全,99200,40,1.492,0.115,33,67,1,10,10,18,28,19,14
73,てんかん,99100,40,1.572,-17.949,38,62,5,15,19,24,20,10,7
74,クエチアピン,98100,40,1.522,-16.367,29,71,1,12,14,23,25,16,9
75,臨床心理士,98100,40,1.422,0.101,31,69,7,9,14,26,24,12,8
76,屠殺,98000,40,1.484,-73.893,34,66,1,3,12,32,33,14,5
77,稚拙,96800,40,1.58,-30.304,49,51,3,6,10,21,26,18,16
78,ワンダフルプリキュア,96400,40,1.509,-65.803,27,73,4,11,37,30,6,7,5
79,リコリスリコイル,92100,40,1.597,-1.153,70,30,11,19,23,21,17,6,3
80,歯肉炎,91400,40,1.578,2.079,32,68,4,11,16,22,21,14,12
81,親知らず,88200,40,1.561,12.143,45,55,11,24,19,18,14,7,7
82,インプラント,85100,40,1.633,-24.541,40,60,2,10,14,20,24,17,13
83,えろ漫画,83800,40,1.754,-105.57,61,39,46,35,7,6,4,1,1
84,インビザライン,82100,40,1.679,-4.457,25,75,3,14,21,30,20,8,4
85,twitter保存ランキングtwidouga,81900,40,1.938,-167.669,87,13,35,47,9,4,3,1,1
86,カウプ指数,77500,40,1.674,-79.234,13,87,1,15,47,25,5,4,3
87,ロシデレ,75800,40,1.821,-15.507,83,17,24,24,20,15,11,4,2
88,ブルアカ,71100,40,1.853,-55.921,75,25,16,27,26,17,9,3,2
89,ニフェジピン,69500,40,1.964,22.362,35,65,1,14,12,19,22,16,16
90,慮る,64800,40,1.984,18.019,48,52,5,8,11,18,22,19,17
91,慟哭,63300,40,2.1,-6.454,45,55,4,8,14,20,23,19,12
92,乖離,60900,40,2.116,-56.027,47,53,6,10,14,20,22,15,13
93,放課後化学クラブ,57500,40,2.057,23.126,51,49,17,18,20,24,15,4,2
94,低ナトリウム血症,53500,40,2.051,-7.185,33,67,1,18,17,21,21,13,9
95,軋轢,52300,40,2.294,-4.914,50,50,6,8,11,18,22,17,18
96,根管治療,52200,40,2.182,-5.126,32,68,2,10,18,26,23,13,8
