順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マウスピース矯正,105000,700,3.577,-0.002,22,78,6,20,21,27,16,5,5
2,歯列矯正,88900,530,3.458,-0.003,26,74,5,21,22,25,17,6,4
3,grl,403000,440,1.839,-36.084,6,94,18,38,20,12,8,2,2
4,インビザライン,84700,390,3.185,0.003,25,75,3,14,21,30,20,8,4
5,部分矯正 費用,4600,360,6.08,0,23,77,12,32,24,20,8,3,1
6,部分矯正 前歯,4800,350,5.971,0.004,16,84,5,23,20,23,21,6,2
7,部分矯正 できない例,2800,270,6.294,0.001,16,84,11,34,23,18,9,4,1
8,ホワイトニング,167000,260,2.123,-0.011,32,68,5,19,18,21,20,11,6
9,歯科矯正,46800,230,3.259,-0.036,24,76,3,11,20,33,22,6,5
10,miumiu,178000,200,1.849,5.97,17,83,12,38,19,16,10,3,2
11,ポテンツァ,167000,200,1.866,13.61,21,79,3,22,24,25,17,6,3
12,あおばクリニック,124000,200,2.199,-1.043,21,79,3,29,22,20,15,6,5
13,顔タイプ診断,153000,190,1.956,-8.228,6,94,17,36,22,13,8,2,2
14,矯正 値段,26100,180,3.657,-0.007,31,69,17,37,15,17,9,3,2
15,キレイライン矯正,12100,180,4.391,0.019,15,85,5,28,23,27,13,3,1
16,歯の矯正,43600,170,3.003,-2.955,33,67,4,9,16,29,22,10,10
17,entj,137000,160,1.899,26.309,27,73,14,46,21,10,6,2,1
18,estp,133000,160,1.918,-16.808,28,72,22,44,18,9,5,1,1
19,品川美容外科クリニック,130000,160,1.912,-3.298,12,88,2,13,17,27,25,11,5
20,顎ニキビ 原因,135000,150,1.818,2.795,13,87,9,35,28,17,8,2,1
21,イソトレチノイン,100000,150,2.138,-4.105,28,72,6,32,25,18,13,4,2
22,矯正,33900,150,3.179,0.009,31,69,8,17,16,23,16,9,11
23,インビザライン 費用,26900,150,3.399,0,20,80,3,16,22,30,19,6,4
24,オーマイティース,22400,150,3.568,1.975,23,77,5,21,22,27,18,5,2
25,前歯 矯正,7100,150,4.761,-1.482,20,80,3,28,26,27,11,3,2
26,intj,133000,140,1.814,26.283,27,73,14,42,23,11,7,2,1
27,カラコン,121000,140,1.916,15.147,12,88,25,29,17,14,9,3,3
