順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,矯正歯科 費用,3200,430,5.491,0,30,70,4,11,15,31,24,8,7
2,矯正歯科 保険適応,2100,280,5.458,0,26,74,2,7,16,37,27,6,5
3,矯正歯科 東京,1200,130,5.373,0,21,79,6,30,14,19,22,5,4
4,矯正歯科 認定医とは,2600,240,5.11,0,16,84,4,15,16,30,20,8,7
5,矯正歯科 医療控除,6500,510,4.919,0,29,71,0,6,11,38,32,8,5
6,矯正歯科 選ぶポイント,12700,940,4.906,0,16,84,3,16,13,31,26,6,5
7,矯正治療,1100,50,4.504,0.003,36,64,4,16,18,30,19,8,5
8,矯正専門医,1000,50,4.383,-0.622,17,83,3,17,27,34,12,4,3
9,矯正歯科学会 認定医,1900,70,4.276,0.003,16,84,1,18,21,30,21,4,5
10,名古屋 矯正歯科,1300,50,4.25,-1.782,18,82,6,38,22,16,14,3,1
11,日本矯正歯科学会 2024,1700,50,4.047,-48.999,42,58,1,7,16,24,28,17,7
12,矯正治療 医療費控除,1100,40,4.043,27.81,27,73,2,13,22,38,18,4,3
13,矯正 ワイヤー,8200,250,4.031,0,17,83,8,19,17,33,17,3,3
14,矯正認定医,1600,50,3.972,0.03,14,86,1,30,25,29,9,5,1
15,外科矯正,1100,30,3.958,-0.963,25,75,7,30,22,22,12,5,2
16,日本矯正歯科学会 認定医,1000,30,3.954,0.007,24,76,7,22,25,22,13,7,4
17,歯科矯正 ワイヤー,3600,100,3.94,0.01,15,85,2,11,18,30,26,10,3
18,渋谷矯正歯科,1300,40,3.94,2.248,28,72,3,30,23,20,15,6,3
19,セラミックブラケット,1100,30,3.931,2.394,17,83,5,31,24,22,13,3,2
20,歯科矯正 50代,1300,40,3.921,62.603,12,88,0,0,1,14,77,7,1
