順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,カンピロバクター 症状,99200,7500,2.049,-0.002,33,67,2,16,20,23,23,10,6
2,多発性硬化症,106000,7100,1.956,0.007,27,73,1,9,11,19,24,20,16
3,フリーマン 息子,77800,6300,2.18,-0.001,31,69,1,5,10,16,21,24,23
4,重症筋無力症,73800,5800,2.106,0.002,32,68,2,17,15,21,21,14,10
5,ギランバレー症候群 芸能人,16600,5500,3.585,0.001,31,69,1,3,5,14,24,28,25
6,ギランバレー症候群 芳根京子,14700,5200,3.654,0,25,75,2,8,10,14,22,23,21
7,ギランバレー症候群 治る,15500,4100,3.339,0.001,33,67,2,10,13,19,21,18,17
8,ギランバレー症候群 原因,16900,3800,3.209,0.001,27,73,1,6,8,15,24,23,23
9,ギランバレー症候群 鶏肉,11400,3500,3.468,0.001,29,71,2,11,14,20,24,15,14
10,jcs 意識レベル,50300,3400,1.934,-5.493,35,65,1,29,23,22,16,6,3
11,ギランバレー,30100,3200,2.386,0.029,37,63,1,13,18,23,21,13,11
12,末梢神経障害,44800,3000,1.962,0.039,35,65,1,9,10,18,24,19,19
13,ウェルニッケ脳症,40800,2900,2.004,0.001,35,65,1,21,17,21,20,13,7
14,多系統萎縮症,40700,2600,1.922,2.208,32,68,1,12,13,21,22,18,13
15,フィッシャー症候群,20000,2600,2.609,0.004,32,68,1,9,13,20,22,21,14
16,ギランバレー症候群 難病指定,4600,2400,4.018,0.003,24,76,1,6,10,19,24,21,19
17,多発性筋炎,29300,2300,2.116,0.07,25,75,2,11,11,18,24,19,15
18,ミオクローヌス,33100,2200,1.912,6.788,29,71,2,20,20,22,19,11,6
19,カンピロバクター うつる,27600,2200,2.095,-0.007,30,70,3,22,20,21,22,8,4
20,アジソン病,32800,2100,1.915,1.25,28,72,2,21,12,18,22,14,11
21,mmt 評価,27700,2100,2.061,0.152,30,70,1,34,21,22,14,4,4
22,ギランバレー症候群 症状,10900,2100,3.036,0.001,36,64,1,7,8,14,19,22,29
23,co2ナルコーシス,29700,2000,1.971,-1.327,30,70,1,32,18,21,16,8,4
