順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,多発性骨髄腫,89500,3300,2.952,0,33,67,1,9,9,16,22,22,21
2,重症筋無力症,73800,3300,3.126,0.001,32,68,2,17,15,21,21,14,10
3,線維筋痛症,155000,3000,2.302,-0.005,26,74,2,8,13,19,26,18,14
4,als,150000,2900,2.272,0,37,63,3,11,14,22,22,15,13
5,全身性エリテマトーデス,120000,2800,2.488,0.009,20,80,2,15,16,22,23,14,8
6,筋ジストロフィー,117000,2600,2.438,0,32,68,2,12,15,22,22,15,12
7,脊髄小脳変性症,91600,2600,2.686,0.24,26,74,2,12,19,22,21,14,10
8,多発性硬化症 症状,8900,2200,4.867,0.01,27,73,2,9,8,12,26,22,21
9,横紋筋融解症,108000,2100,2.329,0.029,32,68,1,10,11,16,21,21,20
10,als 初期症状,105000,2100,2.319,-2.284,33,67,2,8,13,20,25,17,15
11,サルコイドーシス,82900,2000,2.534,0.122,31,69,1,9,12,20,24,19,15
12,クッシング症候群,70700,1900,2.63,-6.202,25,75,2,21,14,20,23,13,7
13,多系統萎縮症,40700,1900,3.201,0.003,32,68,1,12,13,21,22,18,13
14,多発性筋炎,29300,1900,3.49,0.001,25,75,2,11,11,18,24,19,15
15,リウマチ性多発筋痛症,81000,1700,2.425,0.002,28,72,0,4,6,13,25,24,28
16,視神経脊髄炎,15500,1700,4.057,0.015,32,68,1,12,13,19,23,17,15
17,進行性核上性麻痺,47900,1600,2.875,0.021,33,67,1,9,12,20,22,17,19
18,ジストニアとは,73200,1400,2.307,7.05,33,67,2,9,10,20,23,20,16
19,胸郭出口症候群,70300,1400,2.33,-0.001,35,65,2,11,16,25,24,13,9
20,強皮症,52800,1400,2.624,0.004,25,75,1,8,11,19,25,20,16
21,難病 一覧,67200,1300,2.362,-0.001,33,67,2,4,7,15,22,24,26
22,低カリウム血症,57900,1300,2.425,-2.001,29,71,1,17,15,21,22,15,9
23,レイノー現象,50900,1300,2.537,-0.387,25,75,2,16,14,22,23,13,10
24,後縦靭帯骨化症,46000,1300,2.676,0.001,38,62,1,9,11,19,25,20,15
25,ウェルニッケ脳症,40800,1300,2.762,0.067,35,65,1,21,17,21,20,13,7
26,メトトレキサート,59000,1200,2.377,-0.609,29,71,1,14,12,19,23,17,14
27,難病医療費助成制度,52700,1200,2.413,16.746,26,74,0,4,8,21,31,20,16
28,jcs 意識レベル,50300,1200,2.477,-23.034,35,65,1,29,23,22,16,6,3
29,皮膚筋炎,35300,1200,2.868,0.699,26,74,1,8,10,19,26,20,16
30,ハンチントン病とは,33900,1200,2.896,-0.001,26,74,2,12,12,17,20,19,18
31,dダイマーとは,55000,1100,2.336,0.001,26,74,1,16,12,19,22,16,14
32,低ナトリウム血症,52700,1100,2.376,-1.804,33,67,1,19,17,21,20,13,9
33,末梢神経障害,44800,1100,2.568,-0.145,35,65,1,9,10,18,24,19,19
34,ステロイドパルス療法,24600,1100,3.101,3.839,27,73,0,21,14,20,21,13,11
35,ラクナ梗塞,49700,1000,2.348,0.351,32,68,1,11,9,16,23,21,19
36,jcs,48100,1000,2.386,0.618,40,60,2,32,23,19,14,6,4
37,日常生活自立度,43600,1000,2.458,0.04,35,65,1,20,20,25,20,9,5
38,深部静脈血栓症,41100,1000,2.569,-9.032,27,73,2,23,13,18,20,14,10
39,ジスキネジアとは,36900,1000,2.644,2.531,25,75,1,16,13,21,24,15,10
40,閉塞性動脈硬化症,36300,1000,2.676,1.186,33,67,2,12,10,16,22,19,19
41,ミオクローヌス,33100,1000,2.757,2.247,29,71,2,20,20,22,19,11,6
42,筋萎縮性側索硬化症,25000,1000,3.024,0,37,63,2,13,11,19,23,16,16
43,レジデント 型破りの研修医,18300,1000,3.345,-5.718,21,79,1,6,13,22,27,20,11
44,ファロー四徴症,34000,990,2.696,-0.284,28,72,2,29,21,20,15,9,4
45,キムサブ3,33900,990,2.754,-0.697,19,81,2,3,4,12,27,30,22
46,褐色細胞腫,27500,980,2.905,0.007,32,68,1,19,12,20,22,16,10
