順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,認知症 初期症状,341000,41100,2.67,-0.002,25,75,1,3,6,17,29,20,24
2,高齢者,410000,31900,2.284,0.007,38,62,1,1,2,8,21,29,38
3,アルツハイマー型認知症,157000,19900,2.718,0.01,33,67,2,7,7,15,26,20,23
4,グループホーム,223000,19500,2.332,2.69,35,65,1,4,6,15,28,27,19
5,認知症テスト,147000,19500,2.842,0,42,58,1,1,2,9,20,18,49
6,認知症 寿命,74600,17500,3.32,0.005,23,77,1,2,5,14,36,24,18
7,介護保険,249000,17400,2.117,1.73,39,61,1,3,5,15,28,26,22
8,認知症 症状,64400,14600,3.307,0.009,26,74,1,5,5,13,29,25,22
9,レビー小体型認知症,133000,14500,2.551,0.034,27,73,1,7,9,17,27,21,18
10,老人ホーム,197000,13100,2.086,2.513,38,62,1,2,4,12,27,28,26
11,認知症 薬,59900,12400,3.197,0,33,67,1,4,6,16,32,21,20
12,介護認定を受けるには,183000,12300,2.079,-0.001,29,71,0,2,3,13,34,26,22
13,特別養護老人ホーム,176000,12100,2.098,8.419,36,64,1,5,6,13,28,27,20
14,デイサービス,132000,11900,2.362,4.361,33,67,1,5,7,16,27,24,20
15,ケアマネージャー,143000,10800,2.164,8.628,37,63,1,6,9,18,29,21,16
16,認知症 予防,75500,10700,2.841,0,34,66,2,5,7,15,25,20,26
17,認知症 介護認定,43300,10700,3.347,0.002,30,70,0,1,4,18,40,22,15
18,介護施設,111000,10400,2.432,2.277,38,62,1,2,3,10,26,29,29
19,認知症 対応,37800,9900,3.433,0.001,22,78,1,3,4,15,36,24,17
20,地域包括支援 センター,123000,9300,2.176,0.261,31,69,1,6,7,17,30,21,18
21,成年後見人制度,137000,9200,2.061,4.25,38,62,1,4,7,17,29,24,18
22,訪問看護,107000,8300,2.188,2.695,29,71,1,5,10,23,29,19,13
23,有料老人ホーム,107000,7900,2.168,7.758,34,66,1,4,8,16,26,25,20
24,介護認定 区分,117000,7700,2.054,6.74,34,66,0,1,3,13,33,28,22
25,特養,95300,7700,2.257,12.651,33,67,0,4,6,14,29,28,19
26,認知症 種類,29800,6900,3.314,0,30,70,2,11,10,17,26,17,17
27,老健とは,104000,6800,2.058,16.953,28,72,1,5,7,12,28,30,17
28,ドネペジル,60400,6600,2.536,9.148,28,72,1,10,11,20,28,18,12
29,要介護1,71900,5800,2.227,10.545,31,69,1,4,6,16,34,24,15
30,訪問介護,63300,5600,2.325,6.047,33,67,1,4,8,19,29,23,16
31,アルツハイマー,64500,5500,2.329,0.001,43,57,6,8,8,15,22,17,24
32,介護福祉士国家試験 2025,74000,5300,2.088,27.29,29,71,1,9,11,23,31,17,8
33,廃用症候群とは,73900,5000,2.073,9.6,27,73,2,13,10,16,25,21,13
34,mci 認知症,57500,4900,2.365,7.35,39,61,0,3,4,11,22,24,36
35,ショートステイとは,56500,4900,2.331,12.463,27,73,1,6,8,13,29,28,15
36,メマンチン,44700,4500,2.437,18.011,29,71,0,10,13,23,26,18,10
37,痴呆症 認知症 違い,38800,4500,2.589,-0.001,40,60,1,3,4,17,34,21,20
38,要介護2,63200,4400,2.103,13.789,31,69,0,5,7,16,33,25,14
39,小規模多機能型居宅介護,42200,4400,2.498,14.134,26,74,1,7,9,19,31,22,11
40,物忘れ外来,37000,4300,2.647,0.001,28,72,0,2,4,14,32,22,26
41,認知機能検査,51400,4100,2.382,0,63,37,0,2,2,7,9,7,73
42,長谷川式簡易知能評価スケール,43800,4000,2.361,0,26,74,1,16,13,22,26,12,10
43,介護老人保健施設,51700,3900,2.166,7.748,35,65,1,11,9,17,26,21,15
44,家族信託とは,51100,3900,2.227,3.936,40,60,0,1,4,11,28,28,28
45,居宅介護支援事業所,42900,3900,2.334,7.219,35,65,1,6,9,21,30,21,12
46,長谷川式 認知症テスト,37400,3900,2.512,21.969,30,70,1,6,8,17,28,26,14
47,前頭側頭型認知症,30700,3900,2.694,0.03,27,73,2,10,11,20,26,19,12
48,要介護3,50900,3800,2.158,14.025,32,68,1,4,7,16,33,26,13
49,包括支援センタ一,51000,3700,2.156,0.854,31,69,0,2,5,16,33,23,21
50,介護認定,47500,3600,2.171,5.943,34,66,0,3,6,17,35,24,15
51,ユマニチュード,37800,3600,2.403,0.899,27,73,2,9,10,21,28,18,12
52,レビー小体型認知症 初期症状,32100,3600,2.635,0.483,18,82,0,3,4,12,27,26,28
53,介護用品,52700,3500,2.091,4.555,29,71,0,1,3,9,27,30,30
54,日常生活自立度,43600,3500,2.199,-0.001,35,65,1,20,20,25,20,9,5
55,レカネマブ,42700,3500,2.318,6.995,43,57,1,5,6,14,22,21,31
56,アルツハイマー 認知症 違い,39700,3500,2.357,0.002,31,69,2,5,8,17,27,17,24
57,介護支援専門員,39400,3500,2.295,11.246,32,68,1,7,12,24,28,18,10
58,認知症ケア専門士,22000,3500,2.889,0,22,78,1,9,18,30,27,10,5
59,実務者研修,43600,3400,2.159,0.331,27,73,1,8,15,28,31,13,4
60,介護医療院とは,42700,3400,2.229,13.063,29,71,1,6,9,18,29,24,13
61,訪問看護ステーションとは,48400,3300,2.054,3.905,30,70,1,6,10,23,28,19,13
62,経管栄養,48100,3300,2.084,12.991,23,77,2,15,13,21,24,16,9
63,バルーンカテーテル,47800,3300,2.063,7.626,27,73,2,10,9,20,28,20,11
64,ケアハウスとは,46300,3300,2.174,13.516,29,71,0,4,6,12,24,28,26
65,bpsd,26300,3200,2.625,0.088,30,70,1,14,15,24,24,14,8
66,認知症検査,18800,3200,3.043,0,37,63,1,2,4,11,25,19,38
67,介護保険負担限度額認定証,38200,3000,2.255,19.281,29,71,0,1,3,11,32,35,18
68,痴呆症,29100,3000,2.526,0,45,55,4,12,9,12,25,19,19
69,軽度認知障害,24800,3000,2.662,4.779,34,66,1,5,6,15,28,22,23
70,アルツハイマー型認知症 進行,17700,3000,3.04,13.299,23,77,1,2,2,13,31,25,26
71,住宅型有料老人ホーム,43100,2900,2.072,18.536,30,70,1,5,9,17,27,25,16
72,施設入所,27600,2900,2.51,19.956,23,77,1,2,5,15,32,30,15
73,老健 特養 違い,40900,2800,2.112,18.272,27,73,0,4,6,12,30,32,16
74,ケアマネ試験 2024,34800,2800,2.175,-40.593,28,72,1,3,15,30,30,15,6
75,高齢者 食事 食べない,30100,2800,2.438,3.796,12,88,0,1,2,8,39,34,16
76,見当識障害,26200,2800,2.522,5.01,27,73,2,15,13,20,25,16,9
77,メマンチン 効果,22100,2800,2.692,16.043,20,80,0,6,7,17,34,24,12
78,デイサービス 料金,37000,2700,2.154,0.969,32,68,1,4,7,17,34,21,16
79,訪問診療,35000,2700,2.202,14.461,29,71,1,4,6,17,27,25,20
80,特養老人ホーム費用,32600,2600,2.264,40.61,30,70,0,1,2,9,29,33,26
81,老人性うつ病,31200,2600,2.324,0.02,23,77,0,1,3,11,27,27,31
82,アリセプト,23500,2600,2.558,3.543,31,69,0,9,11,20,27,19,14
83,ドネペジル塩酸塩od錠5mg,22400,2600,2.653,13.801,26,74,1,6,7,15,27,22,22
84,血管性認知症,17300,2600,2.846,0.474,25,75,2,11,9,17,29,18,14
85,認知症 原因,15500,2600,2.95,0,37,63,4,13,15,20,26,12,10
86,傾眠傾向,36500,2500,2.093,6.102,26,74,1,9,10,17,26,22,15
87,療養型病院,36300,2500,2.105,26.658,26,74,0,3,5,13,31,31,17
88,地域包括ケアシステム,30600,2500,2.256,1.378,32,68,8,24,9,19,21,12,7
89,認知症種類,7800,2500,3.655,0,21,79,2,6,4,14,32,24,18
90,看取り,36200,2400,2.049,17.934,35,65,1,4,7,14,26,29,19
91,要介護4,35700,2400,2.063,20.275,32,68,1,4,7,17,32,26,13
92,後見人制度,33800,2400,2.118,4.125,40,60,0,3,6,15,28,25,23
93,特養 費用,32900,2400,2.143,5.965,29,71,0,2,4,12,33,32,17
94,mci,31900,2400,2.207,12.313,45,55,1,4,7,15,24,21,28
95,bpsdとは,21800,2400,2.543,0.268,33,67,1,13,10,18,26,19,13
96,老人保健施設,28800,2300,2.276,17.703,35,65,1,4,6,14,26,28,21
97,任意後見人制度,28100,2300,2.292,7.9,39,61,0,3,5,14,28,25,25
98,認知症 施設,9100,2300,3.345,0.002,30,70,1,3,8,26,41,15,6
99,介護保険 負担割合,33500,2200,2.07,21.989,36,64,0,3,7,15,27,28,20
100,クエチアピン 効果,31500,2200,2.066,12.68,26,74,1,9,12,21,28,20,9
101,褥瘡 ステージ,29300,2200,2.169,38.868,21,79,0,13,12,22,27,17,9
102,認知症高齢者の日常生活自立度,17200,2200,2.68,0,30,70,1,20,18,23,20,12,6
103,認知症とは,9000,2200,3.376,0,38,62,10,15,12,18,19,11,15
104,老衰 前兆,32500,2100,2.063,26.228,25,75,1,3,8,11,26,34,17
105,要支援1,29800,2100,2.117,15.113,29,71,0,4,5,13,31,25,22
106,ニチイケアセンター,27200,2100,2.191,2.452,32,68,1,5,8,17,28,26,15
107,親の介護,23400,2100,2.295,4.104,28,72,1,2,6,20,39,24,8
