順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,多発性硬化症,106000,3300,3.126,-0.001,27,73,1,9,11,19,24,20,16
2,筋ジストロフィー,117000,2700,2.809,0,32,68,2,12,15,22,22,15,12
3,横紋筋融解症,108000,2200,2.729,-0.009,32,68,1,10,11,16,21,21,20
4,脊髄小脳変性症,91600,2100,2.81,0.018,26,74,2,12,19,22,21,14,10
5,エンレスト,88800,2000,2.751,-4.223,37,63,0,12,15,23,24,14,12
6,クッシング症候群,70700,2000,3.01,-0.734,25,75,2,21,14,20,23,13,7
7,サルコイドーシス,82900,1800,2.746,3.959,31,69,1,9,12,20,24,19,15
8,胸腺腫,20600,1800,4.138,0.002,35,65,1,9,11,17,24,19,19
9,クロピドグレル,66900,1500,2.767,-0.878,33,67,0,16,14,20,22,15,13
10,低カリウム血症,57900,1500,2.895,-0.276,29,71,1,17,15,21,22,15,9
11,jcs 意識レベル,50300,1500,3.059,-2.464,35,65,1,29,23,22,16,6,3
12,進行性核上性麻痺,47900,1500,3.145,-0.014,33,67,1,9,12,20,22,17,19
13,多系統萎縮症,40700,1500,3.254,0.012,32,68,1,12,13,21,22,18,13
14,筋無力症,14400,1500,4.335,-0.002,29,71,1,5,9,16,22,22,25
15,低ナトリウム血症,52700,1400,2.922,-2.491,33,67,1,19,17,21,20,13,9
16,pubmed,52700,1400,2.904,-34.569,68,32,1,18,22,27,17,9,6
17,ウェルニッケ脳症,40800,1400,3.216,0.003,35,65,1,21,17,21,20,13,7
18,メトトレキサート,59000,1300,2.741,-3.28,29,71,1,14,12,19,23,17,14
19,タクロリムス,35400,1300,3.262,18.471,32,68,1,15,15,21,21,15,12
20,リクシアナ,60400,1200,2.681,4.977,39,61,0,13,12,19,21,17,18
21,強皮症,52800,1200,2.772,7.81,25,75,1,8,11,19,25,20,16
22,エリキュース,51700,1200,2.837,-6.495,37,63,0,14,14,21,22,15,14
23,レイノー現象,50900,1200,2.828,0.356,25,75,2,16,14,22,23,13,10
24,jcs,48100,1200,2.884,-0.125,40,60,2,32,23,19,14,6,4
25,日常生活自立度,43600,1200,2.972,-24.146,35,65,1,20,20,25,20,9,5
26,多発性筋炎,29300,1200,3.39,0.001,25,75,2,11,11,18,24,19,15
27,デルマトーム,26900,1200,3.451,-11.221,51,49,1,27,23,20,14,8,7
28,dダイマーとは,55000,1100,2.671,-12.808,26,74,1,16,12,19,22,16,14
29,レベチラセタム,46700,1100,2.771,-2.854,32,68,1,15,16,24,23,13,8
30,高カリウム血症,43500,1100,2.897,-8.019,35,65,1,19,15,19,19,14,13
31,深部静脈血栓症,41100,1100,2.952,-22.888,27,73,2,23,13,18,20,14,10
32,ファロー四徴症,34000,1100,3.106,-3.072,28,72,2,29,21,20,15,9,4
33,ミオクローヌス,33100,1100,3.132,6.616,29,71,2,20,20,22,19,11,6
34,アジソン病,32800,1100,3.193,-1.619,28,72,2,21,12,18,22,14,11
35,褐色細胞腫,27500,1100,3.342,-0.454,32,68,1,19,12,20,22,16,10
36,後縦靭帯骨化症,46000,1000,2.766,-0.016,38,62,1,9,11,19,25,20,15
37,シロスタゾール,43900,1000,2.804,-5.381,33,67,1,16,14,20,22,15,12
38,長谷川式簡易知能評価スケール,43800,1000,2.828,-36.796,26,74,1,16,13,22,26,12,10
39,ミダゾラム,42900,1000,2.825,-2.587,31,69,1,21,16,22,20,13,7
40,コンパートメント症候群,36300,1000,3,-0.594,34,66,2,28,18,20,17,10,5
41,co2ナルコーシス,29700,1000,3.203,0.006,30,70,1,32,18,21,16,8,4
42,チェーンストークス呼吸,35700,980,2.973,2.473,28,72,2,24,19,22,20,9,4
43,mmt 評価,27700,960,3.22,-11.11,30,70,1,34,21,22,14,4,4
44,ホルネル症候群,13500,960,3.951,0.426,36,64,1,33,18,16,17,10,5
45,肝性脳症,43400,950,2.752,-0.977,31,69,1,18,16,21,22,13,9
46,ジスキネジアとは,36900,950,2.919,2.994,25,75,1,16,13,21,24,15,10
47,bsc 医療,34300,940,2.968,2.954,26,74,0,20,16,23,23,12,6
48,筋萎縮性側索硬化症,25000,930,3.302,0.001,37,63,2,13,11,19,23,16,16
49,ステロイドパルス療法,24600,920,3.297,9.82,27,73,0,21,14,20,21,13,11
50,gcs,23200,920,3.373,-0.345,46,54,2,39,25,18,10,4,2
51,エフィエント,37000,910,2.873,-2.323,40,60,0,15,15,21,21,14,14
52,抗コリン薬,34200,910,2.972,0.001,32,68,1,18,12,18,20,15,16
53,閉塞性動脈硬化症,36300,900,2.901,3.923,33,67,2,12,10,16,22,19,19
54,皮膚筋炎,35300,900,2.919,1.952,26,74,1,8,10,19,26,20,16
55,イグザレルト,42100,880,2.715,-12.186,39,61,0,13,14,21,21,16,15
56,胸腔ドレーン,29700,870,3.061,-4.928,23,77,3,38,19,18,13,5,4
57,バーセルインデックス,17600,870,3.573,-5.034,40,60,2,36,21,21,12,5,3
58,アミロイドーシス,33700,860,2.924,12.614,37,63,1,9,11,18,23,19,19
59,アルドステロン,27800,860,3.114,-4.939,31,69,3,25,10,17,20,14,11
60,ダンピング症候群,40800,850,2.713,-8.965,23,77,1,21,14,20,21,14,9
61,アミオダロン,30000,840,3.012,-1.086,35,65,0,25,18,19,17,11,10
62,原発性アルドステロン症,28700,840,3.049,0.002,33,67,1,15,12,19,25,17,11
63,クレアチニンクリアランス,22200,840,3.311,-10.269,45,55,1,24,19,19,15,11,11
64,バビンスキー反射,21700,840,3.335,-3.035,37,63,3,34,23,16,13,8,3
65,バレー徴候,17000,840,3.589,-0.01,37,63,1,41,21,18,12,4,3
66,dic 医療,33800,830,2.871,-8.08,28,72,1,26,19,20,18,10,6
67,アトロピン,28600,830,3.043,0.002,30,70,1,31,18,21,14,9,6
68,sglt2阻害薬,39600,820,2.712,5.467,46,54,0,12,12,19,22,19,16
69,ネーザルハイフロー,28900,820,3.011,5.314,24,76,0,30,22,23,16,6,3
70,ワレンベルグ症候群,12400,820,3.866,0.009,42,58,0,29,19,19,15,11,7
71,間欠性跛行,35800,810,2.843,0.001,42,58,1,16,9,13,17,18,26
72,トルソー症候群,25400,810,3.129,-0.015,31,69,1,19,19,22,21,12,6
73,悪性症候群,23600,800,3.186,-3.326,35,65,1,23,20,23,18,10,5
74,gcs 意識レベル,21400,800,3.29,-5.814,44,56,1,31,24,22,14,6,2
75,トルバプタン,29500,780,2.938,1.297,32,68,1,20,16,22,20,14,7
76,テタニー症状,23000,780,3.193,-3.99,29,71,1,29,19,21,17,8,5
77,mmse 評価,22800,770,3.187,0.057,32,68,1,21,12,19,22,16,9
78,エリスロポエチン,21200,770,3.286,-14.606,32,68,4,31,12,16,17,11,9
79,代謝性アシドーシス,20600,770,3.304,-7.725,27,73,2,34,18,19,15,8,4
80,ブルンストロームステージ,15200,770,3.61,-10.516,46,54,1,41,27,18,8,3,2
81,心電図検定,38300,760,2.678,-9.408,30,70,3,33,20,18,13,5,8
82,高カルシウム血症,35600,760,2.745,0.55,29,71,1,12,13,18,22,18,16
83,pci 医療用語,27100,760,3.008,-8.781,30,70,1,25,16,21,19,11,7
84,sle,35200,750,2.717,0.004,25,75,2,15,17,23,22,13,8
85,セフトリアキソン,28000,750,2.942,-0.003,39,61,0,23,18,22,19,11,7
86,アドヒアランスとは,26300,750,3.018,-9.217,29,71,2,23,12,21,21,13,8
87,バソプレシン,19600,750,3.356,-13.173,34,66,16,36,12,15,11,6,4
88,ロンベルグ徴候,8600,740,4.155,0.773,45,55,1,50,17,15,9,5,3
89,オメプラゾール,34800,730,2.733,7.589,30,70,1,25,14,18,18,13,11
90,バンコマイシン,24900,720,3.043,-0.172,36,64,1,30,16,18,17,11,7
91,アセチルコリン,22300,720,3.163,0.001,35,65,8,22,11,17,19,12,11
92,たこつぼ型心筋症,30500,710,2.826,-1.737,32,68,1,16,16,20,20,15,12
