順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,頭痛が続く,173000,15400,2.537,0,27,73,2,10,17,28,24,11,8
2,頭痛 吐き気,128000,11200,2.515,0,21,79,3,15,24,28,20,7,3
3,偏頭痛,184000,10500,2.116,0.001,31,69,6,16,20,25,17,7,9
4,頭痛 ツボ 即効性,96500,8200,2.474,0,22,78,2,6,17,32,26,11,6
5,頭痛 治し方,106000,7900,2.387,0,35,65,11,17,21,22,17,7,5
6,気圧 頭痛,122000,6900,2.066,0.001,15,85,1,9,23,32,26,5,4
7,頭が痛い,113000,6800,2.181,-0.02,32,68,8,9,9,19,23,16,16
8,緊張型頭痛,92200,5700,2.183,0.012,25,75,5,15,21,25,19,9,6
9,頭痛 原因,63600,5600,2.549,0,31,69,7,18,19,22,18,9,7
10,気圧,113000,5300,1.921,-0.002,31,69,5,19,23,22,14,10,7
11,ずつーる,79700,5300,2.267,0,18,82,4,21,24,23,17,7,4
12,頭痛 後頭部,39600,5000,2.885,0,29,71,2,9,17,28,25,12,7
13,頭痛 カロナール,43400,4700,2.721,0,24,76,2,8,21,32,22,9,6
14,めまい,116000,4500,1.725,2.039,27,73,2,6,13,23,25,16,15
15,偏頭痛 原因,113000,4500,1.762,0.003,36,64,5,15,15,19,21,14,11
16,頭痛薬,38200,4100,2.758,0,43,57,6,14,12,17,22,17,12
17,頭痛 こめかみ,29000,3800,2.921,0,25,75,2,10,22,32,21,7,6
18,生理痛,91700,3600,1.725,0.703,14,86,9,17,20,29,16,5,4
19,頭痛ーる,28500,3500,2.899,0,18,82,4,18,23,22,18,9,6
20,低気圧,79800,3300,1.803,-0.001,27,73,6,27,26,19,11,6,5
21,腹痛,69200,3300,1.922,1.787,33,67,5,11,16,22,21,13,12
22,頭痛 気圧,16200,2900,3.194,0,19,81,1,9,27,35,20,5,3
23,胃痛,69200,2800,1.762,16.059,23,77,1,9,17,23,22,16,12
24,発熱,67800,2700,1.746,0.551,31,69,2,8,17,27,22,14,10
25,こめかみ 頭痛,61700,2700,1.811,0.011,27,73,4,16,27,35,6,2,10
26,頭痛外来,27100,2700,2.646,0.001,22,78,2,9,17,29,26,11,6
27,頭痛 目の奥が痛い,25000,2700,2.73,0,28,72,3,13,26,31,19,5,3
28,肩コリ 頭痛 解消 方法,54100,2600,1.933,0.22,26,74,1,7,15,27,24,13,13
29,頭痛い,29700,2500,2.512,0.003,20,80,14,17,23,25,13,4,4
30,眠い,50400,2400,1.921,7.383,28,72,5,9,19,29,20,10,8
