順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,髄膜炎とは,103000,2800,3.373,-0.02,37,63,2,11,16,21,22,16,12
2,髄膜炎 症状,64500,2600,3.749,0,22,78,1,9,24,29,20,10,7
3,川崎病,85000,860,2.361,0.27,28,72,1,10,34,26,13,10,6
4,髄膜炎 後遺症,6900,840,4.857,0.008,30,70,1,6,15,23,26,16,13
5,てんかん,99700,660,1.945,0.006,38,62,5,15,19,24,20,10,7
6,脳炎,17100,660,3.707,0.001,37,63,2,13,23,25,17,11,9
7,気管支炎,85900,570,1.95,1.955,29,71,5,16,27,24,14,8,6
8,rsウイルス,72100,560,2.121,-14.628,28,72,1,13,37,17,11,12,9
9,髄膜炎 子供,13000,550,3.779,0,17,83,1,6,38,34,7,8,6
10,ナーシングスキル ログイン,73900,510,1.988,-31.277,16,84,1,25,20,24,20,8,2
11,重症筋無力症,73800,500,1.977,-1.062,32,68,2,17,15,21,21,14,10
12,クッシング症候群,70700,500,2.027,-5.679,25,75,2,21,14,20,23,13,7
13,低カリウム血症,57900,500,2.213,-10.014,29,71,1,17,15,21,22,15,9
14,jcs,48100,470,2.354,-33.367,40,60,2,32,23,19,14,6,4
15,無菌性髄膜炎,9600,470,3.929,0.052,27,73,2,15,24,25,18,10,6
16,慢性硬膜下血腫,66400,450,2.001,-0.07,32,68,1,12,13,18,23,17,16
17,髄膜腫,32000,450,2.731,0,30,70,1,8,11,19,24,20,17
18,高熱が続く病気,54100,430,2.099,-0.037,27,73,2,6,16,29,26,13,8
19,低ナトリウム血症,52700,430,2.171,-15.009,33,67,1,19,17,21,20,13,9
20,細菌性髄膜炎,8500,430,3.993,0.011,31,69,2,19,22,21,17,12,7
21,サイトメガロウイルス,54100,420,2.095,1.103,23,77,1,15,28,20,17,12,7
22,jcs 意識レベル,50300,410,2.154,-26.108,35,65,1,29,23,22,16,6,3
23,気胸,53400,390,2.062,0.094,38,62,7,19,16,21,17,9,11
24,伝染性単核球症,46400,390,2.191,0.756,34,66,3,22,17,21,21,10,6
25,手足口病 大人,45200,390,2.201,-17.935,25,75,1,12,48,25,7,5,2
26,麻疹,55500,380,1.964,26.77,36,64,2,10,22,27,20,10,9
27,髄液検査,10300,380,3.669,0.014,33,67,2,14,17,21,20,13,13
28,チェーンストークス呼吸,35700,360,2.365,15.944,28,72,2,24,19,22,20,9,4
29,ebウイルス,47100,350,2.075,1.759,25,75,3,19,20,25,20,9,4
30,レベチラセタム,46700,350,2.056,21.589,32,68,1,15,16,24,23,13,8
31,コンパートメント症候群,36300,350,2.35,6.998,34,66,2,28,18,20,17,10,5
32,co2ナルコーシス,29700,350,2.526,0.019,30,70,1,32,18,21,16,8,4
33,副鼻腔炎 頭痛,49100,340,1.959,0.738,24,76,2,11,28,31,16,7,5
34,骨髄炎,24600,340,2.694,-0.001,32,68,1,9,13,21,22,17,17
35,水痘,45700,330,2.023,0.87,27,73,2,11,30,27,14,9,7
36,深部静脈血栓症,41100,330,2.165,-13.747,27,73,2,23,13,18,20,14,10
37,胸腔ドレーン,29700,330,2.479,-2.995,23,77,3,38,19,18,13,5,4
38,高カリウム血症,43500,320,2.09,-0.077,35,65,1,19,15,19,19,14,13
39,ネーザルハイフロー,28900,320,2.476,0.209,24,76,0,30,22,23,16,6,3
40,腸重積,43500,310,2.012,-0.689,25,75,1,14,35,22,12,9,7
41,肝性脳症,43400,310,2.036,-0.001,31,69,1,18,16,21,22,13,9
42,ウェルニッケ脳症,40800,310,2.093,1.748,35,65,1,21,17,21,20,13,7
43,ミオクローヌス,33100,300,2.283,11.568,29,71,2,20,20,22,19,11,6
44,ナーシングスキル,29200,300,2.393,-7.314,15,85,2,35,21,20,15,5,2
45,ercp,28800,300,2.435,10.144,28,72,1,27,18,21,17,9,7
46,gcs,23200,300,2.655,-3.549,46,54,2,39,25,18,10,4,2
47,膵炎,44700,290,1.942,0.007,38,62,2,10,16,23,24,14,11
48,ミダゾラム,42900,290,1.977,4.308,31,69,1,21,16,22,20,13,7
49,尿崩症,42800,290,1.992,-2.421,28,72,2,18,18,22,20,12,8
50,尿路感染症,31100,290,2.287,-0.393,34,66,1,13,14,17,23,18,14
51,mmt 評価,27700,290,2.405,5.777,30,70,1,34,21,22,14,4,4
52,代謝性アシドーシス,20600,290,2.725,-18.821,27,73,2,34,18,19,15,8,4
