順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,うつ病の症状,488000,23200,2.892,-0.004,33,67,4,11,14,22,25,13,11
2,うつ病 チェック,101000,6300,3.196,0,32,68,12,27,22,18,13,4,4
3,うつ病 治し方,49900,5800,3.793,0.005,39,61,4,12,14,21,25,14,10
4,心療内科,193000,5100,2.303,0.007,36,64,2,8,12,22,27,15,14
5,不安障害,172000,4900,2.38,1.023,26,74,7,16,18,24,21,9,5
6,精神疾患,142000,3900,2.356,3.041,42,58,6,9,11,19,25,18,12
7,死にたい,129000,3800,2.412,-0.009,34,66,10,18,22,25,17,5,3
8,うつ病 治らない,22500,3700,4.139,1.257,37,63,2,10,14,21,28,16,9
9,うつ病 接し方,37700,3600,3.576,0.001,32,68,2,10,14,23,28,14,9
10,うつ病 仕事,24600,3500,3.961,0.008,41,59,1,17,19,26,25,8,4
11,適応障害 うつ病 違い,106000,3400,2.49,3.138,33,67,2,12,16,24,28,12,6
12,自殺,126000,3300,2.3,0.226,50,50,10,14,20,23,19,8,6
13,精神障害者保健福祉手帳,124000,3200,2.259,22.757,29,71,1,7,14,26,28,15,9
14,自立支援医療制度,101000,2900,2.365,19.947,29,71,1,9,14,24,29,15,8
15,うつ病 薬,20600,2800,3.948,0.001,37,63,3,13,14,23,25,14,8
16,抗うつ薬,50800,2700,3.022,4.996,35,65,3,13,15,23,24,13,9
17,しにたい 楽な方法,92100,2600,2.366,5.674,35,65,11,16,18,24,20,7,4
18,うつ病 障害年金,20200,2600,3.848,0.001,36,64,0,6,14,25,32,16,7
19,睡眠薬,99500,2300,2.181,14.348,48,52,4,12,13,18,21,14,18
20,抑うつ状態とは,69500,2300,2.545,0.787,33,67,4,17,17,22,23,11,6
21,うつ,34500,2300,3.245,0.528,34,66,3,8,14,25,25,13,12
22,ロラゼパム,82900,2100,2.255,13.935,32,68,2,12,16,24,24,14,8
23,そう鬱 症状,83300,2000,2.219,0.899,32,68,5,21,18,22,20,8,6
24,レキサルティ,74000,2000,2.301,28.03,33,67,1,10,16,24,26,15,8
25,トリンテリックス,52000,2000,2.694,12.016,34,66,1,11,17,24,25,14,8
26,躁鬱病,79500,1900,2.223,12.473,35,65,7,17,16,19,19,13,9
27,鬱,63600,1900,2.446,6.123,43,57,11,12,12,17,18,13,17
28,ミルタザピン,51700,1900,2.615,15.567,36,64,1,13,18,22,23,13,10
29,不眠症,73700,1800,2.271,5.048,40,60,10,20,18,17,15,10,10
30,不安神経症,65500,1800,2.337,3.034,29,71,3,8,13,23,25,16,12
31,セルトラリン,63000,1800,2.372,11.095,30,70,2,13,18,26,22,11,8
32,うつ病 症状,18000,1800,3.653,0.005,41,59,8,28,22,19,13,6,4
33,スルピリド,65000,1700,2.297,8.138,33,67,1,11,15,23,24,14,12
34,精神科,47000,1700,2.63,1.305,39,61,9,17,14,17,18,15,10
