順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,うつ病の症状,488000,20200,1.916,-0.006,33,67,4,11,14,22,25,13,11
2,適応障害,427000,18500,1.959,0.062,34,66,5,17,19,22,21,10,6
3,パニック障害 なりやすい人,79700,14500,3.387,0,27,73,3,8,14,26,26,13,10
4,不安障害,172000,14200,2.598,0.002,26,74,7,16,18,24,21,9,5
5,パニック障害 症状,95100,13000,3.117,0,25,75,4,12,14,22,25,15,8
6,パニック障害 対処法,33600,8100,3.673,0.006,31,69,4,10,14,26,26,12,8
7,心療内科,193000,7600,1.874,-0.003,36,64,2,8,12,22,27,15,14
8,パニック障害 薬,24700,6800,3.798,0.002,28,72,2,10,16,26,26,13,7
9,自律神経失調症,134000,6300,2.078,-0.018,33,67,5,17,19,20,17,11,11
10,うつ病,137000,6100,1.989,-0.038,40,60,5,11,13,21,24,15,11
11,不安神経症,65500,4800,2.488,0.004,29,71,3,8,13,23,25,16,12
12,パニック障害 克服,15000,4600,3.892,0.207,30,70,2,10,17,26,26,12,7
13,パニック障害 原因,19400,4500,3.643,0.005,24,76,4,12,15,23,24,13,9
14,適応障害 うつ病 違い,106000,4400,1.905,0.119,33,67,2,12,16,24,28,12,6
15,ロラゼパム,82900,4100,2.103,6.875,32,68,2,12,16,24,24,14,8
16,うつ病 チェック,101000,4000,1.893,-0.012,32,68,12,27,22,18,13,4,4
17,アルプラゾラム錠0.4mg,72300,3900,2.18,2.682,31,69,0,3,4,25,31,21,16
18,パニック発作 症状,23100,3700,3.27,0,21,79,4,14,19,26,21,10,6
19,セルトラリン,63000,3600,2.226,10.436,30,70,2,13,18,26,22,11,8
20,パニック障害 芸能人,10600,3500,3.995,0.003,29,71,4,12,21,26,22,9,6
21,自律神経失調症 何科,70400,3400,2.089,-0.172,23,77,2,12,17,22,22,14,11
22,過呼吸 対処法,70300,3300,2.032,-0.016,34,66,5,11,14,25,23,13,9
23,アルプラゾラム,59900,3300,2.204,4.057,31,69,2,16,24,19,19,11,9
24,過呼吸,50600,3300,2.388,-0.001,28,72,7,11,15,24,21,11,11
25,クロチアゼパム錠5mg,66600,3200,2.075,4.269,27,73,1,7,11,20,26,18,17
26,広場恐怖症とは,53200,3100,2.243,0.002,36,64,3,9,13,21,26,17,11
27,不安症,49100,3100,2.304,0.615,27,73,5,9,16,26,24,12,8
28,抗うつ薬,50800,3000,2.276,7.493,35,65,3,13,15,23,24,13,9
29,抑うつ状態とは,69500,2800,1.895,0.001,33,67,4,17,17,22,23,11,6
30,ソラナックス,58800,2800,2.074,1.304,34,66,1,7,12,22,26,17,15
31,パニック障害とは,15400,2800,3.405,0,32,68,8,18,15,19,21,11,8
32,過換気症候群,51000,2700,2.17,0.001,30,70,5,20,19,23,19,9,5
33,適応障害 チェック,52500,2600,2.132,-0.093,18,82,9,31,21,17,14,5,3
34,不安感が強い時の対処法,44200,2600,2.233,-0.002,25,75,3,6,11,26,30,15,9
35,抗不安薬,32800,2500,2.511,2.849,33,67,3,14,17,24,22,12,8
36,メイラックス,45300,2400,2.163,1.304,33,67,1,8,13,22,25,17,14
37,精神科 心療内科 違い,54700,2300,1.95,0.095,28,72,5,18,17,23,22,7,8
38,トリンテリックス,52000,2300,1.969,10.854,34,66,1,11,17,24,25,14,8
39,うつ病 治し方,49900,2300,2.034,1.12,39,61,4,12,14,21,25,14,10
40,セルトラリン錠25mg,33800,2300,2.42,6.165,25,75,1,8,11,20,30,19,11
41,エスシタロプラム10mg,41200,2200,2.153,9.99,29,71,1,6,8,27,31,17,10
