順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,境界性パーソナリティ障害,126000,8500,3.229,0,21,79,4,19,20,22,20,10,5
2,自己愛性パーソナリティー障害,112000,5600,2.916,0,21,79,2,10,20,28,24,11,5
3,カサンドラ症候群とは,191000,4200,2.103,0.501,18,82,1,8,19,27,24,14,7
4,不安障害,172000,3600,2.063,-0.038,26,74,7,16,18,24,21,9,5
5,統合失調症 症状,140000,3100,2.124,9.19,25,75,3,10,11,19,25,18,14
6,愛着障害とは,108000,3100,2.363,0,18,82,8,19,20,24,17,8,4
7,精神疾患,142000,3000,2.073,-0.003,42,58,6,9,11,19,25,18,12
8,統合失調症 話し方 特徴,119000,2900,2.209,-5.752,24,76,2,5,11,22,29,19,12
9,解離性障害,79400,2900,2.594,0,28,72,4,14,17,23,23,12,7
10,精神障害者保健福祉手帳,124000,2600,2.052,-0.002,29,71,1,7,14,26,28,15,9
11,asd 大人特徴,116000,2600,2.131,1.039,20,80,1,12,22,27,22,11,5
12,シュリンク,98900,2300,2.155,-0.086,29,71,2,6,12,22,25,20,13
13,パーソナリティとは,31400,2300,3.329,0,39,61,5,12,9,16,21,16,21
14,パーソナリティ障害 診断テスト,6800,2200,4.783,0.001,19,81,12,20,15,19,23,8,3
15,自立支援医療制度,101000,2100,2.05,7.673,29,71,1,9,14,24,29,16,7
16,精神保健福祉士,84900,2100,2.203,-1.498,28,72,4,10,14,26,26,13,7
17,リスペリドン,98800,2000,2.031,0.938,28,72,1,13,15,23,24,16,8
18,クエチアピン,96800,2000,2.042,2.055,29,71,1,12,15,23,25,15,9
19,エビリファイ,82000,2000,2.194,-9.202,29,71,2,10,16,28,25,13,6
20,シュリンク ドラマ化,74700,2000,2.322,-6.994,22,78,1,4,8,19,28,25,15
21,レキサルティ,74800,1900,2.221,1.655,33,67,1,10,16,24,26,15,8
22,認知行動療法,60500,1900,2.456,0.002,30,70,2,13,14,23,25,12,11
23,パーソナリティ障害とは,16600,1900,3.767,0,21,79,2,5,8,17,30,26,12
24,アリピプラゾール,72800,1800,2.2,7.256,30,70,2,13,16,26,25,12,6
25,パーソナリティ障害 顔つき,4500,1800,5.019,0.002,21,79,1,7,9,22,33,20,8
26,ロラゼパム,83100,1700,2.016,2.859,32,68,1,13,16,24,24,14,8
27,アカシジアとは,72600,1700,2.169,0.003,24,76,2,13,15,23,26,14,7
28,人格障害,19500,1600,3.427,0.001,28,72,2,9,13,21,25,17,13
29,精神疾患 種類 一覧,42700,1500,2.58,-0.002,30,70,10,10,10,18,23,17,12
30,バルプロ酸ナトリウム,63300,1400,2.102,7.619,28,72,1,13,16,25,24,14,7
31,オランザピン,62900,1400,2.089,1.034,31,69,1,13,15,24,24,14,9
32,アスペルガー症候群 大人特徴 女性,56700,1400,2.188,-0.42,16,84,1,6,12,23,30,17,11
33,広汎性発達障害,51700,1400,2.307,-0.89,24,76,2,11,17,25,23,14,8
