順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,パーソナリティ障害,139000,12900,1.877,0.002,22,78,3,11,16,24,25,14,7
2,統合失調症 症状,140000,12200,1.85,0.009,25,75,3,10,11,19,25,18,14
3,境界性パーソナリティ障害,126000,11800,1.893,-0.001,21,79,4,19,20,22,20,10,5
4,統合失調症 話し方 特徴,119000,10700,1.852,-14.893,24,76,2,5,11,22,29,19,12
5,双極性障害 接し方,22000,9000,3.369,0.012,26,74,1,6,10,21,32,19,11
6,双極性障害 ニ型,28600,8600,3.069,0.002,29,71,2,12,13,22,26,16,9
7,躁鬱病,79600,8500,2.041,0,35,65,7,17,16,19,19,13,9
8,解離性障害,79400,8300,2.003,0,28,72,4,14,17,23,23,12,7
9,そう鬱 症状,84100,8000,1.911,-0.141,32,68,5,21,19,22,19,8,6
10,エビリファイ,82000,6900,1.771,-1.659,29,71,2,10,16,28,25,13,6
11,双極性障害とは,34100,6800,2.677,0,30,70,6,13,11,17,24,17,12
12,双極性障害 芸能人,17900,6800,3.301,0.003,22,78,1,5,9,21,32,20,12
13,アリピプラゾール,72800,6300,1.802,0.443,30,70,2,13,16,26,25,12,6
14,オランザピン,62900,5400,1.795,0,31,69,1,13,15,24,24,14,9
15,ラツーダ,33600,4900,2.337,1.555,35,65,2,12,16,23,25,14,8
16,双極性障害 薬,9800,4500,3.483,0.009,26,74,2,12,12,21,28,15,10
17,双極性障害 1型2型 違い,18600,3900,2.689,4.801,19,81,1,7,10,25,31,17,9
18,解離性同一性障害,41500,3700,1.846,-0.001,29,71,8,17,17,20,19,12,7
19,精神疾患 種類 一覧,42700,3600,1.813,0,30,70,10,10,10,18,23,17,12
20,双極性障害 広末涼子,14500,3500,2.858,0.001,14,86,1,2,6,22,33,23,13
21,双極性障害 原因,10300,3500,3.186,0.004,20,80,3,12,14,26,27,12,6
22,炭酸リチウム,22400,3300,2.339,3.01,35,65,2,16,17,22,22,13,8
23,双極性障害 チェック,9500,3300,3.223,0.003,12,88,12,26,17,19,17,5,4
24,双極性障害 症状,9500,3200,3.177,0.006,23,77,5,15,13,21,24,13,9
25,気分障害,24400,3000,2.157,0.005,28,72,4,16,17,21,23,12,7
26,躁鬱病 チェック,29000,2800,1.972,0.002,19,81,17,30,16,14,12,6,5
27,双極性障害 寿命,5700,2800,3.547,0.03,28,72,1,6,10,19,33,21,10
28,クエチアピン 効果,31600,2700,1.791,2.711,26,74,1,9,11,21,29,20,9
29,躁鬱病とは,24300,2700,2.074,-34.864,35,65,7,23,17,18,19,10,6
30,ラモトリギン,21700,2700,2.187,0.043,32,68,2,17,17,23,23,12,6
31,躁状態,17000,2600,2.363,0.001,44,56,5,18,21,25,20,7,4
32,多重人格障害,27800,2400,1.801,-0.001,29,71,5,8,12,23,26,16,10
33,レキサルティ 効果,24000,2400,1.931,4.644,29,71,1,8,13,22,29,18,9
34,非定型うつ病,22400,2400,2.045,0.002,24,76,9,21,19,20,18,8,5
35,双極性障害 仕事,4500,2400,3.622,0.67,29,71,1,15,20,24,29,7,4
36,医療保護入院とは,27800,2300,1.761,-0.79,30,70,1,11,13,24,27,15,9
37,ラツーダ 効果,12000,2300,2.637,6.031,27,73,3,12,16,21,26,14,8
38,自立支援医療 精神通院,25300,2200,1.823,3.101,27,73,1,9,14,26,29,14,7
39,イフェクサー,23200,2200,1.865,15.911,36,64,1,11,17,25,26,13,7
40,うつ病 治らない,22300,2200,1.955,-0.485,37,63,2,10,14,21,28,16,9
41,オランザピン 効果,21500,2200,2.001,0.11,27,73,1,9,11,20,28,19,12
42,双極性感情障害 症状,21200,2200,2.031,0.674,23,77,1,3,6,19,31,23,17
43,気分変調症,19400,2200,2.1,0.01,25,75,6,17,18,21,22,10,6
44,抑うつ,24000,2000,1.759,0.001,39,61,7,20,20,20,20,8,5
45,境界性人格障害,23700,2000,1.781,-2.126,24,76,6,16,22,21,18,10,7
46,統合失調症 芸能人,22200,2000,1.848,-9.779,24,76,2,6,11,21,30,17,13
47,抗精神病薬,22900,1900,1.763,1.151,34,66,1,17,14,20,23,15,10
48,精神障害者手帳 3級,22100,1900,1.794,0.076,36,64,1,9,16,25,29,14,6
49,精神分裂病とは,20900,1900,1.879,0,35,65,4,9,7,16,24,22,18
50,エビリファイ 効果,19200,1900,1.947,15.924,23,77,2,8,13,28,27,15,7
51,精神科 入院,17700,1900,2.014,-0.2,25,75,5,14,15,23,24,12,7
52,躁鬱病の人との接し方,13400,1900,2.32,0,29,71,2,9,10,21,31,17,10
53,双極性障害 障害年金,3600,1900,3.605,0.01,33,67,0,9,17,25,28,16,5
