順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,不安障害,172000,10700,2.395,0,26,74,7,16,18,24,21,9,5
2,強迫性障害 チェック,45800,9500,3.602,0,21,79,9,17,18,22,21,8,5
3,強迫性障害 原因,20400,5300,3.821,0.003,23,77,4,10,13,21,27,15,10
4,パーソナリティ障害,139000,4800,1.815,0.001,22,78,3,11,16,24,25,14,7
5,強迫性障害 治し方,11600,4800,4.29,0.004,33,67,8,17,17,21,21,10,6
6,境界性パーソナリティ障害,126000,4200,1.793,0,21,79,4,19,20,22,20,10,5
7,強迫性障害 なりやすい人,14300,4000,3.907,0.001,24,76,4,12,15,21,26,13,9
8,不安神経症,65100,3600,2.288,0,29,71,3,8,13,23,25,17,11
9,解離性障害,79400,3400,2.021,0.002,28,72,4,14,17,23,23,12,7
10,不安症,49200,2900,2.344,0.001,28,72,5,9,16,26,24,12,8
11,強迫性障害 薬,7700,2900,4.195,0.008,29,71,4,14,17,25,24,11,5
12,エビリファイ,82000,2800,1.782,-0.001,29,71,2,10,16,28,25,13,6
13,認知行動療法,60500,2700,2.073,0.015,30,70,2,13,14,23,25,12,11
14,アリピプラゾール,72800,2500,1.786,7.889,30,70,2,13,16,26,25,12,6
15,セルトラリン,63500,2100,1.779,2.91,29,71,2,13,18,26,22,11,8
16,抗うつ薬,50600,2100,1.976,1.026,35,65,3,13,14,24,24,13,9
17,強迫性障害とは,7800,2000,3.856,0,32,68,17,23,17,17,15,6,5
18,強迫性障害 芸能人,4800,2000,4.281,0.011,35,65,6,13,19,21,23,13,5
19,強迫性パーソナリティ障害,6500,1900,3.929,0.002,26,74,3,15,18,23,25,11,5
20,不安感が強い時の対処法,43800,1800,1.989,-0.049,25,75,3,6,11,26,30,15,9
21,強迫性障害 子供,5100,1800,4.057,0.001,12,88,2,3,21,51,16,3,4
22,トリンテリックス,52200,1700,1.774,0.185,34,66,1,11,17,24,25,14,8
23,適応障害 チェック,51800,1700,1.778,-2.693,18,82,9,31,21,17,14,5,3
24,広汎性発達障害,51700,1700,1.784,-0.008,24,76,2,11,17,25,23,14,8
25,精神疾患 種類 一覧,42700,1700,1.972,0,30,70,10,10,10,18,23,17,12
26,エスシタロプラム10mg,41200,1600,1.884,4.83,29,71,1,6,8,27,31,17,10
27,不安障害 治し方,26200,1600,2.353,0.239,31,69,4,10,14,25,28,12,7
