順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子育て,501000,1500,2.505,0.386,22,78,1,2,14,26,23,17,17
2,理由,340000,1100,2.516,-1.489,41,59,1,3,10,22,25,19,20
3,自動車,436000,990,2.188,0.843,58,42,1,3,10,20,25,21,20
4,ファッション,366000,870,2.253,-1.162,35,65,2,3,9,23,26,19,18
5,フジテレビジョン,216000,850,2.751,0.002,40,60,1,3,9,22,27,19,19
6,アナウンサーキャスター,226000,830,2.681,3.402,39,61,1,3,10,22,26,19,19
7,ロサンゼルスドジャース,396000,810,2.112,-4.281,64,36,1,4,9,16,21,22,27
8,。,718000,770,1.498,-127.058,37,63,2,3,6,14,23,23,29
9,た。,312000,720,2.271,-157.123,35,65,1,2,5,14,24,24,30
10,ヘルスケア,251000,710,2.443,4.82,30,70,1,3,7,19,26,21,23
11,メジャーリーグベースボール,245000,690,2.426,-7.395,61,39,1,4,10,16,21,21,27
12,大阪府,305000,640,2.142,2.015,47,53,2,4,9,19,23,20,23
13,話題,209000,590,2.421,2.511,40,60,3,4,11,23,25,17,17
14,sns,333000,580,1.983,-0.38,50,50,1,3,8,16,20,20,32
15,性犯罪,124000,540,2.84,0.15,41,59,1,4,11,24,26,17,17
16,お笑い,191000,480,2.285,1.056,45,55,1,3,11,25,27,17,16
17,お笑い芸人,309000,470,1.813,-10.199,40,60,2,4,7,18,26,21,22
18,関連,278000,450,1.886,-154.221,35,65,2,5,10,18,23,20,22
19,日本テレビ,361000,440,1.603,-4.145,47,53,1,4,8,17,26,24,20
20,tbsテレビ,153000,430,2.439,-2.319,38,62,1,3,8,19,25,21,23
21,読売ジャイアンツ,322000,420,1.624,-3.635,73,27,3,8,13,18,23,18,17
22,東京都,399000,410,1.459,-12.93,47,53,1,3,7,14,21,23,31
23,意外,116000,410,2.659,-0.222,31,69,1,3,8,19,25,21,23
24,物議,113000,400,2.646,3.62,44,56,1,4,11,23,25,18,18
25,福岡県,237000,370,1.842,-2.835,46,54,2,4,10,19,22,19,24
26,た,256000,340,1.694,-149.4,42,58,5,7,10,16,21,19,22
27,ドナルドトランプ,243000,340,1.729,-1.813,62,38,2,6,11,18,21,18,24
28,離婚,203000,340,1.883,-1.567,34,66,1,4,14,26,24,16,15
29,アメリカ合衆国,157000,340,2.187,-0.719,55,45,2,2,7,16,20,22,31
30,連続テレビ小説,141000,340,2.292,5.403,31,69,1,4,7,15,23,26,24
31,格闘技,148000,320,2.099,2.849,73,27,2,5,14,27,26,14,12
32,不倫報道,88400,320,2.67,23.466,34,66,1,3,11,25,28,17,15
33,静岡県,256000,300,1.579,-10.655,49,51,2,4,8,16,22,23,25
34,年収,144000,300,2.104,-2.03,46,54,1,5,12,24,25,18,15
35,万博(国際博覧会),118000,300,2.322,11.875,44,56,1,4,10,20,24,20,21
36,謝罪,102000,300,2.445,0.442,46,54,2,6,14,24,24,15,15
37,ます。,143000,290,2.142,-115.628,33,67,2,3,6,13,23,23,30
38,訃報,241000,280,1.542,5.124,43,57,2,5,11,20,25,19,18
39,と,205000,280,1.721,-136.928,40,60,1,3,6,15,23,22,30
40,フジテレビ系ドラマ,93900,280,2.468,4.09,26,74,1,2,7,21,30,23,16
41,社長,91800,280,2.5,7.925,49,51,1,5,12,23,24,17,18
42,に,269000,270,1.434,-150.701,40,60,2,3,5,14,22,22,32
43,暴力事件,70400,270,2.713,5.158,35,65,1,3,11,25,26,17,17
44,),207000,260,1.652,-109.693,39,61,2,3,6,14,23,22,30
45,国会,126000,260,2.135,0.914,62,38,2,4,10,19,22,19,24
46,交通事故,219000,250,1.49,3.133,48,52,2,5,12,22,26,18,15
47,イケメン,151000,250,1.911,-5.169,35,65,10,9,14,22,18,12,15
48,芸能界,68100,250,2.67,7.638,38,62,1,3,9,21,27,20,19
49,関税,174000,240,1.706,0.344,67,33,1,5,14,23,22,16,19
50,見る,153000,240,1.856,-105.168,34,66,2,3,6,15,25,23,26
51,なぜ,106000,240,2.226,6.926,51,49,2,3,8,19,24,20,24
52,結婚,177000,230,1.654,-5.028,36,64,5,10,16,20,21,14,14
53,とんねるず,177000,230,1.652,0.992,55,45,2,6,10,23,29,15,15
54,て,148000,230,1.844,-132.745,37,63,2,3,7,16,24,22,26
55,米国の輸入制限を巡る動き,87300,230,2.365,3.072,69,31,1,3,8,17,22,21,28
56,大阪市,210000,220,1.477,9.8,49,51,2,4,8,15,21,22,28
57,記事,99600,220,2.209,-164.068,38,62,1,2,4,14,25,24,30
58,東京都の事件事故情報,78800,220,2.38,-3.759,39,61,1,5,14,26,24,15,15
59,レシピ,177000,210,1.607,3.127,26,74,1,5,10,20,21,17,26
60,し,172000,210,1.623,-117.78,43,57,2,4,8,16,22,21,27
61,介護,137000,210,1.87,0.777,34,66,1,3,7,15,26,23,25
62,京都府,104000,210,2.094,5.228,48,52,2,4,9,17,21,21,26
63,イヌ,70500,210,2.505,-4.099,27,73,1,2,7,18,27,21,24
64,美容,70400,210,2.483,0.014,19,81,2,4,11,27,28,16,12
65,大阪関西万博(2025年日本国際博覧会),67100,210,2.549,9.621,44,56,1,3,8,19,24,21,24
66,いじめ,78400,200,2.3,-3.035,36,64,7,6,12,25,22,14,14
67,自由民主党(日本),61000,200,2.566,6.634,67,33,1,3,9,17,20,20,30
68,あんぱん(2025年度前期 朝ドラ),60400,200,2.631,11.972,20,80,0,1,4,10,22,31,32
