順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,拒食症,51100,4300,3.848,0,26,74,10,14,15,25,20,9,7
2,摂食障害 治し方,5600,1900,5.223,0.004,23,77,9,15,10,22,24,11,9
3,摂食障害 母親 特徴,5600,1900,5.195,0.001,11,89,3,6,9,30,30,15,7
4,過食嘔吐,23400,1800,3.743,0,18,82,10,23,21,24,15,4,3
5,拒食症 症状,19700,1700,3.877,-0.001,23,77,12,20,16,15,16,10,11
6,うつ病,135000,1600,1.849,-12.863,40,60,5,11,13,21,24,15,11
7,過食症,28400,1500,3.382,0,27,73,13,22,17,18,16,8,6
8,解離性障害,79400,1200,2.106,0.011,28,72,4,14,17,23,23,12,7
9,エビリファイ,82000,1100,1.95,-2.395,29,71,2,10,16,28,25,13,6
10,レキサルティ,74800,1000,2.021,8.849,33,67,1,10,16,24,26,15,8
11,アリピプラゾール,72800,1000,2.013,8.515,30,70,2,13,16,26,25,12,6
12,摂食障害とは,5100,1000,4.767,0,27,73,18,27,13,13,14,7,8
13,摂食障害 原因,4600,1000,4.836,0.001,24,76,7,14,10,21,24,15,9
14,ロラゼパム,83100,990,1.88,4.897,32,68,1,13,16,24,24,14,8
15,オランザピン,62900,970,2.134,13.741,31,69,1,13,15,24,24,14,9
16,認知行動療法,60500,890,2.097,0.125,30,70,2,13,14,23,25,12,11
17,拒食症 死の前兆,6900,840,4.209,0.002,19,81,5,10,12,24,26,13,10
18,過食症 治し方,14200,830,3.491,0.003,18,82,8,19,13,19,23,11,7
19,セルトラリン,63500,810,1.941,6.356,29,71,2,13,18,26,22,11,8
20,食欲不振 原因,53500,770,2.101,-0.015,34,66,4,12,14,18,19,16,17
21,栄養失調 症状,32500,740,2.546,-0.004,29,71,5,12,13,19,23,16,12
22,自傷行為,42200,720,2.242,-1.292,29,71,11,13,13,22,21,11,9
23,抗うつ薬,50600,700,2.023,0.003,35,65,3,13,14,24,24,13,9
24,低カリウム血症,58100,690,1.885,2.994,29,71,1,17,15,21,22,15,9
25,トリンテリックス,52200,680,1.96,10.541,34,66,1,11,17,24,25,14,8
26,ミルタザピン,51900,660,1.954,4.432,35,65,1,13,18,22,23,13,10
27,醜形恐怖症,46000,630,2.06,1.703,23,77,21,22,16,17,14,6,4
28,ラツーダ,33600,630,2.327,1.965,35,65,2,12,16,23,25,14,8
29,解離性同一性障害,41500,560,2.02,-0.003,29,71,8,17,17,20,19,12,7
30,過食嘔吐 顔つき,7500,550,3.708,0.371,13,87,9,25,19,21,17,6,3
31,レクサプロ,42300,540,1.948,1.453,32,68,1,11,17,25,25,13,8
32,精神疾患 種類 一覧,42700,530,1.95,0,30,70,10,10,10,18,23,17,12
33,エスシタロプラム10mg,41200,520,1.916,4.237,29,71,1,6,8,27,31,17,10
34,嚥下障害,42200,490,1.883,0.001,34,66,2,7,8,16,26,21,20
35,エスシタロプラム,41100,490,1.888,10.297,33,67,2,19,23,22,19,10,5
36,しにたいとき 対処法,40300,490,1.909,-0.156,29,71,13,20,15,22,17,9,4
37,会食恐怖症,27900,480,2.271,0.001,27,73,13,26,19,20,14,5,3
