順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,統合失調症 話し方 特徴,120000,33600,3.191,0,24,76,2,5,11,22,29,19,12
2,統合失調症 症状,138000,26300,2.835,0.305,25,75,3,11,11,18,24,18,15
3,精神疾患,142000,14700,2.192,0.001,42,58,6,9,11,19,25,18,12
4,精神障害者保健福祉手帳,124000,11100,2.033,4.337,29,71,1,7,14,26,28,15,9
5,リスペリドン,99200,9800,2.147,3.11,28,72,1,13,15,23,24,16,8
6,クエチアピン,96500,8600,2.037,0.055,29,71,1,12,15,23,25,15,9
7,統合失調症 芸能人,22500,8600,3.511,0.003,24,76,2,6,11,21,30,17,13
8,自立支援医療制度,101000,8400,1.961,8.68,29,71,1,9,14,24,29,15,8
9,エビリファイ,82300,8100,2.121,0.093,28,72,2,10,16,28,25,13,6
10,レキサルティ,74000,8100,2.236,6.037,33,67,1,10,16,24,26,15,8
11,解離性障害,79500,7900,2.147,0.54,28,72,4,14,17,23,23,12,7
12,統合失調症 寿命,16200,7400,3.679,0.016,26,74,2,4,10,19,28,22,15
13,統合失調症 薬,15900,7200,3.668,0.004,30,70,2,12,12,21,26,16,11
14,どうすればよかったか 映画,84700,7000,1.966,0.395,23,77,1,7,13,25,29,17,8
15,アリピプラゾール,72500,6900,2.105,7.008,30,70,2,13,16,26,25,12,6
16,統合失調症 完治,14900,6900,3.715,0.033,31,69,2,8,12,19,26,18,15
17,オランザピン,63200,6500,2.19,5.08,31,69,1,14,15,23,24,14,9
18,アカシジアとは,72600,6200,2.001,12.34,24,76,2,13,15,23,26,14,7
19,リスパダール,61100,5500,2.036,0.928,27,73,1,11,16,26,24,15,7
20,統合失調症とは,19600,5400,3.199,0,34,66,7,18,11,16,21,13,14
21,統合失調症 原因,16200,4900,3.258,0,24,76,4,16,20,27,20,9,4
22,精神疾患 種類 一覧,42500,4600,2.27,0.001,30,70,10,10,11,18,23,17,11
23,統合失調症 遺伝,12900,4500,3.422,0.001,21,79,2,9,14,22,25,17,11
24,統合失調症 対応,9000,4400,3.748,0.017,20,80,1,4,7,21,32,21,14
25,ラツーダ,33700,4100,2.353,5.573,34,66,2,12,16,23,25,14,8
26,リスペリドン 効果,32900,3600,2.236,15.965,26,74,1,10,11,22,29,19,8
27,解離性同一性障害,41800,3400,1.979,0.006,30,70,8,17,17,20,19,12,7
28,就労移行支援,35500,3400,2.098,10.887,34,66,2,15,15,23,27,12,6
29,医療保護入院とは,27900,3400,2.355,7.092,30,70,1,11,13,24,27,15,9
30,被害妄想,37800,3300,2.034,-0.001,33,67,5,9,12,20,24,16,14
31,レキサルティ 効果,24100,3200,2.431,17.182,29,71,1,8,13,22,29,18,9
32,抗精神病薬,22900,3200,2.489,3.879,35,65,2,17,14,20,23,15,9
33,気分障害,24600,3100,2.367,0.01,28,72,4,16,17,21,23,12,7
34,精神分裂病とは,20700,3100,2.585,0.002,35,65,4,9,7,15,25,22,18
35,クエチアピン 効果,32200,2900,2.05,5.979,25,75,1,9,11,21,29,20,9
36,障害者総合支援法,31200,2800,2.065,0.067,36,64,2,14,10,19,24,18,13
37,双極性障害 ニ型,28900,2800,2.121,0.015,28,72,2,12,14,21,26,16,9
