順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,自律神経失調症 症状,566000,28700,3.042,-0.016,30,70,3,11,16,22,21,14,13
2,自律神経を整える方法,319000,10300,2.576,-0.003,27,73,2,8,15,24,24,15,12
3,自律神経失調症 何科,70300,8400,3.897,0,23,77,2,12,17,22,22,14,11
4,自律神経 乱れ 症状,201000,7600,2.741,-0.002,25,75,2,10,15,23,23,15,12
5,パニック障害,324000,6300,2.065,0.006,32,68,4,13,17,25,22,11,8
6,自律神経失調症 薬,39700,5900,4.124,0.001,32,68,1,10,16,21,21,18,13
7,自律神経,96800,4600,2.981,0,35,65,3,9,15,22,21,15,15
8,不安障害,172000,4400,2.33,1.801,26,74,7,16,18,24,21,9,5
9,心療内科,193000,4100,2.147,0.033,36,64,2,8,12,22,27,15,14
10,半夏厚朴湯,169000,3600,2.175,3.015,24,76,1,6,13,23,26,17,14
11,自律神経失調症 治し方,23200,3600,4.163,0.002,30,70,5,19,21,21,15,9,10
12,自律神経 整える,59800,3000,3.006,0.068,29,71,2,10,18,25,22,13,10
13,うつ病,135000,2800,2.122,-0.003,40,60,5,11,13,21,24,15,11
14,自律神経失調症 漢方,17600,2800,4.183,0,24,76,1,7,16,26,24,15,11
15,機能性ディスペプシア,141000,2700,2.06,1.096,27,73,2,11,16,21,22,16,12
16,不安神経症,65100,2200,2.629,3.035,29,71,3,8,13,23,25,17,11
17,自律神経 漢方,38000,2200,3.172,1.143,19,81,1,5,17,29,25,12,11
18,加味逍遥散,113000,2100,2,0.086,13,87,1,5,11,30,36,11,6
19,緊張型頭痛,92000,2000,2.163,3.556,25,75,5,15,21,25,19,9,6
20,うつ病 チェック,101000,1900,2.05,0.003,32,68,12,27,22,18,13,4,4
21,パニック障害 症状,92400,1900,2.134,-2.015,25,75,4,12,14,22,25,15,8
22,睡眠障害,102000,1800,1.975,2.853,35,65,4,11,12,19,24,16,14
23,ロラゼパム,83100,1700,2.109,12.949,32,68,1,13,16,24,24,14,8
24,セロトニンを増やすには,90900,1600,1.989,13.555,26,74,1,8,15,26,26,14,10
25,起立性低血圧,80300,1600,2.085,0.498,25,75,7,17,14,22,19,11,10
26,不眠症,73300,1600,2.238,5.476,39,61,10,20,17,17,15,10,11
27,加味帰脾湯,61900,1600,2.354,6.199,21,79,1,6,14,26,27,15,11
28,抗うつ薬,50600,1500,2.511,7.998,35,65,3,13,14,24,24,13,9
29,アルプラゾラム錠0.4mg,72500,1400,2.025,5.222,31,69,0,2,4,26,31,21,16
30,セルトラリン,63500,1400,2.196,17.698,29,71,2,13,18,26,22,11,8
31,ヒステリー球,61400,1400,2.2,5.469,21,79,4,11,17,25,24,13,6
32,アルプラゾラム,59600,1400,2.251,6.837,31,69,2,16,24,19,19,11,9
33,柴胡加竜骨牡蛎湯,54400,1400,2.363,3.308,29,71,1,6,13,25,29,15,11
34,抗不安薬,32800,1400,2.825,9.775,33,67,3,14,17,24,22,12,8
35,抑うつ状態とは,68700,1300,1.997,1.967,33,67,4,17,17,22,23,11,6
36,クロチアゼパム錠5mg,66900,1300,2.126,7.238,27,73,1,7,11,20,26,18,17
37,スルピリド,65000,1300,2.118,9.878,33,67,1,11,15,23,24,14,12
38,適応障害 チェック,51800,1300,2.325,0.042,18,82,9,31,21,17,14,5,3
39,動悸,51500,1300,2.356,0.012,37,63,7,15,19,22,19,10,8
40,心療内科 行くべきか,48600,1300,2.393,0.003,29,71,3,12,14,23,27,12,9
41,慢性疲労症候群,45100,1300,2.457,0.656,33,67,3,11,19,25,22,12,8
42,自律神経 ツボ,29800,1300,2.897,1.206,27,73,1,4,13,28,29,15,10
43,自律神経失調症 原因,8900,1300,4.15,0.001,31,69,8,21,18,20,16,9,8
44,自律神経失調症 治療,7700,1300,4.268,0.001,35,65,2,17,22,22,18,11,8
45,夏バテ 症状,70600,1200,1.977,-42.06,29,71,5,15,16,18,18,15,13
46,低血圧,66500,1200,2.056,0.926,27,73,5,19,19,19,16,10,12
47,不眠症 治すには,62400,1200,2.084,2.013,39,61,3,10,12,19,23,17,16
48,神経内科とは,62100,1200,2.124,0.008,31,69,1,4,7,16,24,22,26
49,気象病,60200,1200,2.121,-0.039,23,77,1,5,11,21,25,21,16
50,ソラナックス,58900,1200,2.135,3.585,34,66,1,7,12,22,26,17,15
51,頭がぼーっとする,53600,1200,2.234,-0.005,37,63,5,13,15,20,18,13,16
52,ストレス 症状,49200,1200,2.295,-0.002,29,71,10,14,13,19,20,13,11
53,不安症,49200,1200,2.267,4.595,28,72,5,9,16,26,24,12,8
54,苓桂朮甘湯,48200,1200,2.345,2.822,23,77,1,6,12,23,27,17,14
55,メイラックス,45100,1200,2.416,3.794,33,67,1,8,13,22,25,17,14
56,自律神経失調症 診断,7100,1200,4.259,0.001,21,79,16,32,21,15,9,4,3
57,自律神経失調症 休職,5900,1200,4.432,0.002,32,68,1,20,31,29,14,3,2
58,ホルモンバランスの乱れ 症状,53000,1100,2.095,1.665,15,85,5,15,22,28,17,7,6
59,トリンテリックス,52200,1100,2.097,9.063,34,66,1,11,17,24,25,14,8
60,うつ病 治し方,50000,1100,2.209,10.417,39,61,5,12,14,21,24,14,10
61,精神安定剤,45100,1100,2.316,1.003,42,58,4,12,13,19,21,16,15
62,不安感が強い時の対処法,43800,1100,2.28,4.06,25,75,3,6,11,26,30,15,9
63,不定愁訴,56500,1000,2.015,1.947,30,70,1,11,14,22,24,15,13
