順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子育て,1046000,470,1.742,-22.973,24,76,1,3,14,26,23,17,16
2,ファッション,595000,300,1.856,-23.211,35,65,1,2,9,24,27,19,18
3,統合失調症,560000,240,1.706,-32.084,33,67,3,10,14,22,24,15,12
4,自動車,688000,230,1.418,-33.479,57,43,1,3,10,21,26,20,19
5,アナウンサーキャスター,400000,190,1.797,-20.6,41,59,1,3,10,21,26,20,19
6,大阪府,445000,170,1.571,-26.056,44,56,1,4,10,20,24,20,21
7,性犯罪,240000,120,1.801,-45.122,43,57,1,4,12,24,26,17,16
8,た。,316000,110,1.574,-66.826,35,65,1,2,5,14,24,24,30
9,ドナルドトランプ,325000,110,1.476,-45.768,63,37,2,4,9,17,22,20,26
10,うつ病,104000,90,2.397,-19.841,37,63,5,12,14,22,22,14,11
11,万博(国際博覧会),155000,90,1.975,-55.952,41,59,1,3,10,21,25,21,19
12,介護,188000,90,1.904,-24.8,31,69,1,2,6,15,26,24,26
13,社長,192000,90,1.757,-19.788,46,54,1,4,11,22,25,18,19
14,麻薬覚せい剤問題,83300,80,2.48,-25.939,45,55,1,4,12,28,26,15,14
15,精神障害者保健福祉手帳,123000,80,2.13,-20.521,29,71,1,7,14,26,28,15,9
16,殺人事件,142000,80,2.032,-31.671,37,63,3,6,12,23,24,17,15
17,睡眠導入剤,171000,80,1.817,-22.389,40,60,1,5,8,16,24,22,24
18,東京大学,184000,80,1.673,-26.87,47,53,8,5,7,19,25,17,19
19,関連,232000,80,1.541,-105.726,36,64,1,5,9,17,23,21,24
20,ロシア,257000,80,1.427,-22.737,62,38,3,5,10,17,19,18,28
21,生活保護 条件,237000,80,1.419,-26.567,31,69,1,8,13,19,27,18,14
22,た,257000,80,1.398,-96.423,42,58,5,7,10,16,21,19,22
23,自殺問題,65900,70,2.55,-22.859,28,72,1,4,12,24,25,17,17
24,暴力事件,100000,70,2.193,-35.028,36,64,1,3,11,25,25,17,18
25,統合失調症 話し方 特徴,98000,70,2.144,-36.779,23,77,2,5,10,23,29,18,13
26,掃除,113000,70,2.071,-40.941,21,79,1,1,6,16,26,24,26
27,京都府,155000,70,1.744,-37.589,46,54,1,4,9,19,23,20,24
28,グループホーム,209000,70,1.533,-52.573,35,65,1,4,6,16,29,26,18
29,闇バイト,202000,70,1.491,-20.351,61,39,5,10,15,20,21,15,14
30,生活保護,195000,70,1.425,-63.934,61,39,1,6,11,21,25,20,16
31,サプライズ,65000,60,2.412,-27.538,38,62,2,5,12,21,23,18,19
32,天才,70000,60,2.403,-33.11,41,59,2,4,12,23,22,17,20
33,大阪府の事件事故情報,83100,60,2.205,-39.381,42,58,1,5,14,25,24,16,15
34,解離性障害,79500,60,2.184,-27.97,28,72,4,13,17,23,23,13,7
35,生活習慣病,90800,60,2.161,-21.306,30,70,6,6,9,18,24,18,19
36,北海道の事件事故情報,95800,60,2.012,-20.863,37,63,1,4,13,25,24,17,16
