順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,認知症 初期症状,341000,41300,2.681,-0.002,25,75,1,3,6,17,29,20,24
2,高齢者,413000,32100,2.287,0.034,38,62,1,1,2,8,21,29,38
3,グループホーム,224000,19600,2.337,3.738,36,64,1,4,6,15,28,27,19
4,アルツハイマー型認知症,154000,19600,2.727,0.013,33,67,2,8,6,15,26,20,23
5,認知症テスト,147000,19400,2.844,0,42,58,1,1,2,9,20,18,49
6,認知症 寿命,75000,17700,3.33,0.006,23,77,1,2,5,14,36,24,18
7,介護保険,250000,17500,2.124,2.019,38,62,1,3,5,15,28,26,22
8,認知症 症状,64700,14800,3.32,0.007,26,74,1,5,5,13,29,25,22
9,レビー小体型認知症,134000,14500,2.556,0.03,28,72,1,7,9,17,27,21,18
10,老人ホーム,196000,13100,2.095,3.914,38,62,1,2,4,12,27,28,26
11,介護認定を受けるには,184000,12400,2.089,0.001,29,71,0,2,3,13,34,26,22
12,認知症 薬,59400,12400,3.208,0,33,67,1,4,6,16,33,21,19
13,特別養護老人ホーム,176000,12200,2.108,8.442,37,63,1,5,6,13,28,27,20
14,デイサービス,132000,12000,2.38,5.293,33,67,1,5,7,16,27,24,20
15,ケアマネージャー,144000,10800,2.166,8.292,37,63,1,6,9,18,29,21,16
16,認知症 予防,74900,10600,2.84,0,34,66,2,5,7,15,25,20,26
17,介護施設,112000,10500,2.437,3.009,38,62,1,2,3,10,26,29,29
18,認知症 介護認定,42400,10500,3.354,0.002,30,70,0,1,4,18,40,22,15
19,認知症 対応,38700,10200,3.437,0.001,23,77,1,3,4,15,36,24,17
20,地域包括支援 センター,124000,9400,2.185,0.543,31,69,1,6,7,17,30,21,18
21,成年後見人制度,137000,9200,2.071,5.52,37,63,1,4,7,17,29,24,18
22,訪問看護,107000,8400,2.206,1.824,29,71,1,5,10,23,29,19,13
23,有料老人ホーム,108000,7900,2.17,8.233,34,66,1,4,8,16,26,25,20
24,特養,96200,7900,2.273,13.461,33,67,0,4,6,14,29,28,19
25,介護認定 区分,115000,7600,2.062,8.168,34,66,0,1,3,13,33,28,22
26,認知症 種類,28800,6800,3.327,0,30,70,2,11,10,17,27,17,16
27,老健とは,103000,6700,2.061,16.203,28,72,1,6,6,12,28,30,17
28,ドネペジル,60000,6600,2.551,10.984,28,72,1,10,11,20,28,18,12
29,要介護1,72100,5800,2.241,11.966,31,69,1,4,6,16,34,24,15
30,訪問介護,63400,5600,2.335,5.576,34,66,1,4,8,19,29,23,16
31,アルツハイマー,63600,5400,2.333,0.001,43,57,6,8,9,15,22,17,23
32,介護福祉士国家試験 2025,74100,5300,2.098,36.407,28,72,1,9,11,23,31,17,8
33,廃用症候群とは,74100,5000,2.078,9.557,27,73,2,13,10,16,25,21,13
34,mci 認知症,58100,5000,2.371,11.915,39,61,0,3,5,11,21,24,36
35,ショートステイとは,56600,5000,2.344,15.695,27,73,1,6,8,13,29,28,15
36,要介護2,63200,4500,2.113,16.064,31,69,0,5,7,16,33,25,14
37,小規模多機能型居宅介護,42000,4500,2.516,15.991,26,74,1,7,9,19,31,22,11
38,痴呆症 認知症 違い,38700,4500,2.599,-0.001,40,60,1,3,5,17,33,21,20
39,メマンチン,44200,4400,2.435,16.196,29,71,0,10,13,23,27,17,10
40,物忘れ外来,37100,4300,2.645,0.001,27,73,0,2,4,14,33,21,26
41,長谷川式簡易知能評価スケール,45400,4200,2.386,0.006,26,74,1,16,13,22,26,12,10
42,認知機能検査,53000,4100,2.38,0,63,37,0,2,2,7,9,7,73
43,介護老人保健施設,51800,3900,2.178,7.069,35,65,1,11,9,17,26,21,15
44,家族信託とは,51400,3900,2.234,5.203,39,61,0,1,4,11,28,28,28
45,居宅介護支援事業所,43100,3900,2.351,7.704,35,65,0,6,9,21,30,22,12
46,前頭側頭型認知症,30600,3900,2.708,0.045,27,73,1,11,11,20,25,19,13
47,包括支援センタ一,51000,3800,2.169,1.244,31,69,1,2,5,16,32,23,21
48,要介護3,50700,3800,2.175,15.801,32,68,1,4,7,16,33,26,13
49,介護認定,47500,3700,2.195,6.063,34,66,0,3,6,17,35,24,15
50,長谷川式 認知症テスト,35100,3700,2.527,22.846,30,70,1,6,8,17,28,27,13
51,ユマニチュード,37800,3600,2.402,0.972,27,73,2,9,10,21,28,18,12
52,レビー小体型認知症 初期症状,32100,3600,2.637,0.509,18,82,0,3,4,12,27,26,28
53,認知症ケア専門士,22300,3600,2.891,0,22,78,1,8,18,30,27,10,6
54,介護用品,53500,3500,2.105,6.574,29,71,0,1,3,9,27,30,30
55,日常生活自立度,43900,3500,2.215,-0.001,35,65,1,20,20,25,20,9,5
56,介護支援専門員,39700,3500,2.293,7.71,32,68,1,8,12,24,28,17,10
57,ケアハウスとは,46500,3400,2.186,13.887,29,71,0,4,6,12,24,28,26
58,実務者研修,43700,3400,2.159,-0.015,27,73,1,8,15,28,31,13,4
59,介護医療院とは,42700,3400,2.24,13.026,29,71,1,7,8,18,29,24,13
60,アルツハイマー 認知症 違い,38600,3400,2.366,0.002,31,69,2,5,8,17,27,17,24
61,要支援1で使えるサービス,51300,3300,2.046,7.062,22,78,0,3,4,14,37,26,16
62,訪問看護ステーションとは,48800,3300,2.07,5.112,30,70,1,6,10,23,28,19,13
63,経管栄養,48100,3300,2.089,11.155,23,77,2,15,13,21,24,16,9
64,バルーンカテーテル,48000,3300,2.066,8.227,27,73,2,10,9,20,28,20,11
65,レカネマブ,39400,3300,2.342,3.276,43,57,1,6,7,14,22,20,30
66,bpsd,26000,3100,2.632,0.353,31,69,1,14,15,23,25,14,8
67,認知症検査,18600,3100,3.046,0,37,63,0,2,4,11,26,19,38
68,介護保険負担限度額認定証,37200,3000,2.272,21.508,29,71,0,1,3,11,32,35,18
69,痴呆症,29200,3000,2.524,0,45,55,4,11,9,12,26,19,19
70,軽度認知障害,24800,3000,2.666,4.051,34,66,1,5,5,15,28,22,24
