順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,高次機能障害とは,51900,5000,3.749,-0.003,23,77,1,9,12,22,27,18,11
2,脳出血,156000,4000,2.418,-8.921,33,67,2,7,11,21,25,18,16
3,高次脳機能障害 寿命,9100,3600,5.183,0.002,27,73,1,3,7,16,29,25,19
4,レビー小体型認知症,133000,3300,2.428,-0.003,28,72,1,7,9,17,27,21,18
5,精神障害者保健福祉手帳,124000,3100,2.376,3.444,29,71,1,7,14,26,28,15,9
6,構音障害,74300,3100,2.907,-0.001,23,77,2,12,15,24,22,16,9
7,廃用症候群とは,73900,2700,2.79,-0.016,27,73,2,13,10,16,25,21,13
8,身体障害者手帳,91100,2600,2.529,5.07,34,66,1,7,13,20,25,17,17
9,脳梗塞 後遺症,72700,2600,2.784,-2.831,32,68,1,5,8,18,27,21,20
10,リスペリドン,98800,2400,2.363,0.148,28,72,1,13,15,23,24,16,8
11,クエチアピン,96800,2300,2.36,9.059,29,71,1,12,15,23,25,15,9
12,介護福祉士国家試験 2025,74100,2100,2.517,2.076,28,72,1,9,11,23,31,17,8
13,就労継続支援b型,73600,2000,2.451,-1.147,38,62,1,9,12,26,28,16,8
14,adl 意味,67300,2000,2.599,0.023,33,67,2,10,8,15,26,22,17
15,失語症とは,49300,2000,2.91,0.002,33,67,3,12,15,22,22,14,12
16,長谷川式簡易知能評価スケール,44400,2000,2.983,-2.619,26,74,1,16,13,22,26,12,10
17,日常生活自立度,43900,1800,2.877,-0.134,35,65,1,20,20,25,20,9,5
18,慢性硬膜下血腫,66300,1700,2.445,0.04,31,69,1,12,13,18,23,17,16
19,jcs 意識レベル,50300,1700,2.699,-4.308,34,66,1,29,23,22,16,6,3
20,進行性核上性麻痺,48100,1700,2.772,2.978,32,68,1,9,12,20,23,17,18
21,クロピドグレル,66900,1600,2.366,0.41,33,67,0,16,14,20,22,15,13
22,ドネペジル,60100,1600,2.482,1.186,28,72,0,10,11,20,28,19,12
23,ラクナ梗塞,49600,1600,2.704,-0.002,32,68,1,11,9,16,23,21,19
24,経管栄養,48000,1600,2.687,3.971,23,77,2,15,13,21,24,16,9
25,大腿骨頚部骨折,63800,1500,2.367,-4.558,29,71,1,9,7,13,23,23,24
26,リハビリテーション病院,55200,1500,2.54,-6.913,33,67,1,3,5,14,26,24,27
27,ノーマライゼーションとは,44800,1500,2.711,-11.217,32,68,10,20,9,19,22,13,7
28,障害者総合支援法,31000,1500,3.087,-0.045,36,64,2,14,10,19,24,18,13
29,見当識障害,26500,1500,3.227,-0.001,27,73,2,16,12,20,25,16,9
30,レベチラセタム,46600,1400,2.558,10.121,32,68,1,15,16,24,23,13,8
31,居宅介護支援事業所,43200,1400,2.643,-0.015,35,65,1,6,9,21,29,22,12
32,小規模多機能型居宅介護,42100,1400,2.714,0.128,26,74,1,7,9,19,31,22,11
33,多系統萎縮症,40700,1400,2.716,-1.645,32,68,1,12,13,21,22,18,13
34,脳出血 後遺症,27500,1400,3.142,-6.58,27,73,2,6,12,21,27,19,13
35,半側空間無視,12800,1400,3.871,0.007,42,58,2,29,20,19,16,9,5
36,バルーンカテーテル,48000,1300,2.498,-0.186,27,73,2,10,9,20,28,20,11
37,後縦靭帯骨化症,46000,1300,2.554,0.173,38,62,1,9,11,19,25,20,15
38,メマンチン,44600,1300,2.58,5.13,29,71,0,10,13,23,27,17,10
39,エンパワメントとは,44300,1300,2.547,-11.854,32,68,3,15,10,22,26,15,9
40,adl,43200,1300,2.62,0.002,38,62,3,17,12,19,22,16,11
41,介護医療院とは,42800,1300,2.622,5.101,29,71,1,7,8,18,29,24,13
42,ウェルニッケ脳症,41000,1300,2.656,0.458,35,65,1,21,18,21,19,13,7
43,介護支援専門員,39700,1300,2.639,-1.181,32,68,1,8,12,24,28,17,10
44,前頭側頭型認知症,30500,1300,2.948,-0.038,28,72,1,11,12,20,25,19,12
45,アテローム血栓性脳梗塞,23600,1300,3.228,-1.66,30,70,1,20,10,16,22,17,14
46,mmse 評価,22800,1300,3.203,0.961,32,68,1,21,13,19,21,16,9
47,ブルンストロームステージ,15300,1300,3.671,-2.944,46,54,1,42,27,18,7,3,2
48,高機能障害,12000,1300,3.884,0,26,74,1,7,13,21,26,20,12
49,介護老人保健施設,51800,1200,2.376,-0.923,35,65,1,11,9,17,26,21,15
50,訪問看護ステーションとは,48400,1200,2.36,11.883,30,70,1,6,10,23,28,19,13
51,jcs,48100,1200,2.379,-0.091,40,60,2,32,23,19,14,6,4
52,相談支援専門員,31800,1200,2.787,-0.321,29,71,1,7,15,30,28,13,6
53,bpsd,26400,1200,2.974,2.232,30,70,1,14,15,23,25,14,8
54,回復期リハビリテーション病棟,19800,1200,3.268,-0.574,33,67,1,10,12,24,28,16,9
55,症候性てんかん,19700,1200,3.273,0.466,31,69,1,17,17,22,22,13,8
56,遂行機能障害,9600,1200,4.033,0.007,28,72,2,24,13,20,24,11,6
57,実務者研修,43700,1100,2.408,-27.743,27,73,1,8,15,28,31,13,4
58,深部静脈血栓症,41100,1100,2.462,-1.962,27,73,2,23,13,18,20,14,10
59,ユマニチュード,37900,1100,2.574,-0.013,27,73,2,9,10,21,28,18,12
60,ジスキネジアとは,36000,1100,2.614,11.679,26,74,1,16,13,21,24,16,9
61,地域包括ケア病棟,35400,1100,2.616,2.122,28,72,1,10,11,22,27,19,10
62,就労移行支援,35200,1100,2.626,9.617,34,66,2,15,15,23,28,12,5
63,地域包括ケアシステム,30700,1100,2.787,-2.983,33,67,8,23,9,19,21,12,8
64,mmt 評価,27800,1100,2.875,-1.043,30,70,1,34,21,21,14,5,4
65,mmse,21600,1100,3.143,5.084,37,63,1,24,15,19,19,12,10
66,被殻出血,19500,1100,3.234,0.001,35,65,1,25,17,19,19,12,7
67,fim 評価表,13600,1100,3.542,-0.294,38,62,1,33,17,20,15,9,5
68,長谷川式 認知症テスト,36600,1000,2.554,53.459,30,70,1,6,8,17,28,27,13
69,サービス管理責任者,36100,1000,2.514,-0.038,38,62,1,6,17,29,28,13,6
70,チェーンストークス呼吸,35500,1000,2.564,3.24,28,72,2,24,20,22,19,9,4
71,不随意運動,29000,1000,2.721,1.209,28,72,2,12,15,23,24,16,8
72,易怒性,25800,1000,2.843,4.455,26,74,1,9,12,23,27,19,9
73,障害福祉サービス,22400,1000,3.001,-1.991,39,61,1,7,13,25,28,16,10
74,icfとは,18300,1000,3.182,-2.237,30,70,3,20,9,20,25,16,7
75,バーセルインデックス,17900,1000,3.253,-3.999,40,60,2,35,21,21,12,6,3
76,icf,16400,1000,3.312,0.005,37,63,4,31,13,20,18,9,5
77,ケアマネ試験 2024,35500,980,2.457,-53.076,27,73,0,3,15,30,31,15,6
78,中心静脈栄養,31300,980,2.652,0.038,26,74,1,11,10,16,25,24,13
79,記憶障害,30300,980,2.66,-0.002,33,67,5,9,11,21,25,15,14
80,bsc 医療,34300,960,2.514,-11.888,26,74,0,20,16,23,23,12,6
81,褥瘡 ステージ,29300,940,2.65,23.665,21,79,0,13,12,22,27,17,9
82,視床出血,13900,940,3.411,-0.019,37,63,1,24,16,19,18,13,9
83,bpsdとは,21700,930,2.946,0.002,33,67,1,13,10,18,26,19,13
84,傾眠傾向,36800,920,2.415,10.972,26,74,1,9,10,17,26,22,15
85,気管切開,34000,910,2.478,-2.869,25,75,1,16,16,22,21,14,10
86,アドボカシーとは,31300,910,2.576,-2.394,32,68,3,13,9,18,26,18,13
87,特別障害者手当,31000,900,2.555,21.598,34,66,0,4,10,21,30,22,13
88,医療保護入院とは,27800,900,2.647,8.226,30,70,1,11,13,24,27,15,9
89,慢性閉塞性肺疾患,35300,870,2.397,1.104,32,68,5,16,12,19,21,14,13
90,acp 医療,30100,870,2.534,5.869,32,68,1,13,16,26,24,12,8
91,意識レベル jcs 表,29500,870,2.541,4.776,21,79,1,14,14,26,28,12,5
92,クエチアピン 効果,31600,860,2.479,1.837,26,74,1,9,11,21,29,20,9
93,見当識障害とは,16000,850,3.18,14.353,25,75,2,15,8,16,26,19,14
94,間欠性跛行,35800,840,2.401,0.016,42,58,1,16,9,13,17,18,26
95,血管性認知症,18400,840,3.012,-0.012,26,74,2,11,9,17,29,18,14
96,認知症高齢者の日常生活自立度,17000,840,3.072,1.475,31,69,1,19,18,23,21,12,6
97,バイスティックの7原則,16500,840,3.099,-2.835,28,72,2,16,12,23,25,15,7
98,スタンダードプリコーション,23900,830,2.74,-0.156,25,75,6,23,14,21,21,11,4
99,介護老人福祉施設とは,22900,830,2.781,-0.39,31,69,2,12,10,17,27,20,12
100,ミオクローヌス,33300,820,2.396,10.042,29,71,2,20,20,22,19,11,6
101,レスパイトとは 意味,32000,820,2.421,-10.719,25,75,0,5,13,25,26,19,12
102,ot,29900,820,2.485,2.084,30,70,3,10,13,23,24,16,11
103,意識障害,27600,820,2.575,0.001,34,66,2,9,12,19,24,19,15
104,ビムパット,25200,820,2.66,12.706,35,65,1,14,17,25,22,13,8
105,エリクソン 発達段階,21100,820,2.869,0.088,22,78,7,38,11,17,15,8,4
106,リスペリドン 効果,32900,810,2.38,17.374,26,74,1,10,11,22,29,19,8
107,co2ナルコーシス,29700,810,2.493,7.487,30,70,1,32,18,21,16,8,4
108,認知症ケア専門士,22300,810,2.751,1.363,22,78,1,8,18,30,27,10,6
109,端座位,21100,810,2.821,-3.1,25,75,3,15,11,19,27,18,7
110,通所リハビリテーション,19100,810,2.948,-0.289,32,68,1,9,9,20,26,19,16
