順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,うつ病の症状,501000,3900,2.187,-0.886,33,67,4,11,14,22,25,13,11
2,心療内科,193000,3800,3.1,-0.001,36,64,2,9,12,22,27,15,13
3,精神科 心療内科 違い,54700,2600,3.983,0,28,72,4,18,17,23,23,7,8
4,適応障害,395000,2500,1.964,2.368,34,66,5,17,20,22,20,10,6
5,精神疾患,142000,2100,2.848,0,42,58,6,9,11,19,25,18,12
6,精神科 行くべきか,30200,1900,4.324,0,29,71,14,38,19,12,9,4,4
7,うつ病,154000,1800,2.603,-1.161,41,59,5,11,13,21,24,15,11
8,不安障害,173000,1500,2.28,-0.053,26,74,7,17,18,24,21,8,5
9,精神障害者保健福祉手帳,125000,1300,2.45,0,29,71,1,7,14,25,28,16,9
10,死にたい,130000,1200,2.319,-2.658,34,66,10,18,23,25,16,5,3
11,自殺,129000,1100,2.304,-3.4,50,50,10,14,20,23,19,8,6
12,自立支援医療制度,101000,1100,2.459,11.549,29,71,1,9,14,24,29,15,8
13,精神科 入院,18000,1000,4.178,0,25,75,5,13,15,23,24,13,7
14,うつ病 チェック,103000,990,2.416,-0.068,32,68,11,27,22,18,14,4,4
15,訪問看護,108000,880,2.231,-0.176,29,71,1,5,11,23,28,19,13
16,睡眠薬,99100,880,2.343,0.02,48,52,4,12,13,18,21,14,18
17,統合失調症 話し方 特徴,125000,860,2.058,-0.27,24,76,2,6,11,22,29,18,12
18,心療内科 精神科 違い,38400,860,3.245,-0.001,32,68,4,18,17,21,21,11,8
19,メンタルクリニック,40800,830,3.146,0.001,29,71,2,12,13,23,27,14,9
20,クエチアピン,96100,810,2.261,5.255,29,71,1,12,15,23,25,15,9
21,しにたい 楽な方法,94000,810,2.27,-1.701,35,65,11,16,18,24,20,7,4
22,統合失調症 症状,114000,780,2.078,5.875,25,75,3,12,11,18,24,18,14
23,リスペリドン,99100,780,2.189,1.836,28,72,1,13,15,23,24,16,8
24,レキサルティ,69900,780,2.53,9.227,33,67,1,10,16,25,26,14,8
25,エビリファイ,84700,720,2.25,0.021,29,71,2,10,16,28,25,13,6
26,精神安定剤,45700,710,2.897,-0.001,42,58,4,12,13,19,21,16,15
27,適応障害 うつ病 違い,101000,700,2.047,1.054,33,67,2,12,16,24,28,13,5
28,精神保健福祉士,85300,700,2.221,0,28,72,4,10,14,26,26,13,7
