順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病 初期症状,721000,78000,2.1,-0.008,37,63,3,9,13,20,24,16,15
2,糖尿病の食事,220000,41400,2.693,0,32,68,1,2,4,13,26,26,28
3,血糖値 基準値,375000,38000,2.064,0.004,43,57,1,6,6,13,24,24,26
4,血糖値,247000,28500,2.203,4.447,45,55,1,4,7,13,21,24,30
5,糖尿病 診断基準,157000,26200,2.557,0,42,58,1,7,10,14,22,22,24
6,血糖値 下げる方法,229000,22600,2.019,0.001,42,58,1,4,8,15,27,24,21
7,糖尿病 治るのか,102000,22400,2.813,0.001,45,55,3,8,11,17,25,19,17
8,ヘモグロビンa1c,208000,20600,2.014,1.222,35,65,1,6,9,19,26,21,18
9,糖尿病 1型 2型 違い,75200,16000,2.795,0,40,60,3,7,9,16,24,21,20
10,糖尿病 足 壊死 初期症状,67300,15900,2.895,0,39,61,1,3,7,16,27,23,23
11,血糖値測定器,114000,14000,2.286,7.998,48,52,0,2,4,11,23,26,34
12,糖尿病 食事療法,62700,12900,2.785,0.002,30,70,1,4,5,13,26,26,25
13,インスリン注射,89000,11800,2.306,1.696,37,63,1,8,10,19,25,19,18
14,トピファイバー,54000,10200,2.703,0.005,45,55,0,1,3,12,27,28,29
15,糖尿病 症状,54300,8500,2.49,0.003,41,59,7,17,17,18,17,11,13
16,糖尿病 予防,53600,8100,2.436,0,48,52,4,13,15,20,22,13,13
17,糖尿病 合併症,32900,7300,2.867,0,32,68,1,14,8,13,22,22,20
18,糖尿病 食事,32800,6900,2.748,0.004,36,64,2,9,17,22,27,11,12
19,アカシアポリフェノール,46500,6400,2.41,3.864,39,61,0,1,2,9,22,30,36
20,糖尿病 薬,21200,6200,3.067,0,47,53,1,5,11,21,30,20,12
21,ヘモグロビンa1c 基準,53000,5100,2.014,10.648,41,59,0,6,6,12,22,28,26
22,糖尿病 原因,34700,4900,2.367,0,42,58,7,20,20,23,17,7,6
23,高血糖症状,46700,4800,2.049,1.724,27,73,1,20,15,20,21,13,10
24,インスリン,41100,4600,2.146,2.063,46,54,7,15,12,17,19,15,15
25,食後血糖値 基準値,33200,4100,2.248,12.553,36,64,0,5,9,16,24,25,21
26,メトグルコ,41800,3900,1.968,5.756,37,63,1,11,12,19,24,18,15
27,血糖値を下げる食品,40200,3700,1.974,3.447,15,85,0,2,5,13,27,29,24
28,ジャディアンス錠10mg,38500,3700,2.007,10.704,44,56,0,5,7,13,21,26,28
29,2型糖尿病,35300,3700,2.081,24.375,41,59,3,12,11,16,20,18,20
30,ヘモグロビンa1c 下げる,30600,3700,2.204,1.006,37,63,0,2,6,15,30,27,20
31,2型糖尿病とは,31700,3600,2.149,-0.004,38,62,2,10,8,16,24,22,18
32,糖尿病の薬,13600,3600,3.068,0,38,62,1,2,3,10,26,28,30
33,リブレ2,28700,3500,2.245,27.743,43,57,0,2,8,17,26,24,23
34,糖尿病 薬 一覧,12100,3500,3.051,0,45,55,0,6,11,21,31,19,12
35,糖尿病薬,11100,3500,3.17,0,40,60,1,5,6,15,30,25,18
36,糖尿病薬 一覧,11100,3400,3.155,0,39,61,0,3,5,12,28,28,24
37,トラゼンタ錠5mg,30900,3100,2.058,3.52,35,65,0,6,5,12,29,24,24
38,スマートウォッチ 血糖値,31700,2900,1.983,9.192,57,43,0,1,5,11,22,26,35
39,糖尿病とは,15000,2800,2.66,0,37,63,12,25,16,16,14,8,9
40,糖尿病網膜症,14500,2800,2.651,0.002,40,60,2,12,14,20,25,15,12
41,糖尿病 数値,13700,2800,2.716,0,42,58,1,6,12,22,26,18,15
42,血糖値 高い,26900,2700,2.034,-0.001,30,70,0,5,9,18,27,20,21
43,トーチラック 効果なし,20700,2700,2.363,11.998,65,35,0,0,1,4,20,35,40
44,トピファイバー サプリ,15900,2700,2.627,0.005,48,52,0,1,2,7,22,31,37
45,血糖値 スマートウォッチ,23000,2600,2.177,7.692,69,31,0,1,3,8,22,31,35
46,糖尿病に良い食べ物,11900,2600,2.829,0.004,43,57,1,3,6,13,24,25,28
47,糖尿病一型と二型,8600,2600,3.144,0,32,68,1,6,5,15,28,25,20
48,ジャヌビア錠50mg,22100,2500,2.192,1.718,39,61,0,6,5,12,22,24,31
49,糖尿病 痩せる理由,11700,2500,2.746,0,35,65,1,6,14,25,30,16,8
50,糖尿病 目の病気,9400,2400,2.936,0,34,66,0,5,12,24,30,20,9
51,血糖値測定器 針なし 最新,17400,2300,2.387,9.995,60,40,0,1,2,7,17,30,43
52,メトグルコ250,17400,2300,2.36,6.362,41,59,0,5,5,13,22,25,30
53,エクメット配合錠,22800,2200,2.01,4.815,40,60,1,8,11,18,23,20,19
54,糖尿病 血液検査,12400,2200,2.56,0,35,65,1,12,19,26,24,11,7
55,糖尿病 英語,11200,2200,2.721,0,43,57,8,15,13,20,21,13,10
56,糖尿病 インスリン注射,7800,2200,3.022,0.001,33,67,1,7,12,22,28,19,11
57,糖尿病合併症,7400,2200,3.103,0,31,69,2,16,5,15,25,21,16
58,糖尿病 検査方法,12700,2100,2.489,0,35,65,3,17,24,26,18,8,4
59,糖尿病 何科を受診,9000,2100,2.837,0,35,65,1,10,18,25,28,13,5
60,糖尿病性腎症,14900,2000,2.304,0.051,35,65,2,20,13,18,20,15,12
61,糖尿病 血糖値,8500,2000,2.881,0.001,45,55,1,12,15,24,26,13,9
62,シナモン 血糖値,17600,1900,2.17,27.371,57,43,0,1,2,6,21,31,39
63,トーチラック,16200,1900,2.231,2.083,62,38,0,1,2,8,21,30,38
