順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病,707000,2100,3.101,0,43,57,2,5,8,17,26,21,21
2,糖尿病 合併症,31200,400,4.568,-0.281,32,68,2,14,8,13,22,21,20
3,インスリン注射,89800,320,3.252,-0.321,37,63,1,8,10,19,25,19,18
4,糖尿病 足 壊死 初期症状,66600,290,3.488,-0.218,39,61,1,3,7,16,27,23,23
5,廃用症候群とは,73000,220,3.091,-3.645,27,73,2,13,10,16,25,21,13
6,糖尿病 食事療法,61100,190,3.19,-7.491,30,70,0,4,5,13,27,26,25
7,高血糖症状,46300,180,3.362,-0.01,27,73,1,19,15,20,21,13,11
8,糖尿病神経障害,5800,170,5.366,0,36,64,2,17,9,17,24,19,12
9,糖尿病 症状,57600,150,2.949,-0.015,40,60,6,17,17,17,17,12,14
10,リブレ 血糖測定,56100,150,2.967,3.622,28,72,0,6,12,22,27,19,14
11,深部静脈血栓症,40200,150,3.286,-18.736,28,72,2,22,13,18,20,14,11
12,ケトアシドーシスとは,31100,150,3.562,-0.002,31,69,1,17,13,20,23,15,11
13,糖尿病網膜症,14200,150,4.326,0,40,60,2,13,12,21,25,15,12
14,dダイマーとは,54600,140,2.968,-9.675,26,74,1,16,12,19,22,16,14
15,jcs 意識レベル,50100,140,2.987,-9.942,35,65,1,28,23,23,16,6,3
16,2型糖尿病とは,29500,130,3.472,-15.611,38,62,2,10,8,16,24,21,19
17,co2ナルコーシス,29200,130,3.497,3.036,30,70,2,31,18,21,16,8,4
18,糖尿病性腎症,14700,130,4.178,-0.04,35,65,1,20,13,18,20,15,13
19,1型糖尿病とは,44400,120,2.989,-2.328,34,66,5,10,12,19,22,18,14
20,エンパワメントとは,43800,120,2.941,-0.053,32,68,3,15,10,22,26,15,9
21,2型糖尿病,38600,120,3.119,0.526,41,59,3,12,11,16,21,18,19
22,食後血糖値 基準値,33400,120,3.31,3.621,35,65,0,5,9,16,24,25,21
23,エリクソン 発達段階,20700,120,3.718,0.502,22,78,7,37,11,17,15,9,4
24,日常生活自立度,43100,110,2.936,1.662,35,65,1,20,20,25,20,10,4
25,インスリン,41200,110,2.982,0.009,46,54,7,14,12,17,19,15,16
26,長谷川式簡易知能評価スケール,40900,110,3.001,-11.1,26,74,1,16,13,23,26,11,10
27,アゾセミド,40800,110,2.949,3.736,30,70,0,15,14,22,23,14,12
28,間欠性跛行,35500,110,3.178,-3.057,42,58,2,16,9,13,17,17,26
29,地域包括ケアシステム,30200,110,3.3,-19.332,32,68,8,23,9,19,21,12,8
30,看護ルー,27400,110,3.345,-5.006,20,80,8,28,16,19,18,7,4
31,アルドステロン,27100,110,3.359,-6.86,31,69,3,25,10,18,20,14,10
32,アドヒアランスとは,25900,110,3.459,4.763,29,71,2,23,13,21,21,13,7
33,シックデイとは,12800,110,4.09,6.996,27,73,1,24,16,22,19,11,7
34,糖尿病腎症,4500,110,5.212,0.002,31,69,2,21,11,16,20,16,14
35,sglt2阻害薬,39400,100,2.96,6.956,46,54,0,12,12,19,21,19,17
36,慢性心不全,36000,100,2.992,-0.001,30,70,1,12,9,16,24,21,17
37,ファロー四徴症,33600,100,3.039,-17.061,28,72,2,28,21,20,16,9,4
