順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病,712000,420,2.899,-0.784,43,57,2,5,8,17,26,21,21
2,血糖値 基準値,375000,210,2.863,0.307,43,57,1,6,6,13,24,24,26
3,糖尿病の食事,220000,190,3.337,-4.956,32,68,1,2,4,13,26,26,28
4,糖尿病 初期症状,721000,160,1.942,-10.143,37,63,3,9,13,20,24,16,15
5,高額医療費制度,858000,150,1.677,-4.326,38,62,0,4,12,20,26,21,17
6,ヘモグロビンa1c,208000,140,3.028,2.881,35,65,1,6,9,19,26,21,18
7,マンジャロ,349000,130,2.418,43.24,31,69,2,15,21,26,21,10,5
8,メトホルミン,235000,130,2.809,8.222,33,67,0,6,11,23,30,18,12
9,インスリン注射,89000,120,3.684,-0.012,37,63,1,8,10,19,25,19,18
10,血糖値,247000,110,2.626,1.321,45,55,1,4,7,13,21,24,30
11,糖尿病 治るのか,102000,110,3.461,-7.354,45,55,3,8,11,17,25,19,17
12,パーキンソン病,847000,100,1.312,0.935,38,62,2,8,9,16,21,19,25
13,血糖値 下げる方法,229000,100,2.563,-3.988,42,58,1,4,8,15,27,24,21
14,hba1c,226000,100,2.623,-0.265,41,59,0,7,11,19,26,20,17
15,糖尿病 診断基準,157000,100,3.035,-8.376,42,58,1,7,10,14,22,22,24
16,血糖値測定器,114000,100,3.383,2.765,48,52,0,2,4,11,23,26,34
17,空腹時血糖値,106000,100,3.378,-0.855,38,62,0,8,12,22,27,19,12
18,糖尿病 食事療法,62700,100,3.905,-0.403,30,70,1,4,5,13,26,26,25
19,bmi 計算 自動,715000,90,1.315,0.089,30,70,7,18,17,18,18,12,10
20,認知症,475000,90,1.799,-80.368,36,64,1,3,5,13,28,25,25
21,低血糖症状,266000,90,2.355,-1.969,29,71,2,13,15,20,22,15,13
22,リベルサス,218000,90,2.544,-6.484,30,70,1,12,19,25,24,12,7
23,統合失調症,601000,80,1.388,-52.285,33,67,3,11,14,22,24,15,11
24,蜂窩織炎,432000,80,1.744,-44.269,28,72,1,7,12,21,24,19,16
25,間質性肺炎,385000,80,1.931,-10.198,31,69,1,5,7,14,22,22,29
26,心不全,264000,80,2.201,9.305,34,66,2,7,10,18,24,19,20
27,県民共済,588000,70,1.337,-2.918,35,65,0,5,12,22,28,20,13
28,甲状腺機能低下症,545000,70,1.441,59.097,23,77,1,6,10,16,21,20,26
29,バセドウ病,455000,70,1.459,60.99,31,69,3,13,16,23,24,13,8
30,モンテルカスト錠10mg,450000,70,1.543,-8.698,29,71,1,6,15,24,23,17,14
31,敗血症,396000,70,1.692,-7.217,38,62,1,7,11,18,22,19,22
32,リブレ 血糖測定,55500,70,3.675,3.952,28,72,0,7,11,21,28,19,14
33,高齢者,410000,60,1.576,-9.532,38,62,1,1,2,8,21,29,38
34,膵臓癌 初期症状,396000,60,1.594,-0.031,35,65,1,3,7,16,25,23,25
35,傷病手当金,372000,60,1.548,-20.05,38,62,0,7,15,25,29,18,6
36,アムロジピン,296000,60,1.815,10.623,40,60,0,8,7,14,24,23,24
37,クレアチニンとは,254000,60,2.009,-8.996,42,58,1,5,6,13,21,23,31
38,心房細動,246000,60,2.028,-2.411,39,61,1,7,8,14,21,22,27
39,糖尿病 1型 2型 違い,75200,60,3.267,-0.344,40,60,3,7,9,16,24,21,20
40,糖尿病 足 壊死 初期症状,67300,60,3.37,0.002,39,61,1,3,7,16,27,23,23
41,クラリスロマイシン錠200mg,383000,50,1.336,-102.219,30,70,1,6,15,26,22,16,14
42,子宮頸がん,378000,50,1.312,-12.769,24,76,3,10,14,23,24,16,10
43,脳梗塞,358000,50,1.486,17.651,41,59,2,7,7,14,24,22,24
44,50代ヘアスタイル,358000,50,1.392,-18.433,17,83,0,1,1,5,68,22,3
45,甲状腺の病気,342000,50,1.574,-26.963,26,74,1,3,7,18,29,22,20
46,ナッシュ,330000,50,1.582,-7.233,36,64,1,11,17,20,23,16,12
47,パワーポイント,326000,50,1.411,30.15,52,48,4,8,10,25,28,15,10
48,大腸内視鏡検査,325000,50,1.49,-12.381,34,66,0,2,6,20,28,24,20
49,デエビゴ,285000,50,1.777,2.531,34,66,1,9,12,20,24,18,16
50,腎臓病の症状,284000,50,1.669,-18.801,40,60,0,2,5,13,23,24,33
51,シェーグレン症候群,275000,50,1.743,58.016,20,80,1,7,9,17,26,23,17
52,甲状腺機能亢進症,258000,50,1.783,27.874,23,77,2,8,11,23,27,17,12
53,高額療養費制度とは,235000,50,1.818,-5.606,40,60,1,4,9,15,22,24,25
54,グループホーム,223000,50,1.885,53.542,35,65,1,4,6,15,28,27,19
55,変形性膝関節症,219000,50,1.887,-48.362,28,72,1,6,6,14,25,25,23
56,egfr,150000,50,2.249,-2.787,37,63,0,6,8,16,25,23,22
57,フォシーガ,105000,50,2.741,12.182,34,66,0,9,14,23,25,16,13
58,マンジャロ 副作用,77700,50,3.052,27.904,28,72,2,12,17,26,25,12,6
59,1型糖尿病,75300,50,3.033,-0.932,36,64,3,12,14,21,21,16,13
60,ジャディアンス,74600,50,2.971,-4.35,39,61,0,10,13,22,25,16,14
61,ナーシングスキル ログイン,73900,50,3.006,2.066,16,84,1,25,20,24,20,8,2
62,高血糖症状,46700,50,3.504,4.599,27,73,1,20,15,20,21,13,10
63,食後血糖値 基準値,33200,50,3.831,6.932,36,64,0,5,9,16,24,25,21
64,リブレ2,28700,50,4.008,45.196,43,57,0,2,8,17,26,24,23
65,糖尿病 教育入院,2100,50,6.589,-0.452,33,67,0,10,12,22,27,18,11
66,糖尿病入院治療,1400,50,7.039,-2.313,38,62,1,1,2,13,33,29,21
67,狭心症,356000,40,1.325,-11.24,38,62,2,8,11,18,24,18,19
68,脊柱管狭窄症,355000,40,1.356,39.611,39,61,1,3,5,11,20,24,36
69,白内障手術,313000,40,1.492,-32.266,36,64,0,2,4,10,21,27,36
70,帯状疱疹 ワクチン,306000,40,1.461,23.18,31,69,0,1,4,8,25,30,32
71,眼瞼下垂,303000,40,1.366,25.604,21,79,3,8,11,19,25,19,15
72,美容院,303000,40,1.305,-59.879,23,77,4,6,11,22,24,17,16
73,骨粗鬆症,301000,40,1.424,-39.745,24,76,2,5,5,12,22,25,29
74,amazonプライムデー 2024,295000,40,1.322,-30.912,39,61,1,7,15,23,25,16,13
75,岡山 観光,292000,40,1.34,-4.101,39,61,2,10,13,21,24,18,12
76,レボフロキサシン,291000,40,1.496,-27.609,31,69,1,10,16,23,21,15,14
77,胃がん 初期症状,291000,40,1.362,-85.278,33,67,1,6,13,20,24,18,18
78,スケッチャーズ スリップイン,287000,40,1.406,-56.744,34,66,0,2,6,13,24,30,25
79,障害者年金,281000,40,1.58,-3.222,40,60,1,3,7,15,28,30,16
80,8001239706,281000,40,1.334,12.026,42,58,2,9,14,22,27,16,10
81,医療費控除 いくら戻る,265000,40,1.445,24.254,37,63,0,5,15,24,27,18,11
82,せん妄とは,259000,40,1.597,47.723,30,70,1,6,8,17,28,22,18
83,フレイルとは,256000,40,1.754,-61.244,35,65,1,4,4,11,20,23,37
84,カーブス 料金 一覧 表,256000,40,1.638,27.429,9,91,0,2,3,15,31,30,19
85,迷走神経反射,252000,40,1.494,-60.082,22,78,4,15,17,23,22,12,7
86,介護保険,249000,40,1.698,19.182,39,61,1,3,5,15,28,26,22
87,血液検査,248000,40,1.67,7.89,35,65,1,2,4,18,26,23,26
88,メットライフ生命,245000,40,1.65,-8.705,42,58,0,5,14,22,25,20,14
89,悪性リンパ腫,243000,40,1.638,-12.394,32,68,2,7,11,21,25,19,15
90,脂肪肝 治し方,228000,40,1.698,51.256,38,62,0,3,12,23,31,19,12
91,済生会病院,227000,40,1.627,-12.77,36,64,1,6,10,18,24,21,20
92,ct検査,191000,40,1.765,26.776,41,59,2,7,10,18,21,18,24
93,タリージェ,190000,40,1.961,76.874,35,65,0,5,9,19,25,20,22
94,ランソプラゾール,188000,40,1.983,2.948,32,68,1,10,10,17,23,20,19
95,障害年金,186000,40,1.948,-8.876,40,60,1,5,11,20,29,22,12
96,睡眠時無呼吸症候群,184000,40,1.76,-0.324,45,55,2,8,14,23,26,17,10
97,限度額適用認定証,180000,40,1.947,-2.402,30,70,0,6,18,21,25,19,11
98,ロスバスタチン錠2.5mg,165000,40,1.966,14.682,34,66,0,4,6,12,25,26,27
99,脳出血,161000,40,1.897,10.814,33,67,2,7,11,21,25,18,16
100,傷病手当金支給申請書,161000,40,1.895,-44.824,36,64,1,6,13,21,30,21,8
101,アルツハイマー型認知症,157000,40,1.988,-20.296,33,67,2,7,7,15,26,20,23
102,ケアマネージャー,143000,40,2.055,-21.546,37,63,1,6,9,18,29,21,16
103,透析とは,140000,40,2.073,-3.204,40,60,4,13,13,17,20,16,17
104,褥瘡,136000,40,2.137,61.329,31,69,2,11,11,18,25,20,13
105,ネフローゼ症候群,132000,40,2.245,-15.855,32,68,1,13,14,21,22,15,14
106,精神障害者保健福祉手帳,124000,40,2.251,2.824,29,71,1,7,14,26,28,15,9
107,横紋筋融解症,108000,40,2.554,-12.048,32,68,1,10,11,16,21,21,20
108,バイアスピリン,104000,40,2.384,1.661,36,64,0,13,12,16,20,18,21
109,エンレスト,88800,40,2.51,13.916,37,63,0,12,15,23,24,14,12
110,hba1c 基準値,83300,40,2.629,0.184,44,56,0,8,7,12,22,24,27
111,オゼンピック,70000,40,2.783,29.215,30,70,1,10,17,25,25,14,8
112,人工呼吸器,65700,40,2.832,-38.722,28,72,1,14,14,22,24,14,11
113,ヘモグロビンa1c 基準,53000,40,3.227,15.082,41,59,0,6,6,12,22,28,26
114,インスリン,41100,40,3.312,3.994,46,54,7,15,12,17,19,15,15
115,糖尿病 合併症,32900,40,3.773,-4.097,32,68,1,14,8,13,22,22,20
116,トレシーバ,20200,40,4.041,-8.987,33,67,1,16,15,24,23,13,8
117,糖尿病療養指導士,7600,40,4.93,-36.285,22,78,1,15,22,30,21,8,3
118,糖尿病入院基準,1300,40,6.722,-5.993,35,65,2,4,5,19,34,21,15
119,オリックス生命,302000,30,1.307,-9.21,39,61,0,2,8,15,21,24,30
120,脈拍数 正常値,286000,30,1.321,35.232,33,67,2,8,9,16,23,21,21
121,あんぱん ネタバレ,279000,30,1.361,96.498,24,76,1,1,4,12,23,33,26
122,阪急交通社 トラピックス,276000,30,1.385,-25.954,37,63,0,0,1,4,12,31,52
123,こくみん共済,273000,30,1.31,-8.663,43,57,1,4,8,16,28,25,18
124,ノロウイルス 潜伏期間,272000,30,1.309,60.5,30,70,2,10,16,21,22,18,11
125,大動脈解離,268000,30,1.33,-32.727,40,60,1,7,11,19,25,20,17
