順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,bmi 計算 自動,715000,180,2.154,-44.997,30,70,7,18,17,18,18,12,10
2,bmi,584000,180,2.377,-12.577,31,69,10,21,18,17,15,10,9
3,糖尿病,712000,160,1.994,-9.487,43,57,2,5,8,17,26,21,21
4,マンジャロ,349000,140,2.567,5.488,31,69,2,15,21,26,21,10,5
5,アムロジピン,296000,130,2.686,22.704,40,60,0,8,7,14,24,23,24
6,血糖値 基準値,375000,120,2.393,0.111,43,57,1,6,6,13,24,24,26
7,統合失調症,601000,110,1.779,1.179,33,67,3,11,14,22,24,15,11
8,リベルサス,218000,100,2.663,22.044,30,70,1,12,19,25,24,12,7
9,ランソプラゾール,188000,100,2.942,33.253,32,68,1,10,10,17,23,20,19
10,甲状腺機能低下症,545000,90,1.749,14.193,23,77,1,6,10,16,21,20,26
11,子宮頸がんワクチン,475000,90,1.814,-20.172,16,84,6,17,6,27,32,8,4
12,デエビゴ,285000,90,2.395,21.765,34,66,1,9,12,20,24,18,16
13,ヘモグロビンa1c,208000,90,2.723,-0.03,35,65,1,6,9,19,26,21,18
14,インスリン注射,89000,90,3.536,0.057,37,63,1,8,10,19,25,19,18
15,エンレスト,88800,90,3.516,22.312,37,63,0,12,15,23,24,14,12
16,アンブロキソール,491000,80,1.689,18.264,29,71,1,7,18,28,22,13,11
17,認知症,475000,80,1.736,-50.968,36,64,1,3,5,13,28,25,25
18,バセドウ病,455000,80,1.725,-3.573,31,69,3,13,16,23,24,13,8
19,血圧 正常値,354000,80,2.081,1.352,39,61,6,26,13,16,17,11,11
20,骨粗鬆症,301000,80,2.197,-6.526,24,76,2,5,5,12,22,25,29
21,hba1c,226000,80,2.446,-4.287,41,59,0,7,11,19,26,20,17
22,ネフローゼ症候群,132000,80,3.018,22.74,32,68,1,13,14,21,22,15,14
23,ジャディアンス,74600,80,3.52,-8.856,39,61,0,10,13,22,25,16,14
24,蜂窩織炎,432000,70,1.693,32.246,28,72,1,7,12,21,24,19,16
25,コロナワクチン,398000,70,1.812,-19.164,42,58,1,2,5,13,21,25,33
26,間質性肺炎,385000,70,1.787,-10.839,31,69,1,5,7,14,22,22,29
27,厚生労働省,383000,70,1.835,24.639,47,53,2,6,9,19,26,22,16
28,シェーグレン症候群,275000,70,2.13,12.33,20,80,1,7,9,17,26,23,17
29,低血糖症状,266000,70,2.195,8.896,29,71,2,13,15,20,22,15,13
30,心不全,264000,70,2.143,-8.768,34,66,2,7,10,18,24,19,20
31,メトホルミン,235000,70,2.224,21.975,33,67,0,6,11,23,30,18,12
32,タリージェ,190000,70,2.587,4.204,35,65,0,5,9,19,25,20,22
33,脂質異常症,176000,70,2.545,0.07,30,70,1,9,12,20,27,18,13
34,プレドニゾロン,120000,70,2.944,-21.56,29,71,1,11,12,21,23,17,15
35,空腹時血糖値,106000,70,3.06,-0.8,38,62,0,8,12,22,27,19,12
36,看護師国家試験,88800,70,3.305,-40.237,31,69,3,21,9,20,27,12,8
37,ビソプロロールフマル酸塩,78000,70,3.391,-8.023,32,68,0,11,11,19,23,18,18
38,オゼンピック,70000,70,3.555,51.774,30,70,1,10,17,25,25,14,8
39,生活習慣病管理料,46200,70,3.909,-11.495,30,70,1,3,9,22,31,21,13
40,ブリストルスケール,24300,70,4.615,-34.933,23,77,3,29,19,21,16,8,4
41,敗血症,396000,60,1.713,19.459,38,62,1,7,11,18,22,19,22
42,ミヤbm錠,370000,60,1.774,23.07,32,68,1,8,13,21,21,17,19
43,脳梗塞,358000,60,1.713,-7.071,41,59,2,7,7,14,24,22,24
44,ヒトメタニューモウイルス,351000,60,1.743,68.081,28,72,2,8,27,26,16,14,7
45,文字数カウント,301000,60,1.985,-42.806,38,62,28,42,12,9,6,2,1
46,レボフロキサシン,291000,60,1.885,-29.736,31,69,1,10,16,23,21,15,14
47,クローン病,240000,60,2.154,-31.889,31,69,3,12,15,21,22,15,12
48,ファモチジン,208000,60,2.257,42.882,29,71,1,11,14,22,23,16,13
49,プレドニン,191000,60,2.389,27.159,28,72,1,8,12,21,24,18,16
50,糖尿病 診断基準,157000,60,2.531,7.818,42,58,1,7,10,14,22,22,24
51,egfr,150000,60,2.594,-24.173,37,63,0,6,8,16,25,23,22
52,褥瘡,136000,60,2.639,32.575,31,69,2,11,11,18,25,20,13
53,訪問看護,107000,60,2.935,9.805,29,71,1,5,10,23,29,19,13
54,バイアスピリン,104000,60,3.039,0.701,36,64,0,13,12,16,20,18,21
55,リスペリドン,98500,60,2.943,12.308,28,72,1,13,15,24,24,15,8
56,crp 正常値,89800,60,3.098,-9.726,31,69,1,13,10,15,18,19,24
57,廃用症候群とは,73900,60,3.297,-16.449,27,73,2,13,10,16,25,21,13
58,看護師国家試験 2025,68700,60,3.302,83.889,22,78,2,25,9,17,31,10,6
59,妊娠糖尿病,66900,60,3.418,-14.265,17,83,1,16,41,18,10,10,4
60,クロピドグレル,66900,60,3.401,4.813,33,67,0,16,14,20,22,15,13
61,スピロノラクトン,66800,60,3.324,0.097,26,74,0,18,15,22,23,12,10
62,フロセミド,62300,60,3.413,12.995,29,71,1,19,13,19,22,15,11
63,リクシアナ,60400,60,3.582,7.724,39,61,0,13,12,19,21,17,18
64,リブレ 血糖測定,55500,60,3.64,-1.395,28,72,0,7,11,21,28,19,14
65,sglt2阻害薬,39600,60,3.849,14.989,46,54,0,12,12,19,22,19,16
66,アルブミン 基準値,26700,60,4.421,-20.608,25,75,2,30,9,14,15,13,17
67,自己血糖測定器,1300,60,7.412,0,33,67,0,9,15,20,26,20,10
68,川崎病とは,298000,50,1.682,28.757,26,74,1,8,27,25,15,15,9
69,脈拍数 正常値,286000,50,1.702,-19.83,33,67,2,8,9,16,23,21,21
70,潰瘍性大腸炎,279000,50,1.683,-96.413,35,65,2,11,16,22,24,15,10
71,誤嚥性肺炎,260000,50,1.949,9.199,35,65,1,6,8,14,26,23,22
