順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,薬物療法とは,4700,90,6.938,0,34,66,6,16,9,18,20,16,15
2,パーキンソン病,847000,60,1.385,-1.662,38,62,2,8,9,16,21,19,25
3,bmi,584000,50,1.518,13.727,31,69,10,21,18,17,15,10,9
4,統合失調症,601000,40,1.373,0.004,33,67,3,11,14,22,24,15,11
5,自律神経失調症 症状,566000,40,1.31,-6.716,30,70,3,11,16,22,21,14,13
6,恋みくじ,529000,40,1.433,-82.725,22,78,65,21,3,5,3,1,2
7,敗血症,396000,40,1.696,-30.542,38,62,1,7,11,18,22,19,22
8,間質性肺炎,385000,40,1.639,-0.011,31,69,1,5,7,14,22,22,29
9,、,473000,30,1.315,-24.597,43,57,2,4,10,16,21,20,27
10,子宮筋腫,425000,30,1.367,-29.756,19,81,1,7,16,31,25,11,9
11,grl,402000,30,1.362,-60.755,6,94,18,38,20,12,8,2,2
12,血糖値 基準値,375000,30,1.49,-16.557,43,57,1,6,6,13,24,24,26
13,uniqlo,372000,30,1.309,19.183,35,65,2,9,22,27,20,12,8
14,ヘルペス,363000,30,1.353,15.186,35,65,5,11,13,19,21,15,16
15,脳梗塞,358000,30,1.395,-16.19,41,59,2,7,7,14,24,22,24
16,狭心症,356000,30,1.505,0.042,38,62,2,8,11,18,24,18,19
17,血圧 正常値,354000,30,1.684,40.917,39,61,6,26,13,16,17,11,11
18,パニック障害,329000,30,1.38,0.011,32,68,4,12,17,25,23,11,8
19,クリスマスマーケット,313000,30,1.502,87.213,27,73,8,22,17,20,19,9,5
20,占い,313000,30,1.496,27.629,24,76,9,20,18,20,19,8,6
21,アムロジピン,296000,30,1.576,25.664,40,60,0,8,7,14,24,23,24
22,脈拍数 正常値,286000,30,1.823,-34.289,33,67,2,8,9,16,23,21,21
23,デエビゴ,285000,30,1.573,-21.72,34,66,1,9,12,20,24,18,16
24,シェーグレン症候群,275000,30,1.726,-32.888,20,80,1,7,9,17,26,23,17
25,甲状腺機能亢進症,258000,30,1.727,96.899,23,77,2,8,11,23,27,17,12
26,高額療養費制度とは,235000,30,1.81,13.079,40,60,1,4,9,15,22,24,25
27,hba1c,226000,30,1.855,37.513,41,59,0,7,11,19,26,20,17
28,変形性膝関節症,219000,30,2.068,0.22,28,72,1,6,6,14,25,25,23
29,血液検査 項目 一覧,182000,30,2.107,22.891,33,67,1,7,10,14,21,20,27
30,不安障害,172000,30,2.045,-9.188,26,74,7,16,18,24,21,9,5
31,パルスオキシメーター,129000,30,2.415,72.688,36,64,2,7,10,16,22,20,23
32,放射線治療,86300,30,2.787,-2.203,35,65,1,4,7,19,26,19,24
33,脊柱管狭窄症,355000,20,1.322,1.993,39,61,1,3,5,11,20,24,36
34,pdf,338000,20,1.306,30.694,54,46,2,5,9,19,25,19,21
35,地面師,317000,20,1.323,-35.398,49,51,3,14,22,24,20,11,6
36,マリークワント,302000,20,1.455,8.231,10,90,10,16,13,22,23,11,5
37,バイトル,296000,20,1.361,64.622,32,68,10,14,14,22,23,10,7
38,オロパタジン,283000,20,1.433,-31.407,33,67,2,7,16,30,23,11,11
39,配偶者とは,283000,20,1.312,-5.605,47,53,8,17,17,17,21,11,9
40,白血球の数値が高い,272000,20,1.327,-16.71,30,70,1,9,15,22,24,16,13
41,大動脈解離,268000,20,1.362,58.096,40,60,1,7,11,19,25,20,17
42,胃腸炎,265000,20,1.338,38.989,30,70,4,16,27,26,14,7,6
43,虚血性心疾患,262000,20,1.586,55.075,41,59,2,6,9,17,25,20,21
44,誤嚥性肺炎,260000,20,1.535,-48.103,35,65,1,6,8,14,26,23,22
45,ナフコ,259000,20,1.533,-125.138,49,51,1,4,11,20,26,21,17
46,せん妄とは,259000,20,1.513,38.289,30,70,1,6,8,17,28,22,18
47,ヘアアイロン,255000,20,1.401,-120.794,18,82,8,11,12,27,27,11,4
48,くも膜下出血,250000,20,1.422,-16.482,38,62,3,11,14,21,23,15,13
49,子宮内膜症,250000,20,1.407,-30.19,15,85,4,19,24,25,15,8,5
50,蕁麻疹,246000,20,1.605,-32.594,31,69,4,13,21,25,18,10,9
51,悪性リンパ腫,243000,20,1.642,-74.466,32,68,2,7,11,21,25,19,15
52,クローン病,240000,20,1.475,12.303,31,69,3,12,15,21,22,15,12
53,首の後ろが痛い,238000,20,1.545,-200.668,33,67,2,7,14,24,25,15,13
54,シュガーバターの木,236000,20,1.459,79.025,18,82,2,8,14,24,28,16,8
55,皮膚科,225000,20,1.752,-13.753,32,68,3,9,14,22,19,14,19
56,逆流性食道炎 治し方,224000,20,1.553,-39.381,36,64,2,7,12,20,24,18,17
57,グループホーム,223000,20,1.573,28.208,35,65,1,4,6,15,28,27,19
58,てんかん 症状,223000,20,1.53,-5.558,36,64,5,14,15,22,22,13,9
59,単発バイト,206000,20,1.722,108.739,28,72,18,24,13,19,18,6,2
