順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病,712000,410,2.313,-6.833,43,57,2,5,8,17,26,21,21
2,血糖値 基準値,375000,280,2.619,-2.292,43,57,1,6,6,13,24,24,26
3,低血糖症状,266000,210,2.65,0,29,71,2,13,15,20,22,15,13
4,血糖値,247000,210,2.719,0,45,55,1,4,7,13,21,24,30
5,ヘモグロビンa1c,208000,210,2.871,-3.686,35,65,1,6,9,19,26,21,18
6,アムロジピン,296000,180,2.368,-13.015,40,60,0,8,7,14,24,23,24
7,hba1c,226000,170,2.584,-9.416,41,59,0,7,11,19,26,20,17
8,メトホルミン,235000,160,2.476,3.397,33,67,0,6,11,23,30,18,12
9,心不全,264000,120,2.09,-9.389,34,66,2,7,10,18,24,19,20
10,心房細動,246000,120,2.181,12.913,39,61,1,7,8,14,21,22,27
11,糖尿病の食事,220000,120,2.303,-9.115,32,68,1,2,4,13,26,26,28
12,ランソプラゾール,188000,120,2.429,-1.604,32,68,1,10,10,17,23,20,19
13,インスリン注射,89000,120,3.175,-4.467,37,63,1,8,10,19,25,19,18
14,血糖値 下げる方法,229000,110,2.158,-1.223,42,58,1,4,8,15,27,24,21
15,アルツハイマー型認知症,157000,110,2.496,-30.1,33,67,2,7,7,15,26,20,23
16,褥瘡,136000,110,2.679,-18.203,31,69,2,11,11,18,25,20,13
17,糖尿病 診断基準,157000,100,2.482,-7.475,42,58,1,7,10,14,22,22,24
18,egfr,150000,100,2.455,3.768,37,63,0,6,8,16,25,23,22
19,ネフローゼ症候群,132000,100,2.581,18.225,32,68,1,13,14,21,22,15,14
20,血糖値測定器,114000,100,2.831,-4.501,48,52,0,2,4,11,23,26,34
21,空腹時血糖値,106000,100,2.823,-0.254,38,62,0,8,12,22,27,19,12
22,バイアスピリン,104000,100,2.873,-5.004,36,64,0,13,12,16,20,18,21
23,低血糖,74600,100,3.124,-0.265,28,72,3,16,20,22,19,11,9
24,廃用症候群とは,73900,90,3.033,-9.247,27,73,2,13,10,16,25,21,13
25,フロセミド,62300,90,3.183,16.254,29,71,1,19,13,19,22,15,11
26,リブレ 血糖測定,55500,90,3.302,0.169,28,72,0,7,11,21,28,19,14
27,高血糖症状,46700,90,3.568,-0.062,27,73,1,20,15,20,21,13,10
28,深部静脈血栓症,41100,90,3.613,-1.089,27,73,2,23,13,18,20,14,10
29,タリージェ,190000,80,2.041,11.072,35,65,0,5,9,19,25,20,22
30,高血圧,142000,80,2.301,12.249,43,57,2,7,9,19,26,19,18
31,デイサービス,132000,80,2.34,6.464,33,67,1,5,7,16,27,24,20
32,アトルバスタチン,92300,80,2.695,-45.014,33,67,0,9,9,17,25,21,19
33,crp 正常値,89800,80,2.734,0.254,31,69,1,13,10,15,18,19,24
34,血糖値スパイク,89500,80,2.695,-0.001,37,63,2,16,21,22,20,11,8
35,クレアチニン 基準値,89400,80,2.765,0.516,45,55,1,8,6,12,20,22,31
36,ビソプロロールフマル酸塩,78000,80,2.95,-0.17,32,68,0,11,11,19,23,18,18
37,1型糖尿病,75300,80,2.969,-13.577,36,64,3,12,14,21,21,16,13
38,糖尿病 足 壊死 初期症状,67300,80,3.002,-0.767,39,61,1,3,7,16,27,23,23
39,クロピドグレル,66900,80,3.104,-14.38,33,67,0,16,14,20,22,15,13
40,スピロノラクトン,66800,80,3.025,32.065,26,74,0,18,15,22,23,12,10
41,低ナトリウム血症,52700,80,3.284,-30.214,33,67,1,19,17,21,20,13,9
42,経管栄養,48100,80,3.4,-19.516,23,77,2,15,13,21,24,16,9
43,ロスバスタチン錠2.5mg,165000,70,2.041,-3.064,34,66,0,4,6,12,25,26,27
44,ケアマネージャー,143000,70,2.184,3.857,37,63,1,6,9,18,29,21,16
45,crp,137000,70,2.165,-14.588,36,64,1,7,10,16,21,21,24
46,レビー小体型認知症,133000,70,2.167,-11.525,27,73,1,7,9,17,27,21,18
47,地域包括支援 センター,123000,70,2.337,-40.625,31,69,1,6,7,17,30,21,18
48,関節リウマチ,121000,70,2.379,-27.407,30,70,2,11,11,16,24,19,17
49,高次脳機能障害,119000,70,2.272,-19.018,30,70,1,10,12,21,25,18,13
50,訪問看護,107000,70,2.488,16.693,29,71,1,5,10,23,29,19,13
51,フォシーガ,105000,70,2.43,-6.766,34,66,0,9,14,23,25,16,13
52,クエチアピン,97100,70,2.547,-27.677,29,71,1,12,15,23,25,15,9
53,エンレスト,88800,70,2.613,9.391,37,63,0,12,15,23,24,14,12
54,copdとは,82700,70,2.68,-7.807,35,65,3,11,9,15,21,20,21
55,オルメサルタン,67200,70,2.893,-26.157,37,63,0,10,10,18,25,19,18
56,糖尿病 食事療法,62700,70,3.054,-1.234,30,70,1,4,5,13,26,26,25
57,アミティーザカプセル,60800,70,2.969,-11.048,27,73,0,9,10,19,23,18,21
58,糖尿病 合併症,32900,70,3.729,0.005,32,68,1,14,8,13,22,22,20
59,ペースメーカー,148000,60,2.037,30.694,37,63,3,7,9,17,24,19,21
60,モサプリドクエン酸塩錠5mg,148000,60,2.019,-40.694,29,71,1,7,10,18,22,20,22
61,マグミット錠330mg,141000,60,2.138,-0.794,33,67,1,5,7,12,20,23,32
62,プレガバリン,134000,60,2.006,21.493,36,64,0,8,11,20,25,18,18
63,抑肝散,133000,60,2.101,60.364,24,76,1,7,14,25,26,16,11
64,bmi 計算,126000,60,2.166,5.611,25,75,17,25,17,17,12,6,6
65,プレドニゾロン,120000,60,2.12,6.85,29,71,1,11,12,21,23,17,15
66,ヘモグロビン,113000,60,2.204,-12.955,35,65,3,8,10,19,22,18,20
67,アムロジピンod錠5mg,108000,60,2.358,4.749,42,58,0,4,4,10,21,25,36
