順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,理学療法士,249000,260,2.671,-0.003,36,64,6,10,11,24,23,13,13
2,糖尿病,712000,220,1.46,0.569,43,57,2,5,8,17,26,21,21
3,脊柱管狭窄症,355000,180,2.032,-9.249,39,61,1,3,5,11,20,24,36
4,運動療法とは,1300,160,7.482,0,46,54,9,21,13,17,18,14,8
5,ピラティス,439000,140,1.488,-5.859,30,70,2,14,15,20,22,15,12
6,自閉症スペクトラム,378000,130,1.566,-7.552,27,73,2,8,18,26,21,15,10
7,変形性膝関節症,219000,130,2.169,-3.355,28,72,1,6,6,14,25,25,23
8,整形外科,404000,120,1.418,1.752,34,66,2,5,13,25,24,16,15
9,骨粗鬆症,301000,120,1.811,2.095,24,76,2,5,5,12,22,25,29
10,間質性肺炎,385000,110,1.468,-1.996,31,69,1,5,7,14,22,22,29
11,作業療法士,127000,110,2.449,0,32,68,6,11,13,25,23,12,10
12,アムロジピン,296000,100,1.562,1.863,40,60,0,8,7,14,24,23,24
13,腸腰筋,108000,100,2.553,-7,40,60,3,9,14,23,22,15,14
14,放課後デイサービス,98800,100,2.594,10.815,24,76,1,6,20,34,21,12,6
15,サルコペニアとは,88800,100,2.758,-3.613,32,68,2,8,7,14,22,21,26
16,シェーグレン症候群,275000,90,1.491,-70.545,20,80,1,7,9,17,26,23,17
17,低血糖症状,266000,90,1.516,-13.945,29,71,2,13,15,20,22,15,13
18,心不全,264000,90,1.527,23.077,34,66,2,7,10,18,24,19,20
19,フレイルとは,256000,90,1.606,-0.002,35,65,1,4,4,11,20,23,37
20,迷走神経反射,252000,90,1.561,-7.733,22,78,4,15,17,23,22,12,7
21,心房細動,246000,90,1.627,44.65,39,61,1,7,8,14,21,22,27
22,ストレートネック,239000,90,1.65,0.782,34,66,5,13,18,25,22,10,7
23,柔道整復師,81900,90,2.682,-27.263,40,60,5,11,14,26,24,11,9
24,鵞足炎,60300,90,3.046,-5.5,43,57,3,9,13,22,22,17,14
25,運動療育,2500,90,6.185,0,16,84,0,6,35,40,10,6,3
26,canva,267000,80,1.47,14.331,42,58,3,12,20,27,21,10,7
27,ビタミンb12,239000,80,1.522,6.299,32,68,1,5,9,16,24,21,24
28,ヘモグロビンa1c,208000,80,1.648,28.988,35,65,1,6,9,19,26,21,18
29,コミュニケーション,191000,80,1.67,0.866,42,58,5,8,12,25,28,14,8
30,ジョブメドレー,179000,80,1.752,12.515,25,75,1,11,17,26,26,13,6
31,股関節,164000,80,1.982,-2.102,33,67,2,4,7,15,19,23,30
32,レビー小体型認知症,133000,80,2.077,-14.726,27,73,1,7,9,17,27,21,18
33,アセスメントとは,121000,80,2.173,22.598,38,62,3,11,10,22,28,17,9
34,胸郭出口症候群,70300,80,2.766,-25.893,35,65,2,11,16,25,24,13,9
35,理学療法士 国家試験,44400,80,3.205,76.642,39,61,3,21,9,17,27,11,12
36,在宅ワーク 求人,237000,70,1.416,-1.911,20,80,1,13,25,29,21,8,3
37,椎間板ヘルニア,228000,70,1.471,-2.155,38,62,2,8,12,19,23,18,18
38,キャンバ,226000,70,1.477,9.749,33,67,6,11,17,27,23,10,6
39,社会福祉士,213000,70,1.521,-25.677,30,70,3,8,13,26,28,13,9
40,タリージェ,190000,70,1.608,-20.261,35,65,0,5,9,19,25,20,22
41,ランソプラゾール,188000,70,1.63,36.333,32,68,1,10,10,17,23,20,19
42,半月板損傷,151000,70,1.908,-9.216,35,65,4,6,10,19,23,20,18
43,ストレッチポール,150000,70,1.865,-14.858,30,70,1,4,12,26,27,17,13
44,高血圧,142000,70,1.896,-3.07,43,57,2,7,9,19,26,19,18
45,褥瘡,136000,70,2.038,-5.687,31,69,2,11,11,18,25,20,13
46,言語聴覚士,102000,70,2.261,8.481,25,75,6,10,15,26,22,12,9
47,ハムストリングスとは,84900,70,2.447,7.059,52,48,4,9,11,21,21,16,18
48,変形性股関節症,79800,70,2.555,-27.416,24,76,1,6,7,15,26,25,20
49,腱板断裂,69800,70,2.723,21.465,42,58,1,6,8,15,23,22,25
50,放課後等デイサービス,64800,70,2.651,-28.799,30,70,1,8,18,32,21,13,7
51,認知行動療法,60400,70,2.708,19.266,30,70,2,13,14,23,25,12,11
52,デルマトーム,26900,70,3.561,-0.4,51,49,1,27,23,20,14,8,7
53,バーセルインデックス,17600,70,3.99,20.052,40,60,2,36,21,21,12,5,3
54,プレドニン,191000,60,1.492,-22.951,28,72,1,8,12,21,24,18,16
55,mri,182000,60,1.457,-6.953,38,62,4,8,12,21,21,15,19
56,脂質異常症,176000,60,1.527,-30.407,30,70,1,9,12,20,27,18,13
57,脱水症状,163000,60,1.604,-5.144,31,69,3,13,16,20,22,15,11
58,足底筋膜炎,163000,60,1.601,-0.049,34,66,3,7,15,27,21,11,16
59,アルツハイマー型認知症,157000,60,1.682,29.162,33,67,2,7,7,15,26,20,23
60,プレガバリン,134000,60,1.779,9.48,36,64,0,8,11,20,25,18,18
61,療育手帳,124000,60,1.799,-9.071,30,70,1,6,19,31,23,13,7
62,すべり症,123000,60,1.963,-7.723,25,75,1,4,6,14,23,23,29
63,地域包括支援 センター,123000,60,1.84,29.915,31,69,1,6,7,17,30,21,18
64,側湾症,110000,60,1.95,-26.345,24,76,3,8,14,29,22,12,12
65,モートン病,86000,60,2.291,-60.805,30,70,2,6,10,18,25,21,18
66,理学療法士 年収,85500,60,2.232,-18.062,38,62,9,12,12,25,22,9,11
67,廃用症候群とは,73900,60,2.433,0.811,27,73,2,13,10,16,25,21,13
68,腰椎分離症,66300,60,2.439,30.166,44,56,9,10,13,32,21,7,8
69,仙腸関節,56400,60,2.693,-37.784,32,68,1,8,13,20,23,18,17
70,jcs 意識レベル,50300,60,2.765,4.943,35,65,1,29,23,22,16,6,3
71,ブルンストロームステージ,15200,60,4.03,-9.756,46,54,1,41,27,18,8,3,2
72,理学療法,10700,60,4.447,-0.002,40,60,5,8,10,18,21,17,21
73,外反母趾,174000,50,1.422,28.423,29,71,3,11,13,19,21,16,17
74,パーキンソン病 初期症状,171000,50,1.418,-21.884,30,70,0,3,5,12,22,24,34
75,ベネッセ,169000,50,1.422,26.325,36,64,7,5,11,28,23,13,13
76,自閉症スペクトラム 軽度 特徴,167000,50,1.455,-0.002,20,80,1,4,17,27,21,18,12
77,レム睡眠とは,162000,50,1.46,-8.983,40,60,4,8,8,14,20,20,26
78,手根管症候群,157000,50,1.569,-11.385,27,73,1,6,11,19,26,20,17
79,糖尿病 診断基準,157000,50,1.525,-1.373,42,58,1,7,10,14,22,22,24
80,ドクターストレッチ,157000,50,1.489,-29.443,52,48,1,5,13,29,33,14,5
81,線維筋痛症,155000,50,1.453,12.246,26,74,2,8,13,19,26,18,14
82,ベーチェット病,155000,50,1.434,40.594,27,73,2,13,17,21,22,15,10
83,als,150000,50,1.618,21.021,37,63,3,11,14,22,22,15,13
84,egfr,150000,50,1.515,-45.27,37,63,0,6,8,16,25,23,22
85,モサプリドクエン酸塩錠5mg,148000,50,1.623,43.555,29,71,1,7,10,18,22,20,22
86,知的障害,147000,50,1.468,-27.649,34,66,4,10,15,24,23,14,10
87,順天堂大学病院,144000,50,1.696,18.233,37,63,1,4,9,15,24,23,24
88,ゾルピデム,144000,50,1.515,-5.391,34,66,1,9,11,18,23,18,20
89,精神疾患,142000,50,1.597,-23.062,42,58,6,9,11,19,25,18,12
90,剥離骨折とは,141000,50,1.624,-2.315,28,72,4,5,10,24,21,16,20
91,気管支喘息,136000,50,1.571,-16.672,29,71,3,12,19,23,17,14,12
92,腎臓,132000,50,1.658,-13.407,45,55,3,8,11,19,22,17,20
93,カイロプラクティック,125000,50,1.639,0.026,40,60,1,8,16,22,23,16,14
94,水頭症,123000,50,1.696,-0.049,31,69,2,11,17,20,20,14,16
95,心臓,121000,50,1.867,43.815,40,60,4,7,6,12,17,23,31
96,関節リウマチ,121000,50,1.773,18.253,30,70,2,11,11,16,24,19,17
97,高脂血症,120000,50,1.695,17.442,32,68,1,5,7,14,24,25,24
98,全身性エリテマトーデス,120000,50,1.655,29.297,20,80,2,15,16,22,23,14,8
99,高次脳機能障害,119000,50,1.822,35.531,30,70,1,10,12,21,25,18,13
100,筋ジストロフィー,117000,50,1.827,4.824,32,68,2,12,15,22,22,15,12
101,臨床検査技師,113000,50,1.789,28.477,30,70,10,14,12,26,24,8,6
102,大腿骨,108000,50,1.944,-12.144,35,65,3,6,8,14,21,22,26
103,肩甲骨,108000,50,1.848,-9.891,39,61,4,8,12,21,22,16,17
104,多発性硬化症,106000,50,1.89,49.078,27,73,1,9,11,19,24,20,16
105,動脈硬化,103000,50,2.023,-30.967,34,66,1,5,8,16,25,21,24
106,頚椎症,103000,50,1.991,-19.365,37,63,1,5,9,19,25,19,22
107,結核,103000,50,1.864,8.586,42,58,5,12,15,21,21,15,11
108,骨盤矯正,99200,50,1.858,16.946,26,74,2,10,19,25,23,11,10
109,ノイロトロピン,97200,50,1.909,-24.391,33,67,0,6,10,19,24,19,22
110,三叉神経痛,96200,50,1.893,89.732,29,71,1,6,12,21,25,19,16
111,エンレスト,88800,50,1.967,37.731,37,63,0,12,15,23,24,14,12
112,インピンジメント症候群,88700,50,2.118,42.647,53,47,3,10,12,17,20,19,19
113,起立性低血圧,80600,50,2.079,17.683,25,75,7,17,14,22,19,11,10
114,copd,78300,50,2.251,43.979,38,62,3,17,14,20,20,14,12
115,構音障害,74100,50,2.205,29.378,23,77,2,12,15,24,22,16,9
116,クッシング症候群,70700,50,2.188,38.391,25,75,2,21,14,20,23,13,7
117,spo2,70600,50,2.246,9.175,34,66,2,15,14,19,21,17,12
