順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病,712000,340,1.753,-10.638,43,57,2,5,8,17,26,21,21
2,血糖値 基準値,375000,180,1.762,-0.718,43,57,1,6,6,13,24,24,26
3,低血糖症状,266000,150,1.93,10.276,29,71,2,13,15,20,22,15,13
4,自律神経を整える方法,318000,120,1.473,-1.712,27,73,2,8,15,24,24,15,12
5,骨粗鬆症,301000,120,1.62,-15.474,24,76,2,5,5,12,22,25,29
6,アムロジピン,296000,120,1.602,-19.135,40,60,0,8,7,14,24,23,24
7,ヘモグロビンa1c,208000,120,1.954,-6.263,35,65,1,6,9,19,26,21,18
8,心不全,264000,110,1.624,-1.704,34,66,2,7,10,18,24,19,20
9,血糖値,247000,110,1.669,0.714,45,55,1,4,7,13,21,24,30
10,糖尿病の食事,220000,110,1.869,-13.57,32,68,1,2,4,13,26,26,28
11,ダイエット 食事メニュー,294000,100,1.41,-2.895,27,73,3,11,17,27,25,11,6
12,脈拍数 正常値,286000,100,1.482,9.647,33,67,2,8,9,16,23,21,21
13,ビタミンd 食べ物,277000,100,1.476,27.819,22,78,1,6,11,19,25,20,18
14,hba1c,226000,100,1.628,0.007,41,59,0,7,11,19,26,20,17
15,腎臓に良い食べ物,265000,90,1.477,-15.285,36,64,0,2,6,15,24,24,29
16,フレイルとは,256000,90,1.514,-2.065,35,65,1,4,4,11,20,23,37
17,クレアチニンとは,254000,90,1.469,6.882,42,58,1,5,6,13,21,23,31
18,血液検査,248000,90,1.453,-0.004,35,65,1,2,4,18,26,23,26
19,ビタミンb12,239000,90,1.481,-3.068,32,68,1,5,9,16,24,21,24
20,脂質異常症,176000,90,1.825,4.68,30,70,1,9,12,20,27,18,13
21,心房細動,246000,80,1.393,26.082,39,61,1,7,8,14,21,22,27
22,クローン病,240000,80,1.414,15.778,31,69,3,12,15,21,22,15,12
23,血糖値 下げる方法,229000,80,1.452,-10.277,42,58,1,4,8,15,27,24,21
24,コレステロール,215000,80,1.511,-8.953,34,66,1,5,6,16,25,24,23
25,糖尿病 診断基準,157000,80,1.765,0.002,42,58,1,7,10,14,22,22,24
26,高血圧,142000,80,1.911,-9.141,43,57,2,7,9,19,26,19,18
27,ネフローゼ症候群,132000,80,1.933,6.246,32,68,1,13,14,21,22,15,14
28,管理栄養士,111000,80,2.155,0.022,33,67,5,10,12,22,24,14,13
29,糖尿病 食事療法,62700,80,2.79,-0.094,30,70,1,4,5,13,26,26,25
30,食事療養費とは,3600,80,5.523,0,34,66,0,5,13,23,28,19,12
31,高血圧 症状,190000,70,1.54,-2.043,35,65,2,7,9,21,27,17,17
32,crp 高い 数値,185000,70,1.58,-8.898,33,67,0,5,9,16,23,23,24
33,カルシウムの多い食品,180000,70,1.522,30.527,25,75,2,7,10,18,23,20,20
34,脳出血,161000,70,1.687,3.262,33,67,2,7,11,21,25,18,16
35,肝硬変 症状,146000,70,1.693,-0.266,38,62,1,7,13,22,26,17,14
36,高脂血症,120000,70,1.917,2.913,32,68,1,5,7,14,24,25,24
37,空腹時血糖値,106000,70,2.103,-0.002,38,62,0,8,12,22,27,19,12
38,抗がん剤治療,92400,70,2.257,-6.131,39,61,1,3,7,17,24,22,26
39,ランソプラゾール,188000,60,1.401,14.932,32,68,1,10,10,17,23,20,19
40,ステロイド,183000,60,1.396,8.977,50,50,4,11,13,17,18,16,21
41,血液検査 項目 一覧,182000,60,1.39,-3.021,33,67,1,7,10,14,21,20,27
42,特別養護老人ホーム,176000,60,1.491,41.635,36,64,1,5,6,13,28,27,20
43,便秘,174000,60,1.475,-22.319,35,65,3,7,12,16,19,17,26
44,オメガ3,161000,60,1.449,0.284,26,74,1,4,9,18,25,22,21
45,乳がん,159000,60,1.569,16.455,25,75,2,5,8,19,26,21,19
