順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,湘南美容外科,627000,100,1.684,0.979,22,78,3,19,20,23,21,9,5
2,シミ取り,240000,90,2.53,-0.001,24,76,1,5,14,26,25,16,13
3,シワ改善クリーム,54600,70,3.892,0.011,18,82,1,2,7,20,27,24,19
4,冷蔵庫,545000,60,1.318,-30.154,42,58,1,7,12,20,25,19,16
5,携帯電話,458000,60,1.624,23.039,52,48,0,1,2,8,22,28,39
6,シワ取りクリーム,10900,60,5.345,0,34,66,0,1,3,11,26,34,25
7,ボトックス注射,155000,50,2.447,5.881,24,76,2,10,14,26,26,14,8
8,ほうれい線 無くす,148000,50,2.338,0.001,27,73,2,9,19,29,24,11,6
9,牡蠣,412000,40,1.312,108.565,42,58,1,4,9,19,26,21,20
10,ホテルニューオータニ,405000,40,1.311,10.214,35,65,2,7,10,16,24,22,19
11,イオンカード ログイン,349000,40,1.348,42.141,37,63,0,2,8,16,24,23,27
12,沖縄旅行,335000,40,1.461,47.462,36,64,2,7,15,27,23,15,11
13,白内障手術,311000,40,1.481,-41.872,36,64,0,2,4,10,21,27,36
14,日焼け止め ランキング,258000,40,1.614,9.332,19,81,3,11,15,24,23,15,9
15,シワ改善,11700,40,4.77,9.182,16,84,1,2,9,24,31,21,12
16,シワ取り 皮膚科,2700,40,6.169,7.984,16,84,1,1,8,20,27,24,19
17,ベルーナ通販,343000,30,1.307,64.534,33,67,0,1,1,4,19,32,43
18,美容院,300000,30,1.341,100.124,22,78,4,6,11,22,24,17,16
19,フィリピン,290000,30,1.332,105.624,53,47,3,7,9,19,23,19,20
20,今日の天気,287000,30,1.432,-13.064,36,64,13,15,10,14,14,13,21
21,クリスマスプレゼント,268000,30,1.381,37.808,40,60,4,11,18,28,17,12,10
22,阪急交通社 トラピックス,267000,30,1.393,111.736,37,63,0,0,1,4,12,31,52
23,遠野なぎこ,267000,30,1.36,-23.179,32,68,1,5,11,26,29,16,12
24,オリコカード,257000,30,1.499,8.907,45,55,1,4,10,21,27,20,17
25,血糖値,254000,30,1.406,61.676,45,55,1,4,7,13,21,24,30
26,梅雨明け,254000,30,1.326,-72.995,51,49,2,9,19,25,23,14,8
27,介護保険,249000,30,1.316,12.076,39,61,1,3,5,14,28,26,23
28,2ちゃんねる,240000,30,1.406,8.079,57,43,12,6,7,17,26,19,13
29,女優,239000,30,1.413,91.518,55,45,7,11,8,12,17,19,26
30,フランス,238000,30,1.352,31.425,49,51,5,7,9,13,17,20,29
31,白髪染め,235000,30,1.49,35.237,27,73,1,1,8,26,34,18,12
32,シャンプー,231000,30,1.674,-13.709,27,73,4,10,13,18,20,18,17
33,左下腹部の痛み,223000,30,1.342,135.051,28,72,2,9,15,26,24,14,10
34,マッサージ,217000,30,1.426,2.994,48,52,2,7,13,25,26,15,12
35,タイ,213000,30,1.511,48.469,41,59,3,9,11,19,25,18,15
36,プロジェクター,205000,30,1.459,23.213,47,53,7,14,15,24,20,11,9
37,ディズニーランドホテル,204000,30,1.522,68.316,28,72,3,13,24,25,16,13,6
38,シーン,203000,30,1.47,-33.374,25,75,12,11,16,28,20,7,6
39,iqos,200000,30,1.666,-56.306,56,44,4,20,21,23,19,8,5
40,掃除機,196000,30,1.532,-109.194,41,59,1,6,11,19,24,19,20
41,耳つぼジュエリー,194000,30,1.521,163.998,8,92,6,21,24,24,16,6,3
42,ベッド,186000,30,1.655,21.306,34,66,3,9,12,22,23,16,15
43,目の下のたるみ解消,184000,30,1.82,-0.012,25,75,0,1,2,24,36,23,14
