順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ワキが どんな匂い,69600,2000,3.356,0,33,67,15,32,22,15,10,4,2
2,ワキが 治療法,64500,2000,3.387,0,32,68,5,17,19,29,20,6,4
3,ワキガ どんな匂い,32100,1100,3.563,-0.001,36,64,15,33,21,15,10,4,2
4,ワキガ 治療法,28900,1000,3.536,-0.057,32,68,4,16,19,30,20,7,4
5,ワキが 対策,23800,920,3.637,0.001,35,65,14,20,18,22,16,6,4
6,ワキが 手術方法 料金,31000,850,3.267,0,30,70,4,21,25,25,16,6,3
7,パースピレックス,54500,790,2.626,0.012,26,74,6,16,23,29,19,5,2
8,デオナチュレ,60400,710,2.424,0.057,26,74,6,16,21,28,20,6,3
9,ワキガ 自分で分からない,17500,640,3.593,0,24,76,11,32,23,20,9,3,2
10,ミラドライ,26300,610,3.093,0.019,22,78,3,16,26,32,17,4,2
11,プルーストクリーム,26500,570,3.009,0.006,31,69,2,5,15,35,26,10,7
12,ワキガ 対策,15300,560,3.572,0,35,65,11,18,19,24,17,6,5
13,ワキガ手術,12100,550,3.807,0.003,29,71,10,23,21,23,17,4,2
14,多汗症,83700,530,1.811,-0.001,37,63,6,10,17,24,21,12,10
15,ワキガとは,13700,530,3.655,0,39,61,31,33,15,10,6,3,2
16,耳垢 湿ってる,36500,520,2.63,-0.001,32,68,6,18,25,24,15,7,5
17,アポクリン汗腺,22500,510,3.097,0.002,47,53,8,25,24,20,12,6,5
18,ワキガ 手術,9100,490,3.976,0.001,26,74,5,28,33,22,8,2,2
19,脇汗 止める方法,52300,470,2.151,0,33,67,9,16,20,26,18,7,4
20,スソガとは,37900,460,2.477,0.002,36,64,8,30,24,20,12,4,2
21,体臭,31200,450,2.615,-0.006,40,60,5,9,16,25,26,11,8
22,ワキが 薬 ランキング,9300,440,3.787,0.002,30,70,3,6,17,35,26,9,4
23,脇汗がひどい 原因,26200,420,2.708,0,35,65,8,17,21,26,17,7,4
24,わきが,9600,410,3.717,0,36,64,8,15,23,25,15,8,6
25,ワキガ治療,4700,390,4.376,0.004,30,70,4,24,20,23,21,6,2
26,恋愛免許証,67600,380,1.759,-14.044,18,82,64,24,3,5,3,1,0
27,アセッテナイ,42400,370,2.142,11.028,20,80,11,17,16,26,23,5,2
28,包茎,63800,350,1.682,-0.029,56,44,16,20,20,19,13,7,5
29,オールドスパイス,55100,340,1.794,5.638,61,39,15,16,19,26,17,4,3
30,恋愛占い,65900,330,1.647,-9.14,22,78,40,36,9,7,6,1,1
31,プルーストクリーム 口コミ,17300,320,2.857,0,20,80,1,2,12,36,32,11,6
32,脇汗,15700,300,2.877,0.001,39,61,5,13,23,29,20,6,4
33,冒険家,55600,280,1.646,-7.008,20,80,12,45,22,12,6,2,1
34,ミラドライ デメリット,12400,280,3.056,0.004,21,79,1,11,23,36,23,4,2
35,わきが治療 保険適用,7000,280,3.64,0,26,74,1,17,19,26,26,8,3
36,躁鬱,45800,260,1.75,-0.045,38,62,15,32,22,15,10,3,3
37,リフレア,14700,260,2.831,0.006,22,78,6,16,20,29,18,7,4
38,ワキガ 原因,8000,260,3.484,0,39,61,12,28,24,18,11,5,2
39,ワキが 手術方法,7000,250,3.544,0.001,25,75,6,24,31,27,9,2,1
40,わきが治療,4600,250,3.952,0.002,35,65,8,28,20,21,16,4,3
41,オドレミン,20100,240,2.405,1.84,23,77,4,9,18,33,25,7,4
42,サラフィネ,7500,240,3.408,0.008,25,75,5,7,12,34,27,9,6
43,白髪,40100,230,1.715,25.617,35,65,4,6,20,30,20,9,11
44,デオドラント,27200,230,2.101,0.006,45,55,7,18,19,20,16,10,10
45,ワキガ 手術方法 料金,8000,230,3.323,-0.001,33,67,4,20,24,25,17,6,4
46,耳垢,36200,220,1.734,0,43,57,3,9,20,27,20,11,10
47,脇汗パッド,25600,220,2.122,0.245,27,73,5,19,21,24,18,9,4
48,デオエース,23800,220,2.163,0.285,14,86,4,11,24,33,20,6,2
49,ワキガ 薬 ランキング,5100,220,3.698,0,30,70,2,8,15,29,27,12,7
50,ワキガ 保険適用 条件,6900,210,3.368,0.001,17,83,1,16,26,33,19,2,3
51,ニキビ跡,32700,200,1.801,-0.87,31,69,15,30,22,20,10,2,1
52,頭皮 臭い,30800,200,1.806,13.945,24,76,3,13,27,30,18,6,3
53,エクロックゲル,17600,200,2.348,1.76,24,76,2,10,20,32,23,8,5
54,ビューホット,4900,200,3.659,5.125,21,79,2,11,23,37,21,3,3
55,処女,36300,190,1.663,3.104,56,44,22,24,13,13,11,8,9
56,制汗剤,35900,190,1.673,0.033,35,65,10,16,17,22,19,10,6
57,しなこ ワキが,15000,190,2.467,4.898,33,67,3,11,30,36,15,3,2
58,ワキが 原因,8600,190,3.108,0,37,63,13,29,25,19,9,3,2
59,ワキが うつる?,5700,190,3.487,0.001,37,63,7,25,26,25,12,3,2
60,早漏,33400,180,1.657,0.802,59,41,12,24,24,19,12,5,4
61,裾ワキがとは,13100,180,2.552,0.002,25,75,3,17,25,27,18,7,3
62,おなら,27800,170,1.761,8.007,42,58,6,10,16,23,19,12,14
63,デオナチュレ ソフトストーン,13900,170,2.436,0.726,26,74,7,17,22,25,19,6,4
64,脇ガ 自分で分からない,5200,170,3.481,-0.003,25,75,8,32,25,19,11,3,2
65,インスタブロックされたらわかる,31200,160,1.664,40.674,41,59,29,31,9,12,13,5,1
66,骨格,29700,160,1.67,-22.528,21,79,21,29,16,13,10,6,5
67,ミラドライ 効果,6400,160,3.164,11.953,23,77,2,19,25,30,18,4,2
68,リフレア 効果,5700,160,3.305,0.008,19,81,6,17,21,30,18,5,3
69,サラフェ 口コミ,5700,160,3.257,0.393,14,86,2,3,11,39,32,9,4
70,腋臭症,5100,160,3.412,0.005,33,67,3,12,19,29,23,9,5
71,ワキガ手術 保険 対象,4400,160,3.575,0.004,25,75,4,18,19,30,22,5,2
72,キャンマジ,30100,150,1.651,-31.026,6,94,50,28,9,7,4,1,1
73,汗臭い 対策 女,13300,150,2.364,-10.573,5,95,11,16,22,28,16,5,2
74,脇汗 におい 対策,12800,150,2.435,0,29,71,7,23,25,24,15,4,2
75,サラフィネ 口コミ,5400,150,3.281,0.006,15,85,1,3,11,36,33,11,5
76,埋没毛,24800,140,1.736,2.911,51,49,10,24,29,21,10,4,2
