順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,二重,26700,250,4.901,0,33,67,13,15,15,20,16,10,11
2,眼瞼下垂,297000,150,1.978,-16.72,20,80,3,8,11,19,25,19,15
3,奥二重,30100,70,3.458,0.001,37,63,16,23,26,19,10,4,2
4,二重手術 費用,23700,70,3.722,-0.02,27,73,7,14,15,24,23,11,6
5,ソファー,204000,60,1.318,-24.895,39,61,2,7,12,20,25,19,15
6,tcb 美容外科,131000,60,1.86,1.414,27,73,3,14,14,21,25,15,8
7,二重まぶた アイテム,1200,60,6.707,0,14,86,0,2,2,16,21,32,27
8,キャンメイク,191000,50,1.336,-20.054,7,93,12,14,18,25,19,8,4
9,まつ毛パーマ,174000,50,1.39,0.461,9,91,3,9,19,29,26,10,4
10,便秘,173000,50,1.375,-9.003,35,65,3,7,11,16,19,17,27
11,眉毛サロン,170000,50,1.36,8.222,25,75,11,22,17,19,17,8,6
12,ものもらい,170000,50,1.305,19.215,30,70,7,18,24,25,15,7,4
13,まつ毛美容液 人気,168000,50,1.354,48.536,6,94,4,16,16,22,22,14,6
14,シュウウエムラ,163000,50,1.359,14.898,9,91,2,19,23,22,19,10,5
15,腰が痛い,161000,50,1.412,31.966,32,68,4,8,10,19,23,17,19
16,眉毛 整え方,161000,50,1.407,-24.251,30,70,11,14,16,22,20,10,7
17,ボトックス注射,155000,50,1.421,1.323,24,76,2,10,14,26,26,14,8
18,ピアス,150000,50,1.595,-21.919,23,77,12,15,12,19,21,12,9
19,水虫,148000,50,1.482,13.191,41,59,7,19,20,21,16,9,8
20,tcb,146000,50,1.479,17.707,27,73,3,15,18,26,23,10,5
21,ほくろ 除去,145000,50,1.491,-35.846,30,70,6,15,19,26,20,9,5
22,血圧 下が高い,134000,50,1.576,80.853,34,66,0,2,8,23,35,19,13
23,二重整形,19900,50,3.64,1.283,21,79,19,30,19,15,12,3,2
24,二重瞼形成クリーム,1300,50,6.339,0,11,89,1,1,1,8,18,34,37
25,ウェッジウッド,169000,40,1.313,34.122,19,81,1,6,10,15,25,25,18
26,ゴミ箱,155000,40,1.336,-20.007,38,62,1,7,11,17,20,20,24
27,ヒアルロン酸,154000,40,1.386,23.126,27,73,2,5,9,20,25,17,22
28,白髪染めシャンプー,152000,40,1.385,79.466,24,76,0,1,5,22,34,24,14
29,ほうれい線 無くす,148000,40,1.389,-38.901,27,73,2,9,19,29,24,11,6
30,レディース,144000,40,1.417,12.467,30,70,1,3,5,11,22,26,32
31,smap,140000,40,1.435,-8.709,43,57,5,12,16,22,19,14,12
32,美顔器,140000,40,1.399,-3.656,19,81,3,12,15,25,27,12,6
33,ハチミツ 効能効果,139000,40,1.315,-13.189,29,71,2,5,10,19,26,19,19
34,ヨーロッパ,139000,40,1.308,3.371,50,50,6,9,9,13,19,21,23
35,高須クリニック,138000,40,1.497,-0.031,38,62,2,7,11,20,25,18,17
